Day,[OSG] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[CCT LSU SUPERMIC] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running
2015-02-01,208661,4815,2011,0,1826,70,88,92,24,3,1
2015-02-02,175661,4766,2204,0,1883,80,191,115,51,2,1
2015-02-03,96867,5802,1326,0,1122,202,131,106,51,1,2
2015-02-04,48511,4942,1303,0,1483,114,88,393,78,5,11
2015-02-05,70074,4656,1529,0,1388,116,96,217,91,8,4
2015-02-06,73383,4033,1476,0,819,163,86,109,80,6,2
2015-02-07,57442,3468,1808,0,527,28,25,106,66,12,1
2015-02-08,79656,4479,1168,0,436,52,62,105,69,12,1
2015-02-09,166961,5185,2372,0,1220,309,113,137,60,22,10
2015-02-10,84061,1555,3346,0,3564,395,117,135,112,14,6
2015-02-11,181314,2609,1948,0,3143,417,102,218,116,7,1
2015-02-12,63115,3325,1941,0,2319,166,156,173,85,19,5
2015-02-13,97561,3224,1761,0,1811,199,183,211,128,37,1
2015-02-14,100412,2020,1111,0,1496,14,101,223,61,18,2
2015-02-15,158691,2481,1698,0,1727,18,50,223,73,17,1
2015-02-16,157549,3430,2050,0,3368,77,121,227,106,20,1
2015-02-17,163067,3315,1890,0,2046,70,150,125,98,13,1
2015-02-18,113286,3603,2631,0,2812,38,53,197,63,8,1
2015-02-19,65295,3561,2580,0,4215,57,387,258,137,16,1
2015-02-20,68517,3621,1618,0,2822,47,396,86,157,28,0
2015-02-21,111674,3097,1240,0,466,65,371,122,70,36,0
2015-02-22,141425,2966,1691,0,3261,73,871,146,50,39,0
2015-02-23,62489,3903,1789,0,4676,124,673,193,61,33,0
2015-02-24,14552,4767,1866,0,3694,162,634,173,120,32,0
2015-02-25,22480,3637,2010,0,2633,107,1351,154,257,32,1
2015-02-26,52168,3473,2176,0,5170,342,901,120,71,29,2
2015-02-27,79471,2417,2202,0,2383,117,1443,127,131,30,0
2015-02-28,84064,2173,1492,0,952,83,660,60,79,30,0
2015-03-01,82885,3057,1591,0,914,68,629,83,52,30,0
2015-03-02,83578,3830,1591,0,1661,86,405,128,45,29,5
2015-03-03,82908,4209,1798,0,1886,126,1554,174,63,28,8
2015-03-04,87545,3792,2422,0,760,89,463,146,148,29,9
2015-03-05,97293,3848,2218,0,576,178,595,119,226,35,8
2015-03-06,267197,4409,2474,0,1004,353,163,71,365,33,14
2015-03-07,280185,3615,3524,0,391,90,123,152,368,28,7
2015-03-08,321027,3289,402,0,112,60,105,72,131,31,8
2015-03-09,128202,3998,2309,0,594,210,106,109,320,31,9
2015-03-10,93346,3860,2204,0,765,800,231,126,135,27,16
2015-03-11,48381,4415,2433,0,823,983,118,147,229,31,9
2015-03-12,70216,4350,1247,0,804,1330,128,48,62,28,11
2015-03-13,121315,3705,1855,0,860,171,155,120,43,15,8
2015-03-14,149543,2180,1770,0,718,138,93,43,90,10,9
2015-03-15,212766,2630,1617,0,937,88,94,73,71,24,11
2015-03-16,300182,3252,1177,0,943,69,168,58,81,21,6
2015-03-17,111654,4008,1571,0,947,143,105,92,73,16,4
2015-03-18,88258,4090,2205,0,957,117,238,76,68,23,4
