title
"Number of Jobs Started: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NCSA ABE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[NICS ATHENA] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[TACC LONESTAR] Number of Jobs Started","[PSC POPLE] Number of Jobs Started","[NCSA EMBER*] Number of Jobs Started","[NCSA COBALT] Number of Jobs Started","[IU BIGRED*] Number of Jobs Started","[NCAR FROST] Number of Jobs Started","[NCSA LINCOLN] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[ORNL NSTG] Number of Jobs Started","[SDSC DASH] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC SPUR] Number of Jobs Started"
2010-08-01,4085,2152,895,45,1141,143,166,156,80,0,162,81,7,7,33,51,0,0,0,0,10
2010-08-02,7624,3796,1144,65,961,143,18873,147,63,0,230,73,57,38,13,30,0,0,0,0,8
2010-08-03,6245,2334,1033,509,1127,113,533,180,123,0,187,70,45,16,18,17,0,0,0,0,10
2010-08-04,4291,1722,359,468,844,190,10267,270,78,0,182,56,14,103,17,15,0,0,0,0,1
2010-08-05,2685,1579,614,1083,1036,104,578,210,145,0,180,52,32,64,10,13,15,0,0,0,6
2010-08-06,3415,2180,884,740,1469,49,160,232,62,0,202,50,21,48,7,15,40,0,0,0,3
2010-08-07,1142,1335,495,980,1831,71,63,276,70,0,305,37,13,40,0,17,48,0,0,0,1
2010-08-08,1135,888,632,102,3174,45,114,227,57,0,204,177,6,15,3,13,14,0,0,0,1
2010-08-09,1552,1601,939,200,1097,90,204,207,98,0,344,130,38,66,11,13,0,0,0,0,8
2010-08-10,1688,1392,843,1034,1157,74,214,185,134,0,163,92,22,101,21,15,0,0,0,0,0
2010-08-11,1838,1955,170,722,1581,157,212,295,111,0,184,158,36,46,24,23,0,0,0,0,12
2010-08-12,3722,1364,39,579,1721,91,194,368,111,0,237,87,59,80,0,48,0,0,0,0,7
2010-08-13,3597,1430,428,360,1342,97,274,222,121,0,187,67,22,54,44,50,6,0,0,0,4
2010-08-14,4988,705,302,900,950,114,188,331,73,0,92,71,3,54,1,48,6,0,0,0,4
2010-08-15,4929,933,752,824,2367,532,196,299,28,0,115,60,6,22,1,51,5,0,0,0,6
2010-08-16,3570,1408,979,880,1620,1196,321,367,146,0,236,81,53,22,26,50,11,0,0,0,5
2010-08-17,3677,1809,951,29,1331,688,237,319,87,0,223,132,48,20,10,60,2,0,0,0,8
2010-08-18,2649,3035,26,1341,1426,462,258,523,87,0,200,229,23,22,17,59,30,0,0,0,3
2010-08-19,2733,1570,72,1766,1636,149,136,366,135,0,240,55,16,74,11,49,10,0,0,0,7
2010-08-20,2068,2536,249,1560,2089,128,164,333,81,0,181,238,14,68,24,50,6,0,0,0,2
2010-08-21,1602,3488,809,1856,1673,78,160,295,69,0,82,71,2,23,7,54,14,0,0,0,3
2010-08-22,1736,3134,1042,2138,1096,79,139,306,77,0,34,126,4,37,0,55,1,0,0,0,2
2010-08-23,1456,3497,691,1022,1495,94,430,327,88,0,110,278,24,18,16,50,0,0,0,0,5
2010-08-24,1801,3109,1701,422,1402,79,663,150,148,0,151,72,49,32,41,52,0,0,0,0,1
2010-08-25,761,3770,45,580,2019,115,528,183,159,0,257,131,81,71,11,54,11,0,0,0,5
2010-08-26,6301,1570,4152,2291,2445,130,387,186,103,0,217,97,50,25,16,48,20,0,0,0,6
2010-08-27,7106,2830,905,2455,2728,101,361,1958,73,0,218,72,30,23,13,50,2,0,0,0,0
2010-08-28,2769,1528,572,1060,1564,133,142,1780,58,0,138,68,5,14,3,48,0,0,0,0,2
2010-08-29,3215,2650,818,1194,2138,28,137,2315,103,0,123,52,5,26,2,47,0,0,0,0,0
2010-08-30,3995,3251,1378,1566,1706,86,178,492,91,0,137,48,13,18,11,54,1,0,0,0,2
2010-08-31,1240,3024,845,1240,1868,127,315,279,108,0,192,34,19,22,11,49,11,0,0,0,6
2010-09-01,1759,2141,505,2799,1881,201,594,254,29,0,198,157,21,24,67,56,12,0,0,0,0
2010-09-02,1623,3452,2543,845,1632,791,409,201,47,0,125,119,6,25,53,57,11,0,0,0,0
2010-09-03,1962,2564,1865,460,1701,137,444,279,84,0,202,78,24,39,10,50,0,0,0,0,2
2010-09-04,1342,1629,1123,460,1036,745,141,182,68,0,122,50,8,15,0,54,0,0,0,0,0
2010-09-05,3371,692,808,60,757,828,186,176,24,0,60,57,7,16,1,52,0,0,0,0,0
2010-09-06,969,708,1264,260,938,887,167,180,21,0,171,53,15,14,15,53,0,0,0,0,0
2010-09-07,594,1827,2145,166,1244,87,124,491,102,0,236,123,10,26,16,56,0,0,0,0,3
2010-09-08,722,370,620,1,1055,748,204,511,107,0,241,58,21,15,9,53,10,0,0,0,3
2010-09-09,2282,925,1513,6,890,176,151,406,96,0,219,183,15,44,6,56,23,0,0,0,5
2010-09-10,675,1435,1032,0,981,167,196,458,109,0,166,176,29,19,3,58,14,0,0,0,3
2010-09-11,684,1519,398,0,955,68,141,2081,49,0,96,149,23,11,4,52,3,0,0,0,3
2010-09-12,827,1704,1034,0,982,68,217,2593,88,0,106,199,22,6,7,54,0,0,0,0,1
2010-09-13,1097,993,1965,391,1137,133,210,1658,106,0,234,73,29,16,46,55,3,0,0,0,3
2010-09-14,1410,884,8288,923,1284,207,127,1947,70,0,158,60,24,22,16,52,3,0,0,0,14
2010-09-15,1065,1310,131,1623,1281,781,112,1693,110,0,192,77,29,34,18,53,8,0,0,0,10
2010-09-16,1659,1006,887,28,2373,133,516,296,110,0,26,54,22,5,13,54,3,0,0,0,5
2010-09-17,4891,127,476,1859,1221,168,665,858,42,0,1,68,23,0,6,57,0,0,0,0,2
2010-09-18,7900,351,5352,867,1159,66,90,1950,52,0,23,55,9,38,6,54,0,0,0,0,0
2010-09-19,9646,382,1928,48,1290,120,68,1429,49,0,10,49,11,19,8,51,0,0,0,0,2
2010-09-20,11942,422,1997,600,1185,127,132,866,106,0,146,54,30,28,12,23,0,0,0,0,5
2010-09-21,1486,1300,5953,923,1227,173,98,2398,90,0,175,18,40,43,49,7,0,0,0,0,3
2010-09-22,1060,964,164,352,1048,226,180,2349,75,0,379,58,21,60,10,12,0,0,0,0,15
2010-09-23,1119,1084,800,417,1128,201,69,2127,76,0,398,27,14,50,8,20,0,0,0,0,10
