title
"Number of Jobs Started: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[NCSA LINCOLN] Number of Jobs Started","[PSC POPLE] Number of Jobs Started","[TACC SPUR] Number of Jobs Started","[SDSC DASH] Number of Jobs Started","[NCSA EMBER*] Number of Jobs Started","[IU BIGRED*] Number of Jobs Started","[NCAR FROST] Number of Jobs Started"
2011-08-01,3614,2548,1763,800,329,253,253,136,0,302,176,100,58,5,45,0,36,1
2011-08-02,17440,21370,1306,739,453,172,169,222,0,148,128,128,71,13,21,0,67,2
2011-08-03,28469,4374,2179,948,2647,565,11,13,0,89,136,141,88,1,24,0,1,1
2011-08-04,7130,2742,1757,1125,3395,391,171,257,0,93,156,100,68,4,9,0,0,0
2011-08-05,13167,15675,2252,757,2808,632,143,243,0,45,109,37,99,0,0,0,0,1
2011-08-06,24230,10074,1972,615,2870,416,130,10,0,18,116,70,88,0,1,0,0,0
2011-08-07,61402,11149,1227,845,649,296,174,29,0,33,54,96,63,2,0,0,0,0
2011-08-08,4,9,1021,1006,514,425,322,250,0,38,99,53,94,7,0,0,0,0
2011-08-09,5266,1408,1486,886,655,211,554,150,0,49,170,47,210,5,0,7,0,0
2011-08-10,36123,6724,1190,1044,1044,519,878,264,0,57,62,106,89,6,4,10,0,0
2011-08-11,6215,9671,463,779,702,627,361,248,0,48,42,94,95,3,10,0,0,0
2011-08-12,30338,6045,994,797,483,430,1233,173,0,110,131,72,67,3,2,0,0,0
2011-08-13,34839,15716,493,780,149,172,492,508,0,8,140,37,40,2,12,0,0,0
2011-08-14,3030,10547,1599,623,207,253,516,0,0,19,182,48,26,2,14,0,0,0
2011-08-15,7193,16462,1225,998,518,0,284,372,0,29,99,102,45,6,6,1,0,0
2011-08-16,3890,15596,1494,1169,570,7,1359,336,0,43,126,71,48,3,15,2,0,0
2011-08-17,4681,17520,2475,870,1206,261,1691,253,0,14,114,54,17,5,27,31,0,0
2011-08-18,1993,10821,2180,1149,583,720,758,334,4,16,205,72,58,7,8,22,0,0
2011-08-19,1449,13861,1272,1068,474,316,423,42,0,15,167,117,36,3,1,4,0,0
2011-08-20,888,14811,2574,635,653,571,511,34,0,17,79,101,35,0,5,10,0,4
2011-08-21,1324,12976,1970,783,287,430,369,35,0,43,80,34,43,2,14,2,0,0
2011-08-22,1977,14249,1671,748,667,561,807,54,0,76,52,98,76,6,11,4,0,3
2011-08-23,4275,14375,4605,565,611,789,1060,26,3,49,95,119,37,0,17,6,0,15
2011-08-24,3219,13094,8025,1161,527,725,810,118,16,29,0,37,72,3,11,1,0,4
2011-08-25,3192,13284,5039,772,709,689,1002,7,0,32,18,90,69,5,20,7,0,17
2011-08-26,2332,13825,3969,821,680,508,831,127,0,42,45,81,41,1,16,4,0,11
2011-08-27,1640,14009,1646,724,416,223,624,288,0,17,3,51,20,1,8,7,0,2
2011-08-28,3024,13275,1125,589,367,364,181,197,0,8,55,46,0,0,2,6,0,0
2011-08-29,3278,9005,1432,1443,676,364,543,139,0,10,92,51,56,6,1,4,0,3
2011-08-30,4585,6671,2185,1382,982,290,442,105,0,51,99,73,32,3,4,11,0,6
2011-08-31,3106,4607,2866,1572,650,431,198,248,0,43,92,64,12,2,0,1,0,0
2011-09-01,2307,4393,1358,1255,718,301,336,19,0,54,203,102,0,2,5,0,0,0
2011-09-02,3923,4152,2153,1198,481,527,228,25,0,27,89,94,0,9,0,0,0,0
2011-09-03,4074,6842,2190,872,459,180,214,3,0,46,49,52,0,2,9,1,0,0
2011-09-04,3918,4488,3479,930,269,636,161,13,0,43,18,38,0,1,5,0,0,0
2011-09-05,2880,2904,3101,1173,146,568,113,105,0,32,63,38,10,0,4,0,0,0
2011-09-06,2933,2778,909,1474,444,400,211,198,0,41,160,36,3,6,5,4,0,0
2011-09-07,4248,2405,939,1338,581,517,287,105,0,32,169,77,2,5,0,9,2,0
2011-09-08,2326,2534,671,1105,5,404,475,21,0,43,138,48,13,9,0,16,0,0
2011-09-09,1146,4659,631,1346,0,246,467,22,0,40,92,98,12,20,16,1,0,0
2011-09-10,3491,8910,1947,662,206,183,170,3,0,47,97,68,0,6,1,0,0,0
2011-09-11,4840,3908,2241,785,216,191,120,49,0,29,80,78,0,8,0,0,3,0
2011-09-12,3226,1372,1702,1139,785,598,547,35,0,40,96,52,7,8,0,1,0,0
2011-09-13,5933,1799,1140,1600,559,804,534,39,0,68,62,70,75,8,0,0,0,0
2011-09-14,2350,2717,1681,1191,419,490,358,20,0,101,62,55,3,5,0,0,0,0
2011-09-15,5596,3645,2429,1656,498,501,253,113,0,89,112,94,0,6,0,1,0,0
2011-09-16,5533,4184,2017,1197,503,441,275,16,0,76,30,59,0,0,0,10,0,0
2011-09-17,6117,4417,1231,1005,80,296,207,5,0,70,4,47,0,2,0,0,0,0
2011-09-18,10329,4199,4157,700,86,48,147,8,0,68,15,48,0,7,0,0,0,0
2011-09-19,14708,4613,2980,1228,125,99,347,31,0,56,23,49,0,10,0,0,0,0
2011-09-20,12461,3948,1447,1420,473,1,181,61,5,68,16,45,0,8,1,2,0,0
2011-09-21,12718,4775,1539,882,527,0,229,83,2,43,58,26,0,4,0,7,0,0
2011-09-22,3419,6032,1692,1110,379,384,198,51,24,53,58,54,0,9,0,4,0,0
2011-09-23,1914,7863,1797,1097,285,472,231,55,30,32,41,36,0,6,0,11,0,0
2011-09-24,312,7334,787,855,205,387,171,19,0,41,18,35,0,5,0,0,0,0
2011-09-25,565,6805,1767,786,391,206,130,18,0,33,21,35,0,12,0,0,0,0
2011-09-26,1522,3882,3415,1185,442,438,257,1,36,41,59,48,14,4,0,0,0,0
2011-09-27,367,6501,1264,1437,510,473,266,90,24,43,40,107,5,3,0,0,0,0
2011-09-28,1491,4159,1907,1370,264,717,190,223,21,38,56,83,16,1,0,0,0,0
2011-09-29,10905,2602,233,1252,425,446,253,216,70,26,25,26,13,13,0,0,0,0
2011-09-30,22283,4092,904,1282,344,761,590,114,62,30,4,140,5,8,0,0,0,0
2011-10-01,10281,5382,905,482,177,453,221,7,15,2,6,35,8,1,0,0,0,0
2011-10-02,37924,4449,730,900,320,305,417,10,71,1,25,27,8,17,0,0,0,0
2011-10-03,20470,2640,1944,946,329,168,158,33,159,7,14,27,11,2,1,0,0,0
2011-10-04,18136,3726,2251,344,579,17,73,113,71,5,31,38,11,0,0,0,0,0
2011-10-05,35747,7049,1836,1333,284,145,753,102,18,9,13,57,12,7,0,0,0,0
2011-10-06,19986,4454,1465,1218,283,281,328,93,28,6,19,18,6,6,1,0,0,0
2011-10-07,19350,2670,1551,1150,509,352,263,228,18,2,17,27,0,2,0,0,0,0
2011-10-08,16305,7600,1167,1028,1448,152,249,6,0,6,3,15,0,1,0,0,0,0
2011-10-09,10438,9048,2128,1017,550,85,345,184,0,1,0,13,0,3,0,0,0,0
2011-10-10,8422,8515,1959,1252,241,186,148,139,1,4,2,13,23,15,0,0,0,0
2011-10-11,6008,5934,2020,1004,342,0,0,19,3,18,8,72,0,14,0,0,0,0
2011-10-12,8968,4495,2305,1333,771,10,545,98,43,12,11,6,0,6,1,0,0,0
