title
"Number of Jobs Started: by Resource"
parameters

start,end
2012-02-01,2012-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC SPUR] Number of Jobs Started","[LONI QUEENBEE] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[SDSC DASH] Number of Jobs Started"
2012-02-01,3895,1995,15008,718,1404,0,446,187,117,29,82,1,5,0,2
2012-02-02,11146,630,7780,1385,1845,0,494,268,184,23,57,41,6,0,1
2012-02-03,7088,2882,5147,492,1947,0,334,151,141,32,75,2,0,0,1
2012-02-04,2947,1027,10470,344,1310,0,170,119,52,8,50,0,0,0,0
2012-02-05,2622,1108,18810,176,1188,0,504,88,36,20,21,2,4,0,0
2012-02-06,3240,1673,800,24,1979,0,429,151,179,38,48,14,16,0,0
2012-02-07,5387,1320,1053,1411,1506,0,296,110,107,59,53,8,12,0,2
2012-02-08,6929,1405,40,694,1707,0,169,206,162,22,82,3,3,0,9
2012-02-09,4964,1365,43,786,1420,0,648,235,158,98,59,2,22,0,3
2012-02-10,3403,2172,24,907,2097,0,613,250,343,81,78,6,25,0,0
2012-02-11,2658,769,24,548,1243,0,565,88,477,18,35,21,66,0,0
2012-02-12,1805,730,20,516,1192,0,596,181,272,22,27,17,0,0,4
2012-02-13,1104,1658,20,913,1873,0,701,134,301,83,87,15,4,0,4
2012-02-14,2857,1347,20,1067,859,0,731,191,330,81,69,8,0,0,2
2012-02-15,3510,1293,40,1247,1903,0,397,161,57,154,62,6,3,0,8
2012-02-16,966,1232,1599,1323,2284,0,238,160,87,99,63,2,1,0,0
2012-02-17,1059,1218,2206,1131,1440,0,601,178,56,54,55,4,2,0,0
2012-02-18,447,714,2209,2759,241,0,88,86,24,16,11,0,0,0,0
2012-02-19,1913,999,24,2022,1716,0,309,154,26,30,28,9,1,0,2
2012-02-20,249,798,624,2764,4197,0,487,165,138,17,20,9,3,0,0
2012-02-21,256,1069,457,738,2130,0,552,319,165,32,48,4,3,0,0
2012-02-22,450,1518,1013,1902,2580,0,692,187,102,21,97,5,1,0,0
