title
"Number of Jobs Started: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[TACC STAMPEDE] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[NCSA FORGE] Number of Jobs Started","[TACC SPUR] Number of Jobs Started"
2012-08-01,4360,3239,2058,1870,1321,1309,637,0,296,39,20,24,179,24
2012-08-02,4667,2269,1175,591,1304,921,488,0,165,68,16,60,203,12
2012-08-03,4937,2182,998,694,1621,437,603,0,174,61,3,58,457,3
2012-08-04,5223,1836,506,350,700,221,447,0,20,29,9,21,284,5
2012-08-05,2783,1476,17125,669,674,426,423,0,20,45,8,13,109,1
2012-08-06,1126,1828,4881,645,1118,253,441,0,134,78,5,33,176,9
2012-08-07,2408,2440,363,417,1510,493,588,0,83,60,0,41,66,2
2012-08-08,1703,2389,329,418,967,1931,873,0,94,65,10,52,93,16
2012-08-09,5741,2235,367,745,679,1773,623,0,134,43,13,49,94,21
2012-08-10,5904,2262,179,698,918,1297,586,0,263,58,18,23,74,9
2012-08-11,4267,1668,39,227,760,826,201,0,56,38,44,5,45,30
2012-08-12,2591,1155,22,201,971,444,204,0,215,24,57,14,48,19
2012-08-13,4300,2559,138,716,1504,475,288,0,144,54,39,41,59,5
2012-08-14,2946,2772,357,557,1183,1560,392,0,105,56,0,24,129,5
2012-08-15,4907,4763,1841,595,1375,2907,384,0,38,56,0,73,105,3
2012-08-16,6503,3161,133,1066,1423,5796,280,0,70,86,3,50,87,6
2012-08-17,2734,2394,168,1123,1125,5655,333,0,54,63,69,76,138,8
2012-08-18,5009,1595,97,929,973,4065,282,0,62,44,21,8,127,0
2012-08-19,2670,2346,54,610,1071,6726,210,0,90,53,12,209,73,30
2012-08-20,1356,2778,9654,558,1539,6447,310,0,182,72,58,160,159,60
2012-08-21,875,2302,10469,527,1610,3294,333,0,164,58,0,37,289,23
2012-08-22,2268,2119,7069,531,1430,2495,325,0,159,63,8,48,78,6
2012-08-23,2034,2305,4908,736,1909,697,307,0,208,52,46,26,28,1
2012-08-24,1935,1922,1643,522,2037,715,370,0,155,40,8,14,47,1
2012-08-25,964,1294,22,1782,2028,1682,160,0,368,36,7,14,31,2
2012-08-26,1142,2932,25,411,3387,1805,213,0,197,31,3,3,55,4
2012-08-27,1281,2725,7047,733,2494,4688,285,0,226,57,19,42,90,11
2012-08-28,5225,2023,3170,825,3078,2324,333,0,218,42,0,32,109,3
2012-08-29,6501,2760,2428,816,1951,1975,375,0,225,39,16,59,37,1
2012-08-30,7617,2489,4425,1403,1229,1300,415,0,171,47,4,35,65,0
2012-08-31,5314,2866,6313,1108,1777,2867,356,0,140,50,8,12,70,4
2012-09-01,9645,2697,3492,1108,1977,993,197,0,148,27,1,2,210,1
2012-09-02,4623,3258,1558,507,1107,509,185,0,171,29,4,15,249,1
2012-09-03,8279,5936,26,661,856,1444,361,0,146,47,2,4,99,2
2012-09-04,8816,3366,254,857,994,820,390,0,208,43,3,32,222,12
2012-09-05,10803,3612,1108,1528,974,669,313,0,104,70,8,19,131,2
2012-09-06,8150,2572,1583,3043,1846,2565,484,0,108,76,13,21,156,8
2012-09-07,1619,3360,3874,4095,1189,2612,424,0,167,52,7,45,54,0
2012-09-08,2759,1970,5440,372,1127,328,213,0,98,59,30,20,58,0
2012-09-09,3394,3536,2658,419,662,2020,249,0,67,34,15,18,57,0
2012-09-10,4342,3504,5463,2972,1441,648,515,0,54,63,3,41,127,0
2012-09-11,5144,2931,3210,3524,1246,561,399,0,97,63,0,93,42,3
2012-09-12,5048,2016,6029,3289,1153,725,519,0,184,60,5,60,76,2
2012-09-13,10325,2394,863,3325,773,881,241,0,169,45,0,18,91,0
2012-09-14,5353,2621,3440,3222,1,1304,0,0,287,0,4,38,78,0
2012-09-15,5213,2859,2996,5421,0,2260,112,0,232,54,7,4,129,0
2012-09-16,2283,3438,1904,1472,994,3746,241,0,324,42,8,6,61,0
2012-09-17,6091,2703,392,3670,991,1470,419,0,384,108,17,9,58,3
2012-09-18,8814,2889,433,3466,916,677,591,0,541,87,2,10,67,51
2012-09-19,8900,3336,495,4585,1338,1177,392,0,356,95,5,25,58,32
2012-09-20,9979,2749,529,3169,1299,923,345,0,180,81,11,104,126,7
2012-09-21,7557,3033,101,1752,1044,674,387,0,266,107,12,69,79,4
2012-09-22,10889,1665,52,429,952,1702,324,0,222,44,6,15,52,0
2012-09-23,8918,2066,28,732,474,890,353,0,186,59,5,28,47,0
2012-09-24,5689,2764,30,746,1252,1775,422,0,197,108,7,337,100,5
2012-09-25,6629,2702,30,3008,1194,864,512,0,159,35,16,559,47,7
2012-09-26,8294,2964,17,804,1004,1171,445,0,179,87,31,43,64,7
2012-09-27,9570,4740,100,647,723,575,411,0,208,84,35,28,18,5
2012-09-28,8837,3275,766,1116,1268,1154,425,0,224,62,9,28,54,0
2012-09-29,11866,3145,2118,336,963,385,286,0,165,49,2,5,2,1
2012-09-30,5523,2194,796,323,943,204,407,0,178,57,6,8,0,2
2012-10-01,9308,2606,411,804,1662,375,405,0,229,106,18,0,0,0
2012-10-02,13321,3072,4,1234,1335,476,262,0,422,97,31,41,0,0
2012-10-03,11052,2429,1003,905,1367,638,437,0,533,60,27,40,0,2
2012-10-04,5567,2680,16565,2308,1188,448,673,0,172,53,20,35,0,0
2012-10-05,5526,2247,27051,598,1023,386,471,0,238,91,27,45,0,0
2012-10-06,8189,2671,13676,719,1060,358,248,0,263,40,19,20,0,0
2012-10-07,6364,3004,20,1044,1143,435,536,0,162,26,43,18,0,0
2012-10-08,3497,2670,17927,4483,917,1038,332,0,273,69,32,25,0,0
2012-10-09,5972,1599,24911,4808,1119,1048,895,0,228,57,12,53,0,0
2012-10-10,6664,2323,13615,3102,1117,851,853,0,197,82,19,66,0,1
2012-10-11,4767,1269,8047,1772,720,512,547,0,151,67,7,34,0,2
2012-10-12,6521,3005,5946,777,804,598,644,0,247,66,28,28,0,1
2012-10-13,8621,3949,1989,600,849,951,79,0,204,8,19,16,0,0
2012-10-14,9709,2855,415,346,968,143,151,0,197,28,35,24,0,0
2012-10-15,9363,2134,2878,1565,851,373,527,0,229,51,4,78,0,3
2012-10-16,3893,3578,2514,995,1073,687,446,0,157,57,472,30,0,1
2012-10-17,4035,2389,1795,1196,1606,486,480,0,165,65,304,59,0,2
2012-10-18,8243,2901,3586,1395,1886,540,665,0,184,43,26,63,0,0
2012-10-19,10399,2158,4376,1457,1701,396,439,0,191,65,35,52,0,1
2012-10-20,9273,2049,2164,1134,1053,803,281,0,232,42,53,78,0,0
2012-10-21,10908,2616,1565,213,1233,496,354,0,193,15,47,29,0,0
2012-10-22,7633,3103,4240,764,1368,67,278,0,230,67,23,15,0,2
2012-10-23,2243,2618,4429,3152,1839,3238,362,0,200,69,9,14,0,5
