title
"Number of Jobs Started: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[OSG] Number of Jobs Started","[TACC STAMPEDE] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[NICS DARTER] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[TACC MAVERICK2] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[CCT LSU SUPERMIC] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[GATECH KIDS] Number of Jobs Started"
2014-08-01,0,5456,1672,837,2038,295,2071,11,92,0,20,43
2014-08-02,0,7421,620,924,2235,728,2190,0,72,0,17,404
2014-08-03,0,5406,530,753,1985,479,182,3,229,0,17,22
2014-08-04,0,5877,986,1967,2634,211,1498,682,174,0,29,10
2014-08-05,0,3056,1445,2758,853,18,231,149,297,0,0,10
2014-08-06,0,3653,1575,3084,515,372,2286,30,176,0,10,6
2014-08-07,0,3370,1892,960,1783,282,1153,56,204,0,24,20
2014-08-08,0,5389,1155,1247,1740,334,103,81,152,0,9,66
2014-08-09,0,8859,700,897,1824,174,38,14,68,0,4,17
2014-08-10,0,7418,570,404,1551,764,858,706,79,0,12,1
2014-08-11,0,7229,819,755,1696,350,1485,890,112,0,29,2
2014-08-12,0,10816,995,584,1236,223,1216,272,192,0,16,36
2014-08-13,0,7108,1135,703,203,493,147,544,333,0,9,113
2014-08-14,0,5848,1180,622,100,324,110,815,147,0,7,26
2014-08-15,0,4643,1615,644,180,346,147,285,258,0,3,85
2014-08-16,0,5676,1228,407,45,218,60,772,83,0,7,3
2014-08-17,0,5943,873,608,64,196,54,229,74,0,8,2
2014-08-18,0,6377,895,789,1058,143,255,114,297,0,12,1
2014-08-19,0,5512,871,770,1586,30,185,97,420,0,10,17
2014-08-20,0,4215,1306,830,1552,522,103,73,446,0,15,0
2014-08-21,0,3957,772,645,2082,238,158,51,207,0,8,13
2014-08-22,0,3197,884,696,1974,210,245,83,230,0,15,0
2014-08-23,0,7087,909,445,1939,185,197,66,246,0,5,10
2014-08-24,0,6625,589,281,1528,215,321,55,176,0,4,4
2014-08-25,0,6259,1048,460,1082,217,131,113,145,0,5,4
2014-08-26,0,7253,1213,728,56,691,76,84,142,0,5,3
2014-08-27,0,7005,1102,723,1093,139,133,169,206,0,3,0
2014-08-28,0,5271,1700,619,1026,270,1407,99,167,0,4,0
2014-08-29,0,4116,1113,448,1043,302,2976,84,127,0,14,0
2014-08-30,0,5264,820,770,1667,68,4141,56,149,0,26,0
2014-08-31,0,7204,637,299,111,25,2209,62,148,0,29,0
2014-09-01,0,6924,1090,518,1282,28,81,80,139,0,6,0
2014-09-02,0,4128,662,681,1844,7,68,103,120,0,5,0
2014-09-03,0,6800,1271,910,32,219,124,130,149,0,5,0
2014-09-04,0,5957,832,827,1313,360,95,120,205,0,9,0
2014-09-05,0,5269,687,646,642,134,88,125,215,0,4,0
2014-09-06,0,4155,611,487,47,19,94,61,130,0,6,0
2014-09-07,0,5505,771,515,73,20,79,84,70,0,4,0
2014-09-08,0,3717,612,916,1147,25,87,94,274,0,3,0
2014-09-09,0,1885,536,734,1253,21,1049,121,298,0,5,0
2014-09-10,0,4598,684,687,1009,75,1235,159,247,0,6,0
2014-09-11,0,4770,440,837,1468,177,850,173,330,0,4,0
2014-09-12,0,5787,420,914,547,577,445,66,426,0,6,0
2014-09-13,0,4468,488,700,63,20,187,94,335,0,6,0
2014-09-14,0,3091,561,324,87,54,90,69,364,0,4,0
2014-09-15,0,4742,746,280,973,127,444,142,368,0,4,0
2014-09-16,0,3016,455,767,1488,326,525,119,816,0,6,0
2014-09-17,0,3232,743,1938,604,301,6,91,1028,0,4,0
2014-09-18,0,3867,779,584,858,297,79,98,506,0,5,0
2014-09-19,0,5044,616,758,1329,219,114,215,339,0,9,0
2014-09-20,0,4064,707,370,125,157,79,118,120,0,7,0
2014-09-21,0,4872,638,691,74,159,9,121,111,0,4,0
2014-09-22,0,5153,761,734,477,169,57,150,542,0,5,0
2014-09-23,0,4881,626,701,1145,162,18,111,218,0,3,0
2014-09-24,0,2850,722,523,274,167,5,129,258,0,1,0
2014-09-25,0,4325,604,710,550,122,144,118,342,0,4,0
2014-09-26,0,4250,811,779,642,95,19,98,142,0,4,0
2014-09-27,0,4371,416,330,676,47,21,44,26,0,3,0
2014-09-28,0,4289,684,667,1269,48,28,337,148,0,4,0
2014-09-29,0,7323,707,962,782,224,198,131,535,0,5,0
2014-09-30,0,3300,702,1263,759,9,100,54,237,0,4,0
2014-10-01,0,14441,832,1096,113,241,67,47,163,0,5,0
2014-10-02,0,4309,2015,1860,99,192,276,54,253,0,6,0
2014-10-03,0,3707,1811,862,234,123,82,35,284,17,11,0
2014-10-04,0,2604,1463,917,230,101,118,89,313,0,23,0
2014-10-05,0,3208,869,605,102,201,150,42,19,0,27,0
2014-10-06,0,9001,835,692,448,173,295,83,22,10,12,0
2014-10-07,0,6678,921,644,651,229,171,57,24,0,35,0
2014-10-08,0,2647,1151,820,304,394,145,95,9,1,0,0
2014-10-09,0,3605,1291,486,1158,439,167,86,34,4,0,0
2014-10-10,0,4262,1044,484,320,456,80,65,55,8,0,0
2014-10-11,0,2554,1454,286,19,36,87,51,33,0,0,0
2014-10-12,0,3417,1904,341,193,557,204,48,24,0,0,0
2014-10-13,0,4759,1561,1259,805,434,91,45,221,5,0,0
2014-10-14,0,9020,1588,1278,1365,256,177,85,205,2,14,0
2014-10-15,0,7101,1624,825,1173,362,184,85,24,12,8,0
2014-10-16,0,3600,1402,2859,3258,517,156,74,27,4,43,0
2014-10-17,0,4140,1885,870,569,313,136,82,46,32,4,0
2014-10-18,0,3814,1764,519,346,332,89,43,60,0,5,0
2014-10-19,0,1773,2251,398,1235,190,34,50,10,0,6,0
2014-10-20,0,3482,1775,921,614,368,101,95,33,5,4,0
2014-10-21,0,1074,1373,633,1956,671,31,70,31,6,6,0
2014-10-22,0,4113,1015,779,368,390,149,50,46,3,2,0
2014-10-23,0,2717,919,901,2613,443,71,50,89,0,3,0
2014-10-24,0,7871,2738,799,2725,346,45,79,39,0,4,0
2014-10-25,0,4701,2464,324,1139,301,69,49,27,0,3,0
2014-10-26,0,4083,1950,312,700,291,135,76,34,0,3,0
2014-10-27,0,3920,1123,847,1177,604,165,53,141,0,4,0
2014-10-28,0,1568,1019,1695,1048,601,103,51,111,0,5,0
2014-10-29,0,2934,2159,728,522,1003,40,70,162,0,3,0
2014-10-30,0,3533,1869,1090,583,292,63,95,61,0,4,0
2014-10-31,0,4914,989,925,1182,372,51,50,58,9,3,0
2014-11-01,0,3481,483,247,74,859,33,56,22,3,0,0
2014-11-02,0,3707,302,1812,1731,373,24,14,20,3,1,0
2014-11-03,0,4778,1414,890,773,1087,33,121,60,6,5,0
2014-11-04,0,3696,816,2590,340,237,25,145,55,3,6,0
2014-11-05,0,5301,1197,1434,419,877,36,150,49,6,0,0
2014-11-06,0,3504,932,864,1713,1783,36,131,48,14,0,0
2014-11-07,0,3728,832,663,528,432,38,431,162,15,6,0
2014-11-08,0,5215,796,361,251,770,25,440,18,1,3,0
2014-11-09,0,4652,1041,453,279,529,14,36,16,6,3,0
2014-11-10,0,3455,1266,609,323,1436,23,839,55,3,5,0
2014-11-11,0,2865,1446,624,547,1069,14,736,48,1,1,0
2014-11-12,0,3370,1882,815,456,1862,16,209,30,17,8,0
2014-11-13,0,4256,1179,1675,564,2298,28,339,73,4,43,0
2014-11-14,0,3271,1196,514,278,1396,55,210,66,12,26,0
2014-11-15,0,2312,952,357,82,1605,7,107,42,4,5,0
2014-11-16,0,4930,1618,310,160,565,70,253,91,6,10,0
2014-11-17,0,3410,1857,946,235,533,63,514,210,4,5,0
2014-11-18,0,3885,1578,927,343,362,38,357,160,4,7,0
2014-11-19,0,3215,1711,1228,82,340,86,75,166,7,12,0
2014-11-20,0,3323,1098,1699,173,175,60,61,169,11,6,0
2014-11-21,0,3519,1181,1511,189,543,87,109,51,6,2,0
2014-11-22,0,2726,831,1088,40,688,130,62,35,6,1,0
2014-11-23,0,3074,1245,542,14,286,326,60,29,8,1,0
2014-11-24,0,3280,856,1658,578,595,175,96,50,7,2,0
2014-11-25,0,1410,677,2358,116,374,173,74,68,16,1,0
2014-11-26,0,3052,702,1019,104,360,95,54,50,10,1,0
2014-11-27,0,1753,785,742,61,320,76,68,62,6,1,0
2014-11-28,0,2297,678,897,72,366,102,51,32,5,1,0
2014-11-29,0,2446,703,518,26,671,153,23,104,5,1,0
2014-11-30,0,2390,1031,361,66,143,187,44,97,7,4,0
2014-12-01,0,7491,776,855,145,1070,110,106,167,6,1,0
2014-12-02,0,4575,682,2053,183,66,93,97,79,6,3,0
2014-12-03,0,4471,1517,4130,66,339,52,66,68,6,0,0
2014-12-04,0,2054,639,860,153,430,179,74,80,80,3,0
2014-12-05,0,2480,699,2894,262,370,207,163,58,15,2,0
2014-12-06,0,2403,671,3402,41,382,155,0,79,5,4,0
2014-12-07,0,2731,1467,2943,128,946,115,154,48,8,1,0
2014-12-08,0,3862,1141,2175,101,606,190,98,337,7,2,0
2014-12-09,0,4670,1327,3034,192,350,159,232,117,11,1,0
2014-12-10,0,3732,1886,3491,94,172,74,121,363,9,4,0
2014-12-11,0,4078,1961,3376,196,136,101,234,174,12,6,0
2014-12-12,0,3027,1854,753,345,241,137,114,593,24,9,0
2014-12-13,0,2712,1907,345,76,427,70,138,230,20,4,0
2014-12-14,0,5460,4076,302,107,343,42,132,85,14,1,0
2014-12-15,0,3643,5003,2418,95,760,124,127,101,50,1,0
2014-12-16,0,2560,1634,3387,42,1025,140,102,202,42,5,0
2014-12-17,0,2554,3732,1312,235,518,141,174,115,26,4,0
2014-12-18,0,3050,5110,828,2,109,133,160,141,30,1,0
2014-12-19,0,2634,3349,1626,29,523,94,148,459,22,2,0
2014-12-20,0,2145,5204,2111,18,542,59,75,341,16,1,0
2014-12-21,0,3291,3196,1262,93,500,69,29,294,14,1,0
2014-12-22,0,2995,4066,4456,41,815,40,73,93,16,1,0
2014-12-23,0,2862,3022,2767,23,724,46,74,225,12,2,0
2014-12-24,0,2547,2714,1365,12,304,33,58,141,9,7,0
2014-12-25,0,1725,2962,796,19,331,19,156,72,12,6,0
2014-12-26,0,1355,4305,224,16,421,45,158,37,9,9,0
2014-12-27,0,2033,2810,409,22,301,14,138,39,12,10,0
2014-12-28,0,3261,3182,307,10,264,23,31,28,12,6,0
2014-12-29,0,2004,849,725,26,337,81,20,55,9,7,0
2014-12-30,0,2606,1167,229,49,94,93,93,10,16,5,0
2014-12-31,0,3918,356,101,16,45,55,55,4,14,4,0
2015-01-01,0,2513,187,133,8,0,63,135,2,18,4,0
2015-01-02,0,3374,1137,600,3,0,63,264,0,10,4,0
2015-01-03,0,2587,3566,696,3,0,43,40,0,11,20,0
2015-01-04,0,129,7052,264,2,0,0,47,0,23,12,0
2015-01-05,0,401,2116,2332,17,0,18,85,0,18,1,0
2015-01-06,0,3735,1622,652,16,0,69,57,0,12,1,0
2015-01-07,0,4138,7458,893,2,0,93,121,0,25,0,0
2015-01-08,0,4002,6408,1402,52,0,68,56,0,15,7,0
2015-01-09,0,3919,2012,303,24,0,72,51,0,7,15,0
2015-01-10,1,2794,1827,285,21,0,12,15,0,5,4,0
2015-01-11,0,3259,5642,279,15,0,21,91,0,20,2,0
2015-01-12,1,4482,2081,661,102,0,90,78,0,10,3,0
2015-01-13,2,1463,1523,1164,90,0,4,76,0,12,1,0
2015-01-14,10,3259,1647,836,58,0,87,136,0,15,4,0
2015-01-15,4,3367,4029,1457,121,0,120,125,0,17,15,0
2015-01-16,3,4471,3668,524,62,0,72,165,0,25,3,0
2015-01-17,7366,3089,2783,656,61,0,25,54,0,28,2,0
2015-01-18,62152,3561,5353,665,28,0,40,81,0,26,2,0
2015-01-19,55614,4172,3833,571,21,0,93,96,0,25,1,0
2015-01-20,88432,4340,2340,1138,281,0,44,91,2,29,1,0
2015-01-21,92649,4559,4453,2781,212,0,24,55,0,64,1,0
2015-01-22,47986,4149,2988,849,103,0,36,116,1,36,6,0
2015-01-23,55830,4661,1943,1306,182,0,56,80,2,55,8,0
2015-01-24,68708,3380,4445,522,43,0,8,51,0,69,2,0
2015-01-25,80681,3914,1529,376,28,0,142,56,0,116,1,0
2015-01-26,93273,5760,2414,515,299,0,194,134,0,108,1,0
2015-01-27,48597,3691,3628,690,304,0,120,113,1,111,1,0
2015-01-28,37414,3444,3531,805,108,0,65,103,1,137,0,0
2015-01-29,70739,3696,4098,1062,324,0,52,120,3,96,4,0
2015-01-30,96755,4116,1375,1066,151,0,54,215,0,86,4,0
2015-01-31,139177,3569,4741,394,87,0,14,73,0,82,1,0
---------
