title
"Number of Jobs Started: by Resource"
parameters

start,end
2015-02-01,2015-07-31
---------
Day,"[OSG] Number of Jobs Started","[TACC STAMPEDE] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[SDSC COMET] Number of Jobs Started","[NICS DARTER] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[TACC MAVERICK2] Number of Jobs Started","[CCT LSU SUPERMIC] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started"
2015-02-01,183797,4058,1795,0,59,1725,59,22,79,3,1
2015-02-02,148314,4124,1985,0,60,1607,166,44,100,2,0
2015-02-03,84636,5131,1045,0,188,924,98,48,87,1,1
2015-02-04,40165,4197,1017,0,93,1294,50,75,374,5,11
2015-02-05,61246,4037,1227,0,88,990,58,82,182,8,4
2015-02-06,66260,3631,1182,0,133,661,50,67,89,6,1
2015-02-07,49801,2827,1460,0,19,358,2,49,88,11,0
2015-02-08,73618,3823,777,0,43,324,46,63,100,12,0
2015-02-09,154260,4613,2125,0,304,1119,88,34,110,21,10
2015-02-10,73651,1378,2722,0,382,3190,93,103,117,11,5
2015-02-11,172491,2193,1414,0,405,2262,81,104,194,6,0
2015-02-12,56476,2962,1513,0,153,1614,126,71,156,18,5
2015-02-13,91502,2772,1379,0,189,1547,157,108,148,34,0
2015-02-14,89460,1664,617,0,7,1137,74,38,180,17,1
2015-02-15,147894,2159,1304,0,17,1553,27,65,203,16,0
2015-02-16,129193,2978,1527,0,75,2743,94,100,218,17,0
2015-02-17,140566,2732,1423,0,61,1654,120,89,105,9,1
2015-02-18,93389,3145,2209,0,29,2587,15,46,151,8,0
2015-02-19,58413,2963,2071,0,48,3557,362,130,207,16,0
2015-02-20,59575,2878,1147,0,42,1453,370,146,79,24,0
2015-02-21,106294,2366,887,0,64,336,338,64,108,33,0
2015-02-22,126571,2506,1327,0,68,3059,839,50,115,37,0
2015-02-23,47554,3368,1344,0,114,3494,634,56,154,31,0
2015-02-24,11296,4103,1365,0,148,2620,597,116,128,32,0
2015-02-25,21357,3044,1530,0,93,2296,1305,239,107,30,1
2015-02-26,48331,2902,1542,0,339,3782,853,54,103,29,1
2015-02-27,73437,1869,1865,0,110,1056,1412,131,92,30,0
2015-02-28,80766,1969,981,0,70,634,607,58,44,29,0
2015-03-01,76493,2580,1292,0,62,525,581,51,67,30,0
2015-03-02,81932,3237,1301,0,76,1439,362,45,112,29,5
2015-03-03,78606,3769,1585,0,117,1758,1519,62,158,28,5
2015-03-04,85096,3218,1770,0,76,615,438,132,97,29,4
2015-03-05,92323,3304,1580,0,167,385,555,210,104,34,5
2015-03-06,263500,3761,1794,0,343,864,124,329,69,32,7
2015-03-07,266038,3006,3021,0,84,223,82,347,148,27,0
2015-03-08,308726,2663,163,0,51,37,67,110,51,30,6
2015-03-09,125446,3282,2002,0,206,537,73,320,101,28,3
2015-03-10,88002,3191,1757,0,777,679,197,117,115,25,11
2015-03-11,45592,3998,1887,0,972,653,99,225,106,30,2
2015-03-12,67210,3515,866,0,1310,512,101,40,46,25,4
2015-03-13,114422,3103,1438,0,158,622,131,37,119,14,5
2015-03-14,142003,1812,1376,0,124,490,51,87,43,8,2
2015-03-15,204319,2368,1170,0,68,789,64,68,73,24,4
2015-03-16,288618,2777,883,0,61,712,136,78,58,21,0
2015-03-17,97950,3443,1260,0,136,709,69,68,92,16,0
2015-03-18,83548,3415,1762,0,98,697,208,61,75,23,4
2015-03-19,39776,2961,1679,0,98,690,340,439,115,36,0
2015-03-20,29746,3434,1357,0,129,715,223,340,81,29,4
2015-03-21,82098,2036,1107,0,412,553,191,125,99,31,0
2015-03-22,113381,2240,542,0,775,419,200,101,99,31,1
2015-03-23,68610,3412,1383,0,338,583,196,59,113,23,0
