Day,[PURDUE STEELE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[SDSC DASH] Number of Jobs Started
2011-02-01,34030,234,2678,73,1019,755,1968,367,0,144,436,123,367,12,8,167,0,114,11,2
2011-02-02,33468,4184,1866,58,1001,632,1288,465,29,192,853,35,681,30,72,65,0,37,4,4
2011-02-03,29824,8951,740,69,1071,442,2286,294,126,266,412,127,445,22,110,43,0,99,1,0
2011-02-04,13360,3327,2884,54,1132,629,1760,251,146,371,41,112,50,35,137,45,0,82,2,2
2011-02-05,13153,15,1795,13,1161,499,1454,48,62,291,147,158,259,67,904,51,0,87,2,1
2011-02-06,9401,72,2196,19,1263,174,358,58,66,373,142,118,127,69,463,64,0,132,6,1
2011-02-07,8622,7351,1918,48,1440,294,1936,155,115,216,43,107,165,10,162,63,0,99,4,1
2011-02-08,12601,3176,19,75,1179,204,2552,220,48,246,179,136,163,14,217,53,0,89,4,3
2011-02-09,15787,7231,0,71,1556,637,1772,250,169,578,85,93,164,126,691,155,0,91,6,14
2011-02-10,14712,1308,0,151,1156,182,2644,199,136,590,57,141,122,8,1171,68,0,98,6,10
2011-02-11,6619,4683,0,147,1071,161,1325,217,227,587,201,100,168,105,286,61,0,95,2,4
2011-02-12,4550,5807,3,161,1707,1042,2336,158,105,411,34,104,221,104,45,37,0,110,0,8
2011-02-13,4585,5922,0,55,1207,2757,1264,158,104,236,88,64,183,19,32,19,0,58,5,0
2011-02-14,4522,6288,3,79,892,238,2750,152,105,268,111,80,223,354,132,18,0,95,3,25
2011-02-15,4032,5734,594,90,914,127,2560,186,103,355,402,76,246,0,199,26,0,87,2,5
2011-02-16,9195,274,1329,80,1292,97,1539,188,406,208,633,124,493,2,503,28,0,80,5,11
2011-02-17,3105,691,2828,22,1164,196,1400,1139,408,319,460,166,277,1,992,53,0,90,3,13
2011-02-18,9233,4048,2073,44,1019,98,1733,490,165,325,150,121,169,14,31,98,0,70,10,9
2011-02-19,7904,1406,1870,32,1295,178,4472,263,185,131,86,54,99,16,50,59,0,75,11,5
2011-02-20,7543,3314,2409,17,1485,108,1445,143,151,190,36,34,205,16,41,33,0,62,13,12
2011-02-21,8026,310,2138,29,875,137,1179,659,224,211,55,86,173,40,41,58,0,67,6,16
2011-02-22,11820,194,3375,21,1328,323,2045,2562,124,218,96,151,229,9,44,65,0,50,13,2
2011-02-23,15207,1499,591,83,1084,798,3170,328,404,657,24,125,158,57,40,5,0,48,0,4
2011-02-24,4845,920,1172,120,1454,3862,1709,371,989,471,79,156,119,49,63,73,0,33,2,2
2011-02-25,2378,3297,2154,101,1085,2553,1575,537,568,117,50,46,151,17,40,4,0,46,0,2
2011-02-26,1472,1562,2809,55,991,614,1733,248,341,218,53,26,169,9,29,4,0,25,0,2
2011-02-27,1109,656,1654,103,1436,162,1057,173,318,105,93,34,135,12,29,2,0,21,3,3
2011-02-28,1786,1166,1091,222,995,35,1428,798,505,357,151,93,244,31,48,77,0,27,2,2
2011-03-01,21559,1741,7698,217,1012,128,1750,251,380,350,204,53,189,51,40,168,0,22,4,10
2011-03-02,46424,1447,5161,109,1158,152,3354,599,836,412,15,96,143,22,112,26,0,31,10,19
2011-03-03,35194,1028,4317,294,684,97,749,762,983,227,47,47,121,16,128,45,0,47,1,5
2011-03-04,35222,1445,2371,300,948,111,2067,374,398,92,72,65,126,51,137,26,0,36,2,1
2011-03-05,19126,226,2248,72,745,73,3024,329,167,301,53,22,71,3,207,53,0,26,1,3
2011-03-06,65027,1024,5276,51,1490,103,2994,603,183,832,51,20,65,19,213,24,0,42,2,2
2011-03-07,67286,588,3754,116,1267,329,1951,634,281,689,81,37,61,22,134,42,0,73,5,3
2011-03-08,51051,14480,1607,91,1104,136,1167,664,219,336,40,30,201,11,309,29,0,51,10,0
2011-03-09,8222,9669,868,111,773,1160,1580,161,306,260,288,58,144,73,360,43,0,73,2,2
2011-03-10,47714,15526,562,119,583,177,1707,495,417,198,238,19,99,31,63,29,0,46,1,0
2011-03-11,59369,2276,979,89,366,1238,1028,345,235,614,46,71,175,34,86,14,0,8,3,0
2011-03-12,24404,1005,1024,42,67,573,1324,176,103,889,16,17,19,0,75,72,0,0,0,0
2011-03-13,26377,2120,2121,11,305,154,335,177,187,247,317,28,73,1,95,16,0,28,0,2
2011-03-14,21843,3312,1832,73,1504,326,1165,269,418,192,196,67,79,1,91,24,0,29,3,0
2011-03-15,55694,10809,1726,169,383,132,835,221,375,316,314,40,128,0,125,33,0,40,0,5
2011-03-16,54924,146,1367,119,744,149,708,248,378,101,68,128,234,12,370,15,0,50,2,5
2011-03-17,15953,405,2052,100,836,445,460,326,300,181,252,166,246,12,40,42,0,60,1,3
2011-03-18,12485,898,1945,134,673,415,1106,238,317,129,257,99,142,9,37,10,0,28,4,3
2011-03-19,10507,32,2553,53,658,111,877,175,139,82,78,115,147,17,41,12,0,21,5,21
2011-03-20,8309,44,5280,122,861,95,1307,82,319,156,31,31,229,18,40,30,0,22,10,6
2011-03-21,12832,8826,4667,223,895,114,1867,317,257,166,246,76,178,21,56,15,0,52,3,9
2011-03-22,10696,4721,3721,134,779,58,3177,282,241,211,322,69,85,4,45,17,0,42,0,0
2011-03-23,11101,14179,296,119,806,273,6683,267,183,403,52,60,80,0,56,11,0,48,2,4
2011-03-24,6873,10023,2696,66,985,345,5686,281,368,327,98,73,167,5,47,17,0,45,9,10
2011-03-25,31244,3158,2281,125,701,244,541,284,220,153,126,61,202,47,87,14,0,28,7,24
2011-03-26,14109,46,2623,43,687,106,1599,322,222,216,288,41,128,3,74,4,0,28,2,8
2011-03-27,2497,43,3628,34,785,1376,907,313,124,176,32,74,109,16,66,8,0,6,16,10
2011-03-28,13188,1051,3740,122,655,1998,931,467,397,267,342,83,163,33,87,5,0,13,12,25
2011-03-29,1977,17,2730,145,595,355,852,567,457,171,326,294,205,41,79,8,0,25,12,20
2011-03-30,9602,4004,2603,179,703,195,343,233,606,166,154,326,74,23,69,10,0,24,4,42
