Day,[OSG] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[CCT LSU SUPERMIC] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started
2015-08-01,2173,1490,1991,451,285,31,178,0,11,0
2015-08-02,4911,915,2259,452,249,76,172,0,58,0
2015-08-03,5189,1762,2736,710,365,240,188,0,46,0
2015-08-04,3937,1190,2308,799,342,172,186,0,48,0
2015-08-05,5927,1568,2973,768,290,92,201,0,114,0
2015-08-06,18974,1335,2462,574,513,170,133,0,66,0
2015-08-07,2812,1409,2715,427,483,108,237,0,105,0
2015-08-08,4122,1103,1982,457,148,164,167,0,28,0
2015-08-09,982,1784,2489,632,111,66,144,0,8,0
2015-08-10,331,2637,3660,890,290,228,208,0,84,0
2015-08-11,5622,1821,3065,1707,275,197,161,0,80,0
2015-08-12,108974,21654,3057,1232,257,457,164,0,79,0
2015-08-13,11401,7726,2625,814,165,194,144,0,65,0
2015-08-14,2685,2383,2770,1256,238,182,159,0,45,0
2015-08-15,103,1122,2120,253,171,127,129,0,6,0
2015-08-16,116,982,492,602,311,176,16,0,0,0
2015-08-17,505,2237,2671,1712,281,264,91,0,0,0
2015-08-18,580,3325,1822,1459,192,158,58,0,0,0
2015-08-19,3003,10167,3398,2283,332,123,87,0,0,0
2015-08-20,1521,2881,3208,1759,418,104,27,0,0,0
2015-08-21,1378,1833,3004,1534,246,107,30,0,0,0
2015-08-22,1472,1585,2044,1324,163,109,40,0,0,0
2015-08-23,1789,1186,1939,625,133,96,3,0,0,0
2015-08-24,1687,2414,3214,1335,188,120,142,0,0,0
2015-08-25,2230,2398,3571,1420,297,69,25,0,0,0
2015-08-26,1916,4148,3619,1142,439,97,57,0,0,0
2015-08-27,1207,18992,3041,697,440,85,42,0,0,0
2015-08-28,608,3313,3301,610,388,70,30,0,0,1
2015-08-29,390,32362,2598,755,496,37,21,0,0,0
2015-08-30,233,6494,3694,998,492,64,31,0,0,0
2015-08-31,1349,6581,5208,1357,267,28,59,0,0,0
2015-09-01,1511,6792,3511,1644,250,68,45,0,0,0
2015-09-02,1972,9950,3209,1424,152,36,76,0,0,0
2015-09-03,1570,5999,544,1077,159,100,13,0,0,0
2015-09-04,1103,5455,3059,690,107,75,57,0,0,0
2015-09-05,1404,8339,2824,493,42,42,12,0,0,0
2015-09-06,1532,6468,3797,1519,52,76,24,0,0,0
2015-09-07,1340,6907,2301,2526,45,103,39,0,0,0
2015-09-08,1475,2961,3312,2612,24,97,60,0,0,1
2015-09-09,944,2047,3148,1487,237,85,65,0,0,0
2015-09-10,525,1460,3833,2191,462,68,59,1,0,0
2015-09-11,918,4162,5183,1160,258,82,66,0,0,0
2015-09-12,1367,3032,2302,961,282,27,31,0,0,0
2015-09-13,1077,11516,3864,700,304,120,61,0,0,0
2015-09-14,1146,6994,3953,1947,213,41,18,3,0,0
2015-09-15,1200,6795,2398,1281,285,91,67,15,0,0
2015-09-16,1804,7951,4363,1107,215,38,154,46,0,0
2015-09-17,1166,7948,4527,771,219,80,75,31,0,0
2015-09-18,1240,4367,3556,663,409,47,41,25,0,0
2015-09-19,864,1561,1649,1024,174,53,53,10,0,0
2015-09-20,243,1097,1641,415,174,30,14,0,0,0
2015-09-21,136,2121,3928,942,232,126,106,12,0,0
2015-09-22,861,1873,4142,1311,321,98,130,15,0,0
2015-09-23,2400,1417,3001,1672,253,216,91,17,0,0
2015-09-24,2466,1444,3641,1299,212,80,149,31,0,0
2015-09-25,1473,1844,2802,1138,236,84,69,30,0,0
2015-09-26,1592,447,2000,1218,89,50,38,2,0,0
2015-09-27,2398,796,2471,1237,212,0,9,7,0,0
2015-09-28,1571,1496,4426,3141,116,72,73,61,0,0
2015-09-29,47076,1314,2003,848,390,63,52,23,0,0
