title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[NICS ATHENA] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[NCSA ABE] Number of Jobs Submitted","[NCSA EMBER*] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[LONI QUEENBEE] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[PSC POPLE] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA LINCOLN] Number of Jobs Submitted","[NCAR FROST] Number of Jobs Submitted","[ORNL NSTG] Number of Jobs Submitted","[IU BIGRED*] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted","[SDSC DASH] Number of Jobs Submitted"
2011-02-01,34003,231,2274,72,719,944,1653,182,0,98,435,260,12,120,6,0,64,63,11,2
2011-02-02,33464,4163,1749,58,611,816,1037,202,29,175,853,592,30,34,71,0,52,20,4,3
2011-02-03,29399,8471,524,69,388,1004,2018,185,125,188,320,286,22,27,109,0,31,78,1,0
2011-02-04,13282,3326,2255,54,590,1038,1738,211,145,342,41,24,35,79,125,0,16,58,2,2
2011-02-05,13150,8,1526,13,488,1014,1449,47,60,233,146,127,67,117,901,0,51,62,2,1
2011-02-06,9401,34,1697,19,153,1192,355,57,62,341,141,68,69,26,460,0,64,93,6,1
2011-02-07,8622,6992,1818,48,246,1420,1878,126,114,192,43,103,10,68,159,0,33,80,4,1
2011-02-08,12595,3176,8,75,162,1124,2307,220,26,215,174,128,6,91,214,0,41,62,4,3
2011-02-09,15483,7231,0,71,578,1393,1769,214,167,505,81,127,126,12,689,0,137,66,6,14
2011-02-10,14710,1259,0,151,121,990,2643,197,131,564,57,87,8,36,1166,0,68,73,6,10
2011-02-11,6617,4659,0,147,122,870,1323,203,223,551,194,62,105,28,280,0,60,61,2,4
2011-02-12,4550,5527,3,161,1000,1168,2319,157,98,407,34,195,33,24,41,0,18,85,0,8
2011-02-13,4584,2989,0,55,2730,1123,1263,158,100,204,87,135,19,18,24,0,8,40,5,0
2011-02-14,4480,4990,3,79,217,835,2749,152,97,255,111,205,354,35,124,0,3,78,3,12
2011-02-15,3846,5731,533,90,93,683,2536,185,59,341,402,176,0,20,196,0,15,65,2,4
2011-02-16,9135,261,824,80,64,814,1292,187,400,179,628,428,2,15,501,0,23,53,5,7
2011-02-17,3074,655,2211,22,155,826,1327,1132,394,280,436,238,1,16,989,0,39,67,3,8
2011-02-18,9233,3998,1690,44,24,805,1649,488,156,313,150,115,14,25,15,0,97,47,10,2
2011-02-19,7264,840,1573,32,70,857,3918,263,173,124,86,63,16,26,48,0,58,56,11,1
2011-02-20,7323,3104,2008,17,79,1327,1189,142,145,190,36,165,16,31,39,0,33,35,13,12
2011-02-21,7517,148,1796,29,93,842,1102,659,221,211,55,148,40,86,38,0,55,55,6,16
2011-02-22,11814,136,2991,21,211,1106,1949,2432,83,205,96,162,8,136,39,0,61,44,13,1
2011-02-23,14694,1447,347,83,743,747,3069,299,397,645,21,125,57,14,38,0,2,28,0,4
2011-02-24,4005,916,679,120,3846,1086,1628,271,979,470,72,105,49,146,60,0,71,20,2,2
2011-02-25,1739,2743,1466,101,2534,774,1567,499,558,112,45,134,17,46,30,0,2,31,0,2
2011-02-26,1032,1222,2634,55,597,561,1733,245,328,177,53,153,9,26,25,0,4,9,0,2
2011-02-27,702,429,1302,86,87,1177,1052,173,303,94,92,120,12,33,26,0,2,9,3,3
2011-02-28,1204,897,1058,222,18,833,1426,798,503,334,149,219,31,92,43,0,77,22,2,2
2011-03-01,20957,1348,7491,217,32,728,1529,245,324,347,202,174,51,51,38,0,19,2,4,10
2011-03-02,45216,1434,4761,109,58,852,3309,403,823,356,14,135,22,96,110,0,11,21,10,19
2011-03-03,34932,1025,4163,291,50,480,606,744,975,205,46,120,5,47,127,0,35,31,1,5
2011-03-04,34869,1426,2132,300,88,572,1926,156,393,69,71,102,51,65,131,0,19,28,2,1
2011-03-05,18953,224,1882,72,58,435,2647,312,162,265,53,57,3,22,206,0,48,12,1,3
2011-03-06,64698,1024,5010,51,88,953,2922,602,178,815,50,59,19,20,210,0,16,29,2,0
2011-03-07,66835,584,3592,116,320,1056,1819,630,277,688,81,57,22,34,132,0,40,44,5,3
2011-03-08,50586,14454,1427,91,133,913,962,661,214,324,40,183,10,27,300,0,28,24,10,0
2011-03-09,7982,9539,638,111,1136,555,1338,126,302,260,280,138,73,39,357,0,17,49,2,2
2011-03-10,47170,15315,331,119,171,424,1490,449,414,170,225,90,31,18,62,0,26,46,1,0
2011-03-11,58927,2155,615,89,1075,253,736,276,219,608,44,145,26,32,65,0,7,8,3,0
2011-03-12,24363,479,440,42,567,23,917,129,102,877,5,0,0,14,73,0,71,0,0,0
2011-03-13,26376,1373,1387,11,97,152,247,173,187,247,316,59,1,19,93,0,8,20,0,1
