title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[SDSC GORDON] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[TACC STAMPEDE] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[GATECH KEENELAND] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA FORGE] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted"
2012-08-01,4259,578,2703,1861,963,1284,543,0,241,39,11,24,110,24
2012-08-02,4434,585,1939,569,1194,837,400,0,111,68,7,60,97,12
2012-08-03,4409,852,1841,689,1442,423,581,0,110,61,1,58,321,3
2012-08-04,5040,413,1290,349,615,213,369,0,1,29,0,21,267,5
2012-08-05,2660,17120,1211,667,630,422,384,0,9,43,1,13,83,1
2012-08-06,1021,4576,1406,644,955,247,388,0,58,71,5,32,143,9
2012-08-07,2298,123,1877,417,1348,488,446,0,40,54,0,40,48,2
2012-08-08,1574,324,1967,299,880,1531,769,0,40,59,1,48,55,16
2012-08-09,2850,322,1748,676,424,1604,607,0,59,37,8,49,69,21
2012-08-10,5472,156,1910,694,570,1295,537,0,167,52,3,22,38,9
2012-08-11,3995,28,1133,226,440,821,170,0,22,32,40,5,34,30
2012-08-12,2414,20,676,198,792,439,168,0,76,18,48,14,12,19
2012-08-13,4257,135,2053,713,1434,304,238,0,75,48,39,41,50,5
2012-08-14,2707,317,2290,554,937,1366,286,0,61,50,0,24,106,5
2012-08-15,4714,40,3890,561,1263,2903,256,0,24,50,0,73,22,3
2012-08-16,4566,28,2581,1046,1364,5789,259,0,31,80,2,50,68,6
2012-08-17,2398,141,1593,1116,1081,5586,243,0,27,57,60,69,120,8
2012-08-18,4909,97,1028,480,805,4062,241,0,17,38,12,7,105,0
2012-08-19,1302,20,1720,609,1005,6719,195,0,52,47,8,208,37,30
2012-08-20,1231,9614,2143,558,1509,5741,284,0,120,65,54,160,52,60
2012-08-21,528,10281,1853,527,1594,3148,280,0,132,52,0,31,42,22
2012-08-22,1966,7001,1615,531,1354,1467,258,0,93,51,3,48,49,6
2012-08-23,1942,2684,1936,712,1778,490,228,0,136,52,46,26,27,1
2012-08-24,1888,589,1393,515,1981,277,275,0,122,40,7,13,38,1
2012-08-25,855,22,833,1778,1974,476,122,0,206,36,3,14,17,2
2012-08-26,934,24,2111,407,3364,902,189,0,165,17,2,3,40,4
2012-08-27,1164,7042,2270,726,2471,2741,275,0,146,51,19,42,81,11
2012-08-28,5110,1240,1630,818,3046,2310,180,0,112,33,0,32,95,3
2012-08-29,5811,1798,2364,815,1925,1964,374,0,146,32,5,59,32,1
2012-08-30,6446,4384,1731,1402,1069,1291,406,0,117,41,0,35,40,0
2012-08-31,5017,5144,2083,1108,1583,2854,340,0,87,43,0,7,22,4
2012-09-01,9366,1988,2160,1107,1880,983,181,0,97,21,0,1,204,1
2012-09-02,3799,588,2603,507,1044,505,180,0,160,23,1,15,47,1
2012-09-03,7337,20,5229,660,677,1440,352,0,138,41,0,4,56,2
2012-09-04,8738,224,2879,857,888,816,379,0,169,37,1,26,107,12
2012-09-05,10362,1067,3058,1526,760,544,295,0,44,64,5,19,88,2
2012-09-06,7247,141,2120,839,1666,953,479,0,89,70,6,21,93,8
2012-09-07,1264,2971,2855,900,1074,2611,421,0,125,46,2,45,47,0
2012-09-08,2540,3465,1289,361,1103,221,199,0,63,53,26,20,35,0
2012-09-09,3310,1375,2607,295,652,1991,246,0,35,28,13,18,37,0
2012-09-10,4103,2859,2829,2972,1298,646,509,0,35,57,3,41,119,0
2012-09-11,4369,3030,2391,2372,1185,550,384,0,54,57,0,93,25,3
