title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Submitted","[PURDUE STEELE] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[SDSC GORDON] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[GATECH KEENELAND] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[GATECH KIDS] Number of Jobs Submitted"
2013-02-01,6123,4011,2800,5056,700,373,523,89,37,10,29,867,0
2013-02-02,7359,4057,1752,20,2502,294,254,53,36,4,54,752,0
2013-02-03,8754,1668,1825,20,415,277,502,36,26,8,6,548,0
2013-02-04,10318,6256,2253,10394,1941,953,518,151,78,26,12,393,0
2013-02-05,8817,3139,2212,14163,1009,888,503,137,41,22,10,32,0
2013-02-06,9005,3355,2841,10598,1028,1083,366,147,66,32,46,29,0
2013-02-07,9844,6553,2416,7544,1138,364,528,72,78,63,66,125,0
2013-02-08,9665,6050,1702,736,681,642,537,100,69,29,29,6,0
2013-02-09,6146,6514,2362,20,1412,289,288,78,5,21,15,0,0
2013-02-10,5275,10600,1975,24,105,172,306,145,0,29,19,0,0
2013-02-11,4190,6950,2826,583,961,403,598,152,59,25,50,0,0
2013-02-12,573,10183,1188,21,1761,263,547,174,54,21,26,0,0
2013-02-13,2786,11365,1925,1050,1041,921,377,147,40,69,42,0,0
2013-02-14,4921,6246,447,38433,1473,1286,485,80,75,29,75,0,0
2013-02-15,10119,5803,972,47,1038,287,442,130,56,25,55,0,0
2013-02-16,9004,19527,950,40,236,195,317,0,15,14,10,0,0
2013-02-17,14521,20661,1218,18,789,472,280,73,32,43,27,0,0
2013-02-18,12807,11987,1143,429,1110,530,298,156,20,11,47,0,0
2013-02-19,13684,2363,1204,303,625,574,600,217,36,46,88,0,0
2013-02-20,6125,5523,1592,453,1063,912,624,255,9,39,28,0,0
2013-02-21,11828,7165,70,5851,1237,426,377,303,30,31,69,0,0
2013-02-22,4590,7057,952,18619,922,548,306,222,41,24,37,0,0
2013-02-23,3596,4074,1062,3556,920,222,226,90,17,8,48,0,0
2013-02-24,7940,9176,710,20,258,214,391,221,29,11,9,0,0
2013-02-25,6077,5533,1567,6125,376,406,540,249,22,10,10,0,0
2013-02-26,803,10291,1812,14010,929,1179,94,228,30,22,108,0,0
2013-02-27,2764,8694,1704,182,1004,353,300,469,30,18,27,0,0
2013-02-28,3587,14413,2696,24,1312,521,304,732,44,20,51,0,0
2013-03-01,1739,9826,2004,24,1028,692,276,300,45,5,34,0,0
2013-03-02,1339,2657,1015,24,835,408,281,202,27,20,28,0,0
2013-03-03,1939,10599,1062,24,408,630,229,0,43,20,14,0,0
2013-03-04,3607,8458,2739,24,777,861,548,150,30,16,57,0,0
2013-03-05,2607,5059,3689,24,614,560,627,358,58,10,38,0,0
2013-03-06,3014,8549,2829,29,488,1158,664,428,54,12,26,0,0
2013-03-07,5559,5718,3827,40,722,675,751,511,34,30,46,0,0
2013-03-08,6581,2774,1591,1011,704,429,632,149,36,1,41,0,0
2013-03-09,8236,1886,756,20,440,350,733,49,40,27,4,0,0
2013-03-10,7633,4695,399,24,80,146,970,44,15,23,3,0,0
2013-03-11,6505,9130,558,739,1014,429,963,142,28,35,40,0,0
2013-03-12,4468,3563,2103,2448,623,409,1264,67,78,48,44,0,0
2013-03-13,3424,7262,1484,71,1338,430,736,68,67,36,27,0,0
2013-03-14,2638,6447,461,966,1760,358,637,163,58,42,31,0,0
2013-03-15,2186,5276,1539,1022,1522,323,431,43,21,21,19,0,0
2013-03-16,1569,7876,765,20,801,334,210,102,29,22,35,0,0
2013-03-17,1947,9122,680,13002,377,183,245,114,67,23,77,0,0
2013-03-18,1469,6115,1101,7111,982,342,458,139,21,27,47,0,0
2013-03-19,809,6928,2431,324,1317,1232,555,149,0,18,0,0,0
2013-03-20,2971,10272,889,2760,1514,138,740,197,0,15,0,0,0
2013-03-21,2535,6884,1317,6282,1045,299,528,177,0,17,0,0,0
2013-03-22,3960,6613,1213,925,3070,326,367,126,0,21,0,0,0
2013-03-23,2773,4916,579,1168,1926,238,391,117,56,72,20,0,0
2013-03-24,2487,6769,740,3400,2341,362,334,142,58,65,37,0,0
2013-03-25,6704,7385,1678,278,1545,445,1007,162,12,61,30,0,0
2013-03-26,2653,7190,1185,1165,1150,391,345,220,34,43,45,0,0
2013-03-27,2388,6132,589,675,878,335,413,118,113,48,25,0,0
2013-03-28,3357,5773,848,1668,532,551,436,133,90,33,25,0,0
2013-03-29,2367,4925,1296,5308,338,561,1436,124,49,13,7,0,0
2013-03-30,1650,6146,1515,5556,391,731,656,67,292,27,4,0,0
2013-03-31,6034,6486,1495,187,389,281,496,62,91,11,5,0,0
2013-04-01,5349,6004,1639,1100,986,1351,466,102,130,59,3,0,0
2013-04-02,1585,4898,1813,9500,813,967,693,433,80,39,19,0,0
2013-04-03,5572,3035,2246,6340,1079,875,638,284,81,22,17,0,0
2013-04-04,5990,7528,2220,3322,793,1004,848,97,115,34,31,0,0
2013-04-05,11246,5336,1314,20,1688,1358,862,107,135,64,9,0,0
2013-04-06,4187,4837,989,6364,425,1030,349,72,95,34,22,0,0
2013-04-07,4089,3615,1525,20,763,917,443,60,99,51,16,0,0
2013-04-08,4867,3581,1995,3192,1022,970,928,86,125,27,60,0,0
2013-04-09,4362,2831,1758,10108,1084,1099,342,17,24,52,54,0,0
2013-04-10,5420,8663,1824,7310,881,802,732,175,47,68,40,0,0
2013-04-11,7703,5772,2102,4742,2351,1066,1063,147,59,61,44,0,0
2013-04-12,5766,4831,2328,6563,1156,1840,1217,59,59,46,25,0,0
2013-04-13,4362,3145,2032,10499,190,834,290,93,166,21,10,0,0
2013-04-14,2867,4097,2405,8236,1568,698,698,158,102,5,16,0,0
2013-04-15,3485,3312,2475,6896,708,1586,786,243,136,12,54,0,0
2013-04-16,1344,4443,2494,160,851,1392,450,297,37,14,56,0,0
2013-04-17,4916,3601,2665,6166,2543,652,590,448,86,32,56,0,0
2013-04-18,5592,4875,1986,9816,1515,857,891,412,17,27,105,0,0
2013-04-19,4514,3924,1830,9524,936,1009,1006,169,44,13,68,0,0
2013-04-20,3836,3971,1692,9296,1243,686,1250,140,28,22,11,0,0
2013-04-21,4131,8417,1427,20,624,625,1033,60,10,29,26,0,0
2013-04-22,4626,3841,2705,3176,1065,1084,896,216,112,15,20,0,0
2013-04-23,2760,3198,3376,2060,1428,557,976,333,28,26,53,0,0
2013-04-24,2263,1989,3551,9240,1067,774,674,327,153,13,35,0,0
2013-04-25,2418,4160,3342,9508,834,843,796,345,271,10,34,0,0
2013-04-26,2370,4120,2161,6360,779,514,731,834,82,11,30,0,0
2013-04-27,6877,3686,1214,6340,1492,338,731,450,568,46,23,0,0
2013-04-28,5804,3031,2504,20,1633,221,845,424,153,70,11,0,0
2013-04-29,4029,3687,3998,16,1142,391,977,395,117,104,15,0,0
2013-04-30,792,2957,3984,20,728,193,999,414,209,53,9,0,0
2013-05-01,1766,1547,3470,3936,625,466,896,237,283,153,25,0,0
2013-05-02,10234,2546,8394,20,475,863,613,23,123,97,25,0,0
2013-05-03,8303,2324,2948,48,622,1091,865,147,134,56,45,0,0
2013-05-04,4292,2780,2468,9528,727,773,412,164,104,93,12,0,0
2013-05-05,6120,1886,2721,20,467,766,397,125,128,63,23,0,0
2013-05-06,5589,2083,12685,6340,450,992,458,174,151,66,58,0,0
2013-05-07,1245,1531,9968,2945,1904,686,427,89,165,63,46,0,0
2013-05-08,5195,619,2760,0,789,424,816,154,42,80,71,0,0
2013-05-09,5404,2080,2315,32,673,1260,935,135,197,66,43,0,0
2013-05-10,1305,2420,1630,6477,642,1729,1133,45,113,65,43,0,0
2013-05-11,6017,3839,2235,1301,298,1186,762,46,105,99,24,0,0
2013-05-12,5608,4191,3297,12,262,2076,397,82,75,102,37,0,0
2013-05-13,6371,3433,1704,14,866,2879,521,143,11,63,88,0,0
2013-05-14,1241,1567,3105,4,861,1366,451,166,82,62,95,0,0
2013-05-15,5834,2031,7998,16,1502,1859,730,70,161,63,52,0,0
2013-05-16,6291,809,5786,20,2955,1365,845,145,94,63,52,0,0
2013-05-17,4882,2720,2394,36,696,949,597,72,90,24,25,0,0
2013-05-18,2017,2118,2916,20,119,490,349,23,113,4,39,0,0
2013-05-19,5397,1061,3985,28,189,692,498,28,185,0,7,0,0
2013-05-20,6788,1603,4075,24,859,1912,795,116,106,1,34,0,0
2013-05-21,4274,946,6529,20,454,1590,614,120,60,2,85,0,0
2013-05-22,6009,2694,4858,24,802,2156,515,86,27,2,67,0,0
2013-05-23,9576,18637,4149,24,636,3236,619,9,125,3,24,0,0
2013-05-24,6932,1796,3359,30,430,2254,616,29,170,7,16,0,0
2013-05-25,2034,88,1843,24,253,1497,367,18,98,0,8,0,0
2013-05-26,2414,818,3208,24,446,841,935,23,110,0,16,0,0
2013-05-27,4539,229,4003,28,587,942,452,63,41,2,19,0,0
2013-05-28,6849,981,2778,34,724,2069,477,60,1,18,64,0,0
2013-05-29,8250,3080,5299,4060,818,2357,604,75,41,9,53,0,0
2013-05-30,6295,2623,4929,4000,1253,2477,628,150,103,2,43,0,0
2013-05-31,2686,4073,2962,20,999,811,506,181,105,6,59,0,0
2013-06-01,0,2205,2898,24,792,507,526,107,64,20,31,0,0
2013-06-02,203,2188,4158,24,446,472,372,2,29,19,20,0,0
2013-06-03,3468,2689,4483,35,2053,1192,728,52,417,23,19,0,0
2013-06-04,5800,1614,4639,5942,684,1385,598,118,242,19,45,0,0
2013-06-05,5306,2368,4377,7802,1578,1465,709,71,539,26,44,0,0
2013-06-06,5927,3331,4432,9346,1635,1136,834,115,298,32,53,0,0
2013-06-07,4459,1222,2683,8082,584,2464,885,77,377,253,58,0,0
2013-06-08,4363,1887,1022,20,493,5724,678,44,219,248,30,0,0
2013-06-09,3729,2837,1312,28,373,5111,985,31,120,164,93,0,0
2013-06-10,4996,2602,3814,20,821,1473,736,202,0,247,34,0,0
2013-06-11,5167,817,3118,1710,1156,1426,123,128,0,190,35,0,0
2013-06-12,5104,6280,4253,56,1006,1722,404,149,0,70,70,0,0
2013-06-13,6828,2885,1770,20,921,3225,473,65,2,6,46,0,0
2013-06-14,10421,1477,4180,177,1149,2543,575,93,437,1,34,0,0
2013-06-15,8466,2117,1916,35,1054,2149,228,69,337,1,20,0,0
2013-06-16,6659,3147,1815,2312,734,1442,201,59,225,0,14,0,0
2013-06-17,4155,1770,1985,6023,891,939,693,382,206,16,16,0,0
2013-06-18,4153,2579,3898,3181,1060,819,1169,315,202,8,54,0,0
2013-06-19,5575,3461,3990,20,1230,870,1335,77,279,45,58,0,0
2013-06-20,4868,4446,2905,115,1592,694,938,108,827,1,33,0,0
2013-06-21,3207,3173,4061,4674,594,898,677,71,260,8,44,0,0
2013-06-22,4883,1379,2768,101,727,678,392,65,74,10,1,0,0
2013-06-23,4490,1408,2428,24,597,2111,572,56,95,1,7,0,0
2013-06-24,4102,2762,3953,24,704,1151,1384,149,90,27,55,0,0
2013-06-25,211,1296,4684,8,1003,1135,900,167,194,21,48,0,170
2013-06-26,3822,880,6553,1824,1301,645,1308,81,423,0,19,0,0
2013-06-27,6712,1417,2133,20,779,723,820,76,245,8,33,0,0
2013-06-28,4374,1020,5728,28,696,873,361,275,415,10,35,0,4
2013-06-29,6451,1874,3105,20,298,604,131,0,120,38,8,0,0
2013-06-30,7614,1305,2702,24,483,1579,360,0,95,56,15,0,0
2013-07-01,6624,1195,5714,24,998,1264,454,143,145,15,43,0,2
2013-07-02,3903,1838,5623,28,864,448,433,115,66,7,44,0,5
2013-07-03,3216,1152,4962,16,1089,992,607,585,25,15,47,0,37
2013-07-04,2678,3440,3749,0,585,517,671,67,27,3,17,0,5
2013-07-05,4136,2456,4280,16,561,698,534,16,91,291,41,0,0
2013-07-06,4372,2333,1971,4,337,717,1140,14,18,3,38,0,0
2013-07-07,4448,2730,2316,20,182,270,1394,88,62,5,15,0,12
2013-07-08,4854,2173,3634,28,508,603,775,50,114,67,59,0,0
2013-07-09,3957,1925,2590,20,710,718,297,30,39,56,23,0,91
2013-07-10,3317,2708,2324,28,861,493,255,10,112,87,23,0,23
2013-07-11,2843,2000,3413,20,1057,326,325,225,86,18,38,0,31
2013-07-12,3278,3244,4374,483,743,173,298,64,122,3,26,0,23
2013-07-13,4262,1741,3206,4,221,222,308,34,30,1,21,0,0
2013-07-14,3272,1208,3151,4,441,533,549,61,41,4,25,0,0
2013-07-15,4697,1602,3654,24,1334,679,314,110,19,43,25,0,10
2013-07-16,5753,756,2412,24,1550,553,235,137,42,11,50,0,17
2013-07-17,8628,1128,2932,21,1470,351,273,183,136,53,52,0,29
2013-07-18,6532,1956,2781,136,894,391,395,22,587,37,29,0,4
2013-07-19,7611,3879,2692,24,814,479,379,18,345,8,29,0,0
2013-07-20,7467,7144,1193,4371,716,290,529,4,0,10,23,0,15
2013-07-21,7036,1328,2436,1776,1079,176,426,13,68,2,22,0,0
2013-07-22,7992,4211,2485,1500,1444,503,529,100,127,10,66,0,0
2013-07-23,1052,1430,1328,30,569,189,377,59,0,29,94,0,8
2013-07-24,3302,1141,1725,24,661,295,525,91,0,44,16,0,0
2013-07-25,6807,2733,1042,24,663,356,462,16,7,24,44,0,8
2013-07-26,8322,2337,1271,28,369,472,293,119,47,24,57,0,25
2013-07-27,6677,4234,1813,16,838,552,259,58,95,22,14,0,0
2013-07-28,6100,4459,2278,20,282,950,398,94,93,12,21,0,0
2013-07-29,14990,5278,2604,24,843,1297,413,115,96,34,25,0,0
2013-07-30,7773,3282,2448,29,3757,580,326,86,1,22,2,0,0
2013-07-31,27938,5054,2682,77,844,1245,216,114,7,21,18,0,0
---------
