title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2015-02-01,2015-07-31
---------
Day,"[OSG] Number of Jobs Submitted","[TACC STAMPEDE] Number of Jobs Submitted","[SDSC GORDON] Number of Jobs Submitted","[SDSC COMET] Number of Jobs Submitted","[NICS DARTER] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[TACC MAVERICK2] Number of Jobs Submitted","[CCT LSU SUPERMIC] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted"
2015-02-01,183797,3738,1738,0,57,1724,45,22,79,2,1
2015-02-02,148314,4103,1572,0,60,1587,136,44,100,2,0
2015-02-03,84636,4845,959,0,187,419,94,48,87,1,1
2015-02-04,40165,3906,836,0,79,743,35,75,374,5,11
2015-02-05,61246,3422,1020,0,87,846,31,77,182,8,4
2015-02-06,66260,2574,898,0,131,573,42,58,89,6,1
2015-02-07,49801,2085,781,0,17,310,2,49,88,11,0
2015-02-08,73618,3380,579,0,42,306,23,63,100,12,0
2015-02-09,154260,4535,1108,0,304,1119,66,30,110,21,10
2015-02-10,73651,854,1483,0,382,661,92,99,117,11,5
2015-02-11,172491,1709,1410,0,405,755,74,100,163,6,0
2015-02-12,56476,1773,1513,0,153,612,120,63,147,18,4
2015-02-13,91502,1561,1371,0,186,542,156,108,99,25,0
2015-02-14,89460,838,556,0,6,225,74,38,180,15,1
2015-02-15,147894,1014,1240,0,17,1477,27,65,194,15,0
2015-02-16,129193,1908,1481,0,75,1560,94,100,214,5,0
2015-02-17,140566,1841,1395,0,61,603,116,89,104,7,1
2015-02-18,93389,1801,2192,0,28,2292,14,46,119,5,0
2015-02-19,58413,1842,2012,0,46,1926,312,130,196,8,0
2015-02-20,59575,1700,1122,0,41,709,369,146,79,23,0
2015-02-21,106294,1364,611,0,63,336,338,64,108,33,0
2015-02-22,126571,1626,1025,0,68,3059,820,50,99,36,0
2015-02-23,47554,2662,1138,0,114,2573,614,56,135,28,0
2015-02-24,11296,3261,1002,0,148,1445,543,116,80,32,0
2015-02-25,21357,2677,1373,0,86,2294,1031,239,91,29,1
2015-02-26,48331,1991,1519,0,339,2579,570,54,103,29,1
2015-02-27,73437,1539,1585,0,110,724,947,131,60,30,0
2015-02-28,80766,922,928,0,70,633,548,58,44,29,0
2015-03-01,76493,1226,1226,0,62,524,581,51,67,30,0
2015-03-02,81932,2338,1293,0,76,1439,359,45,112,29,5
2015-03-03,78606,2269,1391,0,115,1723,1515,62,158,28,5
2015-03-04,85096,1951,1413,0,76,612,404,132,65,28,4
2015-03-05,92323,2113,1486,0,164,364,543,210,104,34,5
2015-03-06,263500,2449,1566,0,342,861,109,329,69,31,7
2015-03-07,266038,1512,2948,0,68,222,78,347,148,25,0
2015-03-08,308726,1569,141,0,51,37,66,110,51,27,6
2015-03-09,125446,2322,1935,0,206,535,68,320,101,26,3
2015-03-10,88002,2102,1750,0,766,678,190,117,115,22,10
2015-03-11,45592,2319,1621,0,960,653,86,225,106,28,2
2015-03-12,67210,2438,792,0,1310,509,77,34,46,24,4
2015-03-13,114422,1985,804,0,158,442,89,29,119,11,5
2015-03-14,142003,1227,1113,0,115,428,50,50,43,8,2
2015-03-15,204319,1191,1044,0,59,789,62,31,73,24,4
2015-03-16,288618,1663,859,0,55,711,135,78,58,21,0
2015-03-17,97950,2345,1219,0,109,599,63,49,92,16,0
2015-03-18,83548,2436,1577,0,98,675,178,45,75,22,4
2015-03-19,39776,1987,1466,0,82,529,321,418,115,35,0
2015-03-20,29746,2123,1028,0,127,715,185,340,81,29,4
2015-03-21,82098,1030,1092,0,405,518,179,125,99,31,0
2015-03-22,113381,1261,531,0,775,345,192,101,99,31,1
2015-03-23,68610,2325,1375,0,338,582,184,59,113,22,0
2015-03-24,46925,2107,1299,0,53,461,268,29,87,13,4
2015-03-25,69469,1948,2855,0,69,779,220,31,75,5,2
2015-03-26,86246,1273,837,0,302,495,329,88,17,4,5
2015-03-27,143087,1544,720,0,354,623,331,200,59,5,3
2015-03-28,106956,1053,1477,0,0,1089,172,195,15,0,0
2015-03-29,172213,1175,1496,0,15,259,143,149,43,9,4
2015-03-30,159372,3008,1424,0,132,628,34,64,26,16,2
2015-03-31,11893,1168,1283,0,76,546,236,135,69,22,0
2015-04-01,189450,1726,1456,0,276,727,168,108,2,28,0
2015-04-02,176738,2530,1303,0,151,382,254,91,39,21,0
2015-04-03,208988,2521,1658,0,279,4341,184,94,55,5,0
2015-04-04,177413,1036,1192,0,620,6487,252,115,83,6,0
2015-04-05,141638,1256,582,0,112,420,257,34,17,5,0
2015-04-06,138028,2033,1265,0,773,457,284,44,74,6,0
2015-04-07,168827,3052,1177,0,321,499,442,31,31,5,0
2015-04-08,98670,2223,1454,0,147,554,277,14,130,5,0
2015-04-09,158830,1528,1622,0,88,454,471,18,183,2,0
2015-04-10,113482,1692,1572,0,69,761,155,70,162,7,0
2015-04-11,98802,1489,841,0,191,349,284,25,177,6,0
2015-04-12,60829,1041,460,0,39,436,406,18,72,6,0
2015-04-13,63261,1932,1208,0,247,1697,489,110,74,6,0
2015-04-14,58579,1775,979,0,816,825,90,296,82,6,0
2015-04-15,74498,1554,815,0,48,766,133,88,60,4,0
2015-04-16,61481,2680,1468,0,25,605,142,105,105,6,0
2015-04-17,28898,2248,924,0,24,529,192,92,55,4,0
2015-04-18,36744,1374,608,0,0,332,166,70,48,0,0
2015-04-19,106999,1205,652,0,0,242,277,43,49,0,4
2015-04-20,89622,2994,1435,0,8,453,151,67,114,1,0
