Day,[TACC STAMPEDE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted
2013-08-01,17566,1453,167,1251,1759,55,127,11,0,1609,58,0
2013-08-02,14653,1589,270,549,1398,177,402,12,0,793,14,0
2013-08-03,15752,1332,260,355,1147,145,59,11,0,0,8,0
2013-08-04,13580,1145,181,370,475,119,93,3,0,3,11,0
2013-08-05,7720,1815,334,724,1049,670,197,0,0,88,20,0
2013-08-06,1184,1886,421,1272,1004,235,214,18,0,1,11,0
2013-08-07,4179,2403,452,2289,1271,172,82,130,0,1,15,0
2013-08-08,2983,263,418,1145,752,54,152,347,0,12,25,0
2013-08-09,3396,1471,508,889,1235,55,282,82,0,7,22,0
2013-08-10,2441,2269,281,191,906,45,294,159,0,0,13,0
2013-08-11,3588,3065,247,231,521,47,212,237,0,0,0,0
2013-08-12,4499,2187,387,1204,813,441,92,462,1,0,37,0
2013-08-13,973,1696,69,1579,430,276,132,34,515,0,20,0
2013-08-14,11729,1461,272,981,310,102,83,254,146,0,19,0
2013-08-15,14211,2227,414,1288,429,59,68,131,7,0,13,0
2013-08-16,11408,2682,650,1627,522,101,61,110,2,0,17,0
2013-08-17,17720,2231,396,2201,412,187,0,128,0,0,3,0
2013-08-18,22635,2770,556,581,654,342,3,308,0,0,8,0
2013-08-19,18471,3906,708,1477,51,273,551,260,14,49,33,0
2013-08-20,19489,5182,542,1212,1,63,268,14,12,0,27,0
2013-08-21,13112,7568,827,706,170,169,356,249,22,0,28,0
2013-08-22,2415,1834,850,954,1185,223,452,16,11,0,29,0
2013-08-23,7911,4064,441,772,323,159,169,176,18,0,42,0
2013-08-24,9194,2653,415,327,493,28,456,273,1,0,14,0
2013-08-25,9392,1806,476,525,407,78,55,306,0,0,32,0
2013-08-26,8966,2422,591,915,898,234,0,26,9,0,24,0
2013-08-27,5404,3338,461,787,871,258,76,211,5,0,24,0
2013-08-28,4475,2928,404,702,3180,375,121,125,8,0,57,0
2013-08-29,3124,2027,401,585,1182,294,217,35,1,0,91,0
2013-08-30,3082,3214,418,867,1319,316,107,181,0,0,134,0
2013-08-31,2735,586,689,242,415,105,0,18,0,0,84,0
2013-09-01,3212,898,379,251,1014,193,0,114,0,0,235,0
2013-09-02,3765,2377,449,448,1007,27,41,3,0,0,116,0
2013-09-03,4947,2637,688,2270,726,101,90,26,6,0,70,0
2013-09-04,4276,1480,928,750,686,117,121,22,21,0,12,0
2013-09-05,3526,1995,5262,221,124,421,181,2,0,0,135,0
2013-09-06,2841,2245,2527,457,609,127,376,13,0,0,96,0
2013-09-07,1795,2349,1240,400,426,84,53,11,0,0,90,0
2013-09-08,3621,2239,1266,686,400,98,67,0,0,0,14,0
2013-09-09,4080,2511,2286,554,907,73,121,13,0,0,22,0
2013-09-10,600,2181,1689,999,505,78,65,20,23,0,6,0
2013-09-11,1611,1788,1730,1209,630,171,93,66,14,0,16,0
2013-09-12,2912,2386,2389,1268,371,232,99,172,6,0,62,0
2013-09-13,3231,2387,2375,1158,626,177,100,142,10,0,41,0
2013-09-14,3305,3354,927,1113,219,131,120,414,0,0,27,0
2013-09-15,3603,3018,7213,616,280,20,32,271,0,0,11,0
2013-09-16,5589,6311,603,535,320,168,75,63,12,0,5,0
2013-09-17,3816,2721,401,547,443,278,68,14,6,0,12,0
2013-09-18,4521,1617,396,890,528,136,69,35,18,0,18,0
2013-09-19,4975,1803,526,730,502,114,149,4,14,0,1,0
2013-09-20,3922,1673,577,893,356,200,47,33,2,0,12,0
2013-09-21,4669,2161,893,798,156,130,56,5,9,0,3,0
2013-09-22,3191,1795,613,1928,346,73,53,23,5,0,2,0
2013-09-23,5010,2787,653,1827,758,213,148,18,11,0,7,0
2013-09-24,4510,741,394,780,267,22,84,22,3,0,5,0
2013-09-25,3672,632,621,827,502,129,65,29,4,0,21,0
2013-09-26,4690,859,450,913,524,42,35,35,2,0,20,0
2013-09-27,3731,1176,484,733,812,29,45,27,0,0,12,0
2013-09-28,3635,1569,374,822,1017,28,39,30,0,0,11,0
2013-09-29,3407,1792,405,538,1323,78,54,16,0,0,13,0
2013-09-30,3170,1925,458,657,810,20,169,56,111,0,27,0
2013-10-01,3627,2836,595,693,1458,0,149,117,6,0,4,0
2013-10-02,3158,3855,1188,1017,1144,18,309,81,8,0,1,0
2013-10-03,3848,3923,1730,1274,728,47,196,24,76,0,0,0
2013-10-04,3003,4390,1284,1016,443,345,173,42,92,0,0,0
2013-10-05,1992,6060,395,556,550,103,87,9,54,0,0,0
2013-10-06,2442,6250,358,365,607,95,99,21,107,0,0,0
2013-10-07,3381,4759,2211,999,572,301,202,16,100,0,13,0
2013-10-08,2397,3297,985,848,555,149,264,7,81,0,1,0
2013-10-09,3293,2676,2660,767,423,40,277,10,85,0,0,0
2013-10-10,3478,2262,535,1100,865,239,185,2,139,0,0,0
2013-10-11,3823,2658,602,822,411,445,65,5,88,0,0,0
2013-10-12,4119,9,533,225,700,6,47,19,0,0,0,0
2013-10-13,4537,783,369,390,519,25,11,3,0,0,0,0
2013-10-14,4553,2916,502,1065,701,161,59,91,24,0,0,0
2013-10-15,1939,3412,195,743,700,26,43,12,24,0,0,0
2013-10-16,4563,3046,420,894,516,87,53,54,26,0,0,0
2013-10-17,3333,3350,778,756,406,67,125,60,41,0,0,0
2013-10-18,2619,4662,607,573,719,39,40,27,27,0,0,0
2013-10-19,3108,3026,571,358,568,4,69,22,5,0,0,0
2013-10-20,2116,3032,405,213,566,8,58,126,2,0,0,0
2013-10-21,3722,2312,510,881,1066,47,46,102,5,0,0,0
2013-10-22,3275,1918,941,1085,1227,1,24,22,13,0,4,0
2013-10-23,4100,3434,830,689,630,85,60,12,23,0,0,0
2013-10-24,3233,3667,1065,622,554,59,115,15,1,0,0,0
2013-10-25,3551,1644,1062,811,714,73,205,63,0,0,0,0
2013-10-26,1947,756,669,364,1418,19,94,234,0,0,0,0
2013-10-27,1824,1964,2014,407,338,4,99,182,17,0,0,0
2013-10-28,4637,1860,2485,1108,448,31,225,118,29,0,0,0
2013-10-29,843,1043,882,667,433,104,382,295,9,0,0,0
2013-10-30,4037,1075,900,1042,429,31,147,562,7,0,0,0
2013-10-31,4055,2713,1435,847,596,20,103,125,3,0,0,0
2013-11-01,3433,2871,1636,678,632,20,133,527,0,0,0,0
2013-11-02,2160,2933,1129,640,327,48,90,408,1,0,0,0
2013-11-03,2565,2663,1344,1586,671,75,446,3,0,0,0,0
2013-11-04,3438,1972,1301,1923,493,394,39,8,0,0,0,0
2013-11-05,3532,647,1144,761,525,29,154,49,0,0,0,0
2013-11-06,2797,2234,1251,631,537,135,279,34,2,0,0,0
2013-11-07,2767,3183,1872,994,593,132,201,55,2,0,0,0
2013-11-08,3616,2885,1255,839,320,246,176,7,2,0,0,0
2013-11-09,2895,3488,3760,288,313,98,8,150,1,0,0,0
2013-11-10,2253,3685,7088,651,499,57,92,247,2,0,5,0
2013-11-11,3891,3005,2507,977,1535,618,301,93,1,0,2,0
2013-11-12,2709,2339,720,559,1070,98,194,2,3,0,0,0
2013-11-13,2717,3409,2387,1036,646,50,221,265,147,0,0,0
2013-11-14,4232,3200,760,2131,826,43,210,244,103,0,0,0
2013-11-15,5843,3233,4501,751,643,30,181,268,190,0,1,0
2013-11-16,3083,3580,2740,1035,677,58,88,101,2,0,0,0
2013-11-17,3777,2799,1745,703,423,28,28,34,5,0,0,0
2013-11-18,3547,3409,1014,725,742,62,133,22,246,0,0,0
2013-11-19,3156,3456,832,640,1703,1,76,19,139,0,6,0
2013-11-20,3417,3019,533,2304,1279,23,82,149,6,0,13,0
