Day,[TACC STAMPEDE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted
2014-02-01,9973,2054,378,206,0,217,97,390,0,9,20,0
2014-02-02,10551,3522,2990,404,0,280,92,523,0,12,0,0
2014-02-03,5065,3999,1215,779,0,523,161,659,0,87,27,0
2014-02-04,3787,3901,817,794,0,335,162,184,0,26,44,0
2014-02-05,6082,3146,940,919,0,379,184,233,0,55,9,0
2014-02-06,6256,2982,814,643,0,481,221,368,0,24,42,0
2014-02-07,4099,1802,816,2249,0,482,183,198,0,56,28,0
2014-02-08,8918,1492,582,459,0,210,196,47,0,100,1,0
2014-02-09,12206,1579,620,726,0,409,121,227,0,67,19,0
2014-02-10,6415,1769,915,653,0,525,207,17,0,194,53,0
2014-02-11,3924,2288,851,1325,0,641,133,0,0,0,75,0
2014-02-12,4738,2900,1814,363,0,474,160,101,0,259,35,5
2014-02-13,6106,2835,1941,453,0,296,224,426,0,476,46,28
2014-02-14,3268,2273,960,568,0,412,52,312,0,444,21,6
2014-02-15,17133,1853,852,385,0,247,142,18,0,20,32,3
2014-02-16,7520,1544,817,1430,0,271,169,149,0,35,29,7
2014-02-17,3188,1815,917,689,0,288,216,89,0,18,26,16
2014-02-18,4059,2119,1489,555,0,181,230,186,0,7,91,14
2014-02-19,4447,1673,1736,593,0,462,111,191,0,6,104,9
2014-02-20,3598,3110,1752,477,0,784,273,194,0,0,24,8
2014-02-21,4654,2287,1029,473,0,754,19,319,0,1,27,32
2014-02-22,4853,2863,627,305,0,564,37,64,0,2,15,7
2014-02-23,5316,3127,2432,595,0,339,76,131,0,1,12,11
2014-02-24,4946,3163,736,598,0,673,203,340,0,0,15,12
2014-02-25,1098,4201,1462,677,0,714,410,147,0,22,10,4
2014-02-26,3964,5807,711,459,0,679,719,654,0,23,14,0
2014-02-27,5557,6899,1149,287,0,659,427,313,0,11,23,0
2014-02-28,4833,4527,866,223,0,630,282,370,0,27,34,0
2014-03-01,4707,4121,598,264,0,282,955,225,0,15,19,0
2014-03-02,5654,7853,621,272,0,5,1053,188,0,1,32,0
2014-03-03,4487,5071,673,791,0,0,722,173,0,13,7,12
2014-03-04,4552,6894,937,649,0,67,951,59,0,0,15,21
2014-03-05,3511,8597,444,360,0,322,1224,124,0,0,18,0
2014-03-06,3680,2965,547,379,0,361,1075,90,0,0,27,0
2014-03-07,7094,10470,657,517,0,402,592,120,0,12,34,0
2014-03-08,5022,4829,93,332,0,225,82,9,0,3,4,0
2014-03-09,2916,2434,9,0,0,110,69,44,0,0,17,0
2014-03-10,6948,7472,0,0,0,561,150,22,0,25,25,0
2014-03-11,7083,6422,220,60,0,486,209,98,0,3,8,0
2014-03-12,5899,8345,683,206,0,501,163,135,0,5,6,0
2014-03-13,3734,3839,1159,374,0,488,102,79,0,18,19,0
2014-03-14,4713,7379,757,457,0,276,76,83,0,6,3,0
2014-03-15,3310,8497,846,323,0,413,76,78,0,10,7,0
2014-03-16,3546,4122,416,342,0,577,52,158,0,0,5,0
2014-03-17,4766,4616,899,460,0,363,347,733,0,7,0,0
2014-03-18,10426,6221,1408,375,0,656,154,44,0,8,0,6
2014-03-19,4881,2668,1559,567,0,1006,83,380,0,0,0,0
2014-03-20,3923,2262,1549,604,0,566,78,273,0,1,0,0
2014-03-21,3249,2038,1595,528,0,359,33,59,0,19,0,0
2014-03-22,303,3656,220,375,0,18,0,64,0,0,0,0
2014-03-23,3015,4908,605,421,0,144,106,41,0,0,0,0
2014-03-24,4828,5161,1599,1053,0,402,81,217,0,20,0,0
2014-03-25,2203,5590,1639,862,0,843,265,98,0,6,0,0
2014-03-26,2164,6305,1611,403,0,1075,114,168,0,1,0,0
2014-03-27,2752,5483,1848,327,0,890,169,118,0,8,0,0
2014-03-28,3435,8554,1449,371,0,580,137,65,0,2,0,4
2014-03-29,2258,6390,1035,2109,0,334,23,139,0,10,0,0
2014-03-30,2278,3554,670,564,0,306,1767,19,0,4,0,0
2014-03-31,3478,3002,1090,1778,0,1372,689,26,0,15,0,0
2014-04-01,3872,3370,1934,2058,0,298,213,1,0,10,0,0
2014-04-02,3657,7857,1688,768,0,388,144,188,0,5,0,0
2014-04-03,2717,7935,1840,1295,0,556,141,312,0,23,0,0
2014-04-04,3300,10368,776,1022,0,486,103,298,0,2,0,0
2014-04-05,3639,5497,36,255,0,719,71,104,0,0,0,0
2014-04-06,2163,5075,1427,219,0,399,58,112,0,1,0,0
2014-04-07,2687,8776,2683,777,0,348,229,262,0,11,0,0
2014-04-08,4139,5808,1729,1443,0,456,424,94,0,3,0,0
2014-04-09,3341,4531,924,1402,0,894,162,297,0,31,0,0
2014-04-10,3046,8161,616,1883,0,383,175,289,0,5,0,0
2014-04-11,3484,6374,727,2180,0,1333,73,279,0,4,0,0
2014-04-12,2669,7321,903,582,0,1213,0,30,0,11,0,0
2014-04-13,3892,7832,497,746,0,639,43,91,0,13,0,0
