Day,[OSG] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted
2015-08-01,2173,1301,1047,224,222,29,133,0,6,0
2015-08-02,4911,742,1935,219,126,74,127,0,38,0
2015-08-03,5189,1477,2315,534,322,240,128,0,34,0
2015-08-04,3937,1136,1777,421,210,170,156,0,30,0
2015-08-05,5927,1430,2020,518,288,91,141,0,114,0
2015-08-06,18974,989,1913,412,292,170,133,0,61,0
2015-08-07,2812,1351,1690,322,448,108,129,0,98,0
2015-08-08,4122,884,1204,156,130,164,137,0,22,0
2015-08-09,982,1589,1503,246,82,63,129,0,5,0
2015-08-10,331,2587,3108,622,216,228,208,0,66,0
2015-08-11,5622,1753,2587,1059,275,197,131,0,69,0
2015-08-12,108974,21632,2170,885,189,457,119,0,73,0
2015-08-13,11401,7705,2000,529,41,162,39,0,48,0
2015-08-14,2685,2343,2144,813,207,125,159,0,45,0
2015-08-15,103,1080,1518,253,145,96,114,0,6,0
2015-08-16,116,941,346,599,274,176,16,0,0,0
2015-08-17,505,2178,2650,1704,224,264,52,0,0,0
2015-08-18,580,3278,962,1457,63,146,58,0,0,0
2015-08-19,3003,10152,2974,1539,210,116,87,0,0,0
2015-08-20,1521,2758,2621,856,235,79,27,0,0,0
2015-08-21,1378,1590,2251,875,75,89,30,0,0,0
2015-08-22,1472,1449,1548,577,122,97,40,0,0,0
2015-08-23,1789,988,1481,527,133,81,3,0,0,0
2015-08-24,1687,2341,2797,1332,182,120,142,0,0,0
2015-08-25,2230,2374,2918,1357,289,58,25,0,0,0
2015-08-26,1916,4124,2846,505,424,87,57,0,0,0
2015-08-27,1207,18451,2517,537,403,78,42,0,0,0
2015-08-28,608,1517,2462,471,377,70,17,0,0,1
2015-08-29,390,31806,1820,562,456,31,17,0,0,0
2015-08-30,233,954,3237,360,452,64,31,0,0,0
2015-08-31,1349,1076,5087,635,249,16,49,0,0,0
2015-09-01,1511,6012,3259,591,234,65,37,0,0,0
2015-09-02,1972,1866,2882,745,125,33,76,0,0,0
2015-09-03,1570,1128,408,697,70,100,13,0,0,0
2015-09-04,1103,2941,2410,503,82,68,36,0,0,0
2015-09-05,1404,3850,2198,267,15,42,10,0,0,0
2015-09-06,1532,3053,3149,435,7,76,24,0,0,0
2015-09-07,1340,546,2251,1096,21,103,36,0,0,0
2015-09-08,1475,1163,3257,1827,24,65,59,0,0,1
2015-09-09,944,1482,2528,1465,97,85,60,0,0,0
2015-09-10,525,1071,3466,1669,412,68,51,1,0,0
2015-09-11,918,4126,4725,1078,162,82,63,0,0,0
2015-09-12,1367,2807,2051,590,61,27,29,0,0,0
2015-09-13,1077,3832,3643,368,198,120,51,0,0,0
2015-09-14,1146,6966,3754,1783,190,41,18,3,0,0
2015-09-15,1200,6646,2183,1131,261,91,56,15,0,0
2015-09-16,1804,7842,3920,908,182,38,146,46,0,0
2015-09-17,1166,7765,4191,593,176,80,75,32,0,0
2015-09-18,1240,3960,3206,498,342,47,41,28,0,0
2015-09-19,864,1428,1119,458,119,53,40,10,0,0
2015-09-20,243,1039,1313,388,137,30,14,0,0,0
2015-09-21,136,2113,3711,901,148,126,106,12,0,0
2015-09-22,861,1840,3632,1172,263,98,115,15,0,0
2015-09-23,2400,1380,2512,1426,186,216,47,13,0,0
2015-09-24,2466,1404,2881,1111,106,76,128,31,0,0
2015-09-25,1473,1823,2368,934,167,84,69,30,0,0
2015-09-26,1592,433,1334,894,23,50,31,2,0,0
2015-09-27,2398,776,1856,956,182,0,7,6,0,0
2015-09-28,1571,1453,4220,3028,39,26,72,61,0,0
2015-09-29,47076,1283,1235,816,173,63,49,23,0,0
2015-09-30,33031,1291,1702,602,175,55,48,51,0,0
2015-10-01,709,2461,2182,465,543,192,97,63,0,0
