Day,[OSG] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted
2016-02-01,53699,1876,3963,662,157,0,314,183,62,0,2,0
2016-02-02,54470,2948,3123,590,112,0,226,145,50,0,62,0
2016-02-03,51597,2709,3099,812,62,0,44,129,45,0,0,0
2016-02-04,44073,8782,3897,888,0,0,72,99,37,0,6,0
2016-02-05,61766,2612,1940,798,0,0,183,154,17,0,0,0
2016-02-06,90299,706,2120,234,0,0,86,25,3,0,0,0
2016-02-07,134556,579,2285,180,0,0,49,68,11,0,0,0
2016-02-08,127937,227,5335,149,0,0,45,156,35,0,3,0
2016-02-09,89374,30,3549,103,38,0,42,145,8,0,3,0
2016-02-10,132328,2313,2323,541,70,0,23,74,22,0,5,0
2016-02-11,183409,1517,2113,352,136,0,42,2,17,0,0,0
2016-02-12,119748,1715,2512,510,314,0,108,4,32,0,0,0
2016-02-13,170701,917,1750,244,151,0,15,98,20,0,0,0
2016-02-14,116309,1185,3634,307,26,0,23,105,10,0,0,0
2016-02-15,123577,2346,3996,446,126,0,15,247,45,0,0,0
2016-02-16,122336,2067,2886,666,248,0,41,396,22,0,0,0
2016-02-17,62082,1899,2603,612,72,0,23,160,9,0,0,0
2016-02-18,47931,2614,2157,993,79,0,64,214,18,0,0,0
2016-02-19,83385,1963,2835,1017,104,0,95,109,11,0,0,0
2016-02-20,44168,1157,3168,542,54,0,131,156,7,0,0,0
2016-02-21,94092,2320,3698,1044,26,0,18,74,11,0,0,0
2016-02-22,130177,2975,3186,781,128,0,48,102,63,0,0,0
2016-02-23,59944,5325,2122,972,97,0,66,125,64,0,0,0
2016-02-24,41837,6807,3310,804,37,0,101,132,27,0,0,0
2016-02-25,33086,3299,3150,652,100,0,191,60,34,0,0,0
2016-02-26,26014,1813,3351,1629,258,0,112,53,15,0,0,0
2016-02-27,31520,1154,3723,867,40,0,78,37,3,0,0,0
2016-02-28,136641,1906,5141,419,46,0,92,32,12,0,0,0
2016-02-29,152453,3403,4446,666,130,0,74,73,38,0,0,0
2016-03-01,58141,2200,4252,825,156,0,77,67,10,0,0,0
2016-03-02,79581,2073,2911,1343,358,0,167,112,22,0,0,0
2016-03-03,91757,4064,2917,415,226,0,120,36,49,0,0,0
2016-03-04,113549,2253,3961,475,118,0,25,11,15,0,0,0
2016-03-05,14496,1673,3686,618,165,0,68,11,18,0,0,0
2016-03-06,18916,1702,3521,1267,127,0,62,12,9,0,0,0
2016-03-07,74607,2339,4483,794,139,0,44,79,14,0,0,0
2016-03-08,192768,2445,4006,1467,92,0,92,172,24,0,0,0
2016-03-09,8220,5870,3965,1703,67,0,78,174,23,0,0,0
2016-03-10,17186,3000,4439,890,96,0,135,318,27,0,0,0
2016-03-11,79365,2529,4182,562,171,0,64,478,13,0,0,0
2016-03-12,72843,1240,1825,388,16,0,22,230,9,0,0,0
2016-03-13,108554,437,2856,128,45,0,92,77,28,0,0,0
2016-03-14,104603,5916,5132,666,157,0,74,182,0,0,0,0
2016-03-15,82818,8575,6748,722,217,0,98,116,39,0,0,0
2016-03-16,91161,16679,4639,914,36,0,88,69,27,0,0,0
2016-03-17,33054,11125,4004,804,129,0,83,175,28,0,0,0
2016-03-18,30442,3418,4071,801,246,0,78,147,17,0,0,0
2016-03-19,62351,2055,3426,532,362,0,27,112,15,0,0,0
2016-03-20,60590,2635,2132,520,104,0,35,70,8,0,0,0
2016-03-21,65083,10968,2696,917,171,0,100,126,18,0,0,0
2016-03-22,51922,9865,2052,972,192,0,62,244,20,0,0,0
2016-03-23,46879,5561,2504,801,224,0,143,137,11,0,0,0
2016-03-24,92714,6078,1782,960,363,0,123,183,28,0,0,0
2016-03-25,34150,18381,1624,700,181,0,76,152,19,0,0,0
2016-03-26,23739,22596,1267,357,131,0,12,61,2,0,0,0
2016-03-27,30139,9907,1664,489,77,0,79,65,23,0,0,0
2016-03-28,31714,11960,2723,888,1634,0,81,68,46,0,0,0
2016-03-29,50758,14180,1513,967,158,0,125,87,9,0,0,0
2016-03-30,14336,23348,1149,955,439,0,71,102,14,0,0,0
2016-03-31,3141,9813,1151,1683,101,0,89,113,33,0,0,0
2016-04-01,11155,16874,2371,675,91,0,220,65,26,0,0,0
