title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[NCSA DTF] Wait Hours: Per Job","[PSC POPLE] Wait Hours: Per Job","[TACC RANGER] Wait Hours: Per Job","[NICS ATHENA] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[NCSA LINCOLN] Wait Hours: Per Job","[NCSA COBALT] Wait Hours: Per Job","[TACC LONESTAR] Wait Hours: Per Job","[NCSA ABE] Wait Hours: Per Job","[PURDUE STEELE] Wait Hours: Per Job","[IU BIGRED*] Wait Hours: Per Job","[LONI QUEENBEE] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job","[PSC BIGBEN] Wait Hours: Per Job","[ORNL NSTG] Wait Hours: Per Job","[NCAR FROST] Wait Hours: Per Job","[SDSC DASH] Wait Hours: Per Job","[TACC SPUR] Wait Hours: Per Job","[PURDUE CONDOR] Wait Hours: Per Job"
2010-02-01,14.35155848,20.99839091,19.60629494,0,7.64096489,2.27403929,18.85125783,1.62834286,6.65075159,3.33678922,0.03228621,0,0.00030000,1.02240700,0.01513594,0.00230000,0,0.02640000,0.00218265
2010-02-02,27.98574168,7.68519014,20.17231662,0,3.69139570,2.83174444,4.59163898,7.65752318,7.57484185,4.28923076,66.35022759,183.85930000,0.00194000,24.95913571,0.02024638,0.00247273,0,0.03248000,0.00108926
2010-02-03,25.92210579,10.68819846,19.70626643,0,17.28420714,3.01750797,4.83409198,3.46545188,6.97513222,9.50531272,10.70369592,0.26833348,0,33.10228772,0.01661897,0.10139014,0,0.02355000,0.00077485
2010-02-04,11.52905227,11.08736386,9.53694335,0,15.00037086,12.47507254,37.44363788,4.12060939,18.73973015,0.99092917,22.82053684,0.55045670,0.00400000,22.98917792,0.01634655,0.25090000,0,0.06322857,0.00239943
2010-02-05,5.04426753,18.85751165,15.12717887,0,7.58807889,4.39953881,30.31917292,6.24926331,8.67191322,3.02898328,25.28949394,2.84560868,0.00056667,0.15370985,0.01526500,4.61363333,0,0.03222500,0.00052203
2010-02-06,15.30425375,0.00000000,20.45311993,0,5.22900290,25.10235763,48.79856184,14.20122913,13.56070464,6.00425731,18.79681875,5.24425423,0,9.40436071,0.00004138,0.00282973,0,0.02500000,0.08007381
2010-02-07,19.10187961,0.00035714,30.61854071,0,2.70776676,27.11961839,16.99681271,18.39648639,3.76140380,0.99497209,4.55163056,10.37324417,0,0.00545698,0.00005625,4.64986000,0,0,0.02208696
2010-02-08,26.22054010,0.15626667,13.97940016,0,1.77496742,0.94333846,2.80494890,1.41942978,2.58667619,2.38150389,15.02213590,0.62033341,0.00192857,1.34309714,0.04291818,0.08998667,0,0.03972500,0.10049420
2010-02-09,22.65639207,86.12643946,15.29614274,0,0.95129351,2.82981509,39.44780142,19.23343052,0.63517459,46.28309550,8.62004364,4.08772218,0.00260000,2.67704653,0.04106522,0.00181250,0,0.03097500,0.16386327
2010-02-10,20.84359478,7.41290704,24.68834190,0,116.86670000,6.76994194,5.61404208,7.35300039,1.48613935,4.85693066,2.26818065,2.40871474,0.00170000,4.45559800,0.03533600,0.02032000,0,0.03720000,0.22881600
2010-02-11,18.99627826,14.30785565,24.06951621,0,12.43776844,26.12566729,18.34215482,27.63117688,3.60788980,0.62971167,13.70389118,4.28700117,0.00233333,6.62829664,0.02936875,0.01379498,0,0.03030000,0.37481591
2010-02-12,20.55779921,7.67703125,29.00860482,0,3.83099209,2.84978889,9.75498942,12.73283930,5.51362080,1.03663367,13.00429111,12.81367840,0.00451429,15.18714250,0.02433846,0.63864242,0,0.03610000,0.01005245
2010-02-13,56.78740236,14.64880202,35.01776847,0,2.88448701,0.55261333,17.47502874,5.78686744,14.14570385,1.12883254,39.15262000,9.36060412,0,14.94006327,0.00005273,0.00164000,0,0.03286667,0.38862000
2010-02-14,62.45292780,7.62065402,39.92349138,0,1.75807537,6.00736190,1.03877742,23.43176304,9.91818183,6.74920415,30.98856486,0.13620207,0,0.73457353,0.00005185,0.00195000,0,0.02796000,7.06931667
2010-02-15,65.95725140,8.46921712,24.62174970,0,2.07042011,0.02199310,2.79563150,7.29724824,5.12732193,0.97347632,34.93981463,0.83678009,0.00795000,10.37627895,0.01693571,2.18868378,0,0.04195000,1.79871852
2010-02-16,71.10356997,6.60716771,16.29877506,0,1.39536603,0.08078527,0.26802893,17.24608500,13.66355834,0.76104866,10.19138387,1.70636131,0.00780000,3.27812532,0.01593729,0.50077778,0,0.02070000,0.94776486
2010-02-17,71.18194867,4.91193964,21.37355009,0,6.35963491,3.75457381,2.22603464,7.31807564,15.71361892,1.33362201,64.57365500,0.00000000,0.07793750,1.98802542,0.01232895,2.78204118,0,0.04530000,0.50945811
2010-02-18,27.10989682,5.33838190,21.28100281,0,5.29565162,8.18341622,3.35889580,20.70687047,4.51938415,2.28916619,32.11189286,0,0.51203182,0.73167947,0.01492698,0.02717156,0,0.01000000,0.00088260
