title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NCSA LINCOLN] Wait Hours: Per Job","[LONI QUEENBEE] Wait Hours: Per Job","[TACC RANGER] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job","[IU BIGRED*] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[PSC POPLE] Wait Hours: Per Job","[NCSA EMBER*] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[PURDUE CONDOR] Wait Hours: Per Job","[NICS ATHENA] Wait Hours: Per Job","[SDSC DASH] Wait Hours: Per Job","[NCSA ABE] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[NCAR FROST] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[PURDUE STEELE] Wait Hours: Per Job","[TACC SPUR] Wait Hours: Per Job","[ORNL NSTG] Wait Hours: Per Job"
2011-02-01,5.10920894,13.51656458,6.60390451,29.81797982,174.59719281,5.36279727,10.39073351,58.17749183,0,0.88826239,2.26232358,1.05665000,5.10650640,0.00536667,9.42098750,0.01567248,0.03935753,0.02801425,0.05222727,0
2011-02-02,12.16573143,2.09702135,12.28472587,26.01577838,4.04430154,3.16240675,6.00325374,78.98549376,0.20585172,4.14407039,2.66864889,11.92085000,4.74329557,0.00480333,0.29909861,0.06508488,0.00139483,0.02230564,0.10370000,0
2011-02-03,18.57274961,10.34767256,6.23037386,17.85266667,11.77554419,13.61691635,6.36970045,56.13307245,0.24085873,2.72616484,2.78434910,0.00000000,4.50243132,0.00525000,0.97879182,0.84844272,0.00088116,0.15294024,0.03190000,0
2011-02-04,12.53038036,2.69380566,6.95801325,14.16605854,31.93848222,7.52651141,26.39794200,3.23054980,0.14714521,8.19401894,1.48357456,0.00030000,0.19361892,0.00462000,1.93787226,0.22926585,0.00461481,0.06709356,0.03070000,0
2011-02-05,15.62519810,4.52113952,6.74496038,14.97783448,2.43211569,5.36190685,29.30403707,2.67023542,1.02353710,12.85413333,0.86552064,0.52580000,0.25641403,0.00918060,0.14595277,0.02305986,0.00464615,0.01427147,0.02220000,0
2011-02-06,54.26471186,4.19699625,5.28297490,14.28135076,1.39672188,6.90478092,33.66456142,2.63683621,1.93764242,50.10551806,3.55764310,1.80060000,0.38680307,0.01048406,0.42773650,0.00143380,0.00637895,0.01258404,0.02575000,0
2011-02-07,32.54734953,5.69407407,3.83579444,13.29840707,7.03923333,1.38018676,19.83811030,7.62130516,0.02901652,5.50111979,4.76544966,3.24780000,1.21827908,0.00667000,0.70995494,0.05459070,0.00434583,0.07372201,0.02820000,0
2011-02-08,15.91717868,8.09534797,5.69299313,13.51201124,9.15704717,7.41054211,10.14989693,0.03021909,20.14444167,2.76983980,7.60774804,1.96056667,0.73295455,12.84757857,0.75206359,1.10321732,0.15378667,0.06538175,0.02425000,0
2011-02-09,58.72566452,6.19450225,3.86053811,21.85038462,0.92337806,0,9.01863780,0.27590920,0.69117456,2.48284335,2.20355071,0.40760000,0.25884915,0.52402222,0.19781534,2.21699529,0.00101268,0.04474776,0.02805000,0
2011-02-10,66.01972766,2.38771322,7.75480173,18.81699592,0.29998971,0,7.65156721,1.73286884,2.01250882,1.02613945,12.26037857,0.16611000,0.10449739,0.00531250,0.09202946,2.34414386,0.05601854,0.15893938,0.02661667,0
