title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[IU BIGRED*] Wait Hours: Per Job","[NCAR FROST] Wait Hours: Per Job","[LONI QUEENBEE] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[TACC RANGER] Wait Hours: Per Job","[PURDUE CONDOR] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[NCSA LINCOLN] Wait Hours: Per Job","[PSC POPLE] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[PURDUE STEELE] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job","[SDSC DASH] Wait Hours: Per Job","[NCSA FORGE] Wait Hours: Per Job","[TACC SPUR] Wait Hours: Per Job","[NCSA EMBER*] Wait Hours: Per Job"
2011-08-01,0.01756944,336.92110000,37.77564205,1.58945731,3.40316069,3.77234190,10.75564263,0.81806134,0.07063556,17.31298400,0.00165345,0.20152868,8.81934798,0.12281391,0.73946222,0,0.03350000,0.00000000
2011-08-02,312.49480746,362.50290000,27.09634688,0.00690828,3.59324809,10.01210349,6.87770744,1.06147103,0.00659382,0.30114766,0.00127887,1.05267838,3.03831346,0.40753649,0.00307619,0,0.04609231,0
2011-08-03,0.00470000,205.54780000,52.26504265,3.03521818,7.40974764,3.83180549,17.21421561,1.25378724,0.51289048,0.62084184,0.00115000,3.22974615,2.14634409,2.10464157,1.34147083,0,0.04190000,0
2011-08-04,0.00000000,0.00000000,20.27695705,35.65096491,9.03484189,5.46906240,9.38168116,0.90035438,0.92508940,1.30137000,0.00111471,6.72400506,49.21952781,1.64583978,0.00006667,0,0.11807500,0
2011-08-05,0.00000000,242.66690000,20.80758991,13.29382517,6.75437900,8.11815443,21.02000370,1.21236826,0.77336741,1.06384054,0.13167071,2.36238642,0.47309066,1.47260000,0.00000000,0,0,0
2011-08-06,0.00000000,0,29.42268017,7.04125538,6.24591222,23.08422188,30.90464390,20.13896669,4.33966568,11.76466143,9.65110909,0.00470000,0.34162192,3.92698333,0.00030000,0,0,0
2011-08-07,0.00000000,0,40.44211111,8.69578448,5.62526610,3.93372770,34.90871290,29.55798351,0.77457211,3.42103021,14.77508571,0.00559655,0.12077723,4.00586667,0,0,0.02235000,0
2011-08-08,0.00000000,0,21.25105960,10.95323168,6.98846572,0.10186894,11.72018300,225.90120000,0.09633969,13.66552830,0.43655000,1.64784520,0.00037500,0.62206579,0,0,0.02491429,0
2011-08-09,0.00000000,0,24.60612647,11.29798123,8.59837712,19.64598152,8.72612438,27.79527933,0.44527878,7.61628936,0.61972048,1.72230200,8.47181274,0.35004490,0,0,0.03762000,0.01580000
2011-08-10,0,0,46.05355806,0.99323166,5.39479681,4.27423391,10.29599818,8.81532974,0.46405728,5.94640566,0.36545393,1.93948902,0.13507760,0.35529123,16.14812500,0,7.01081667,0.03617000
2011-08-11,0,0,46.86560714,25.30329723,18.21779158,2.62028931,10.39343184,12.38218692,5.09572265,4.11180851,2.28623684,3.75234516,5.52009794,1.36220417,0.00014000,0,0.27536667,0
2011-08-12,0,0,61.42843511,2.35817818,11.00582535,1.19389930,15.22781757,40.47009125,0.67922857,3.15953333,3.43423731,5.58390231,0.23378754,1.41257273,0.00000000,0,0.77196667,0
2011-08-13,0,0,48.94962714,3.79260874,17.91353590,5.29774593,13.90067564,45.66460070,5.43330738,0.77691081,3.73191000,0.56825866,0.03320981,14.05642500,0.00015000,0,0.01820000,0
2011-08-14,0,0,43.88922637,2.77284767,23.70789156,0.40110079,4.62262022,30.34607543,1.78005507,1.04625625,6.04030000,0,0.51560208,0.00973684,0.35300000,0,0.02540000,0
2011-08-15,0,0,41.85615859,3.80463697,3.82452245,0,5.15155240,26.79737122,1.90174768,14.32648039,4.45066889,6.39393817,1.28394824,0.64676552,0.00020000,0,0.61500000,0.00890000
2011-08-16,0,0,20.49087698,1.11758116,12.56448869,44.79710000,3.55681754,19.08193470,0.37459842,3.94483521,2.89483333,2.32642530,0.68555103,0.00970930,0.00014000,0,0.01093333,0.01875000
2011-08-17,0,0,48.68650789,2.15592957,9.55302788,6.39376858,4.89622172,26.88632856,0.88743582,5.39373148,10.44840588,1.86071700,0.53889966,0.00930714,0.04005556,0,0.24962000,0.01818065
2011-08-18,0,0,28.87481415,1.17579472,4.60716821,3.47317083,2.37277441,23.54208739,0.47691235,20.53717083,15.95328793,1.85818144,1.98590778,1.08115000,0.00013750,0.00007500,0.01920000,0.02216364
2011-08-19,0,0,32.51270359,5.18245863,8.50638278,7.89238133,2.96214382,28.09111345,2.74289008,0.59840256,1.24827222,0.89131429,2.48528723,0.24075333,0.00000000,0,0.18256667,0.03027500
2011-08-20,0,26.30785000,17.21645570,4.93161233,7.84068679,13.77877793,3.55468457,34.35731714,13.33185069,1.77697624,1.91278571,29.64994118,2.20375203,2.26191176,9.85240000,0,0,0.03475000
2011-08-21,0,0.00000000,3.20280875,2.40689648,7.37595888,6.03227279,3.06774163,15.34816796,2.53831638,0.16049118,1.31612558,3.05964286,2.24434736,6.16624186,3.31629286,0,0.03140000,0.02420000
2011-08-22,0,5.22603333,5.76426731,1.86753730,6.46210233,5.63326381,0.80751350,0.40245346,5.78553508,0.61717857,0.33146316,3.25451852,1.76419297,0.70424211,5.59694545,0,0.04700000,0.02825000
2011-08-23,0,6.42442000,22.94384947,2.16836981,3.68770632,4.47170659,24.66671858,0.20220848,7.86778543,0.54057899,0.92704324,1.22998077,20.09169719,2.91703265,0.67503529,0.01073333,0.00000000,0.01445000
