title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2012-02-01,2012-07-31
---------
Day,"[PSC BLACKLIGHT] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[NCSA FORGE] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[SDSC DASH] Wait Hours: Per Job","[GATECH KEENELAND] Wait Hours: Per Job","[TACC RANGER] Wait Hours: Per Job","[PURDUE STEELE] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[PURDUE CONDOR] Wait Hours: Per Job","[LONI QUEENBEE] Wait Hours: Per Job","[TACC SPUR] Wait Hours: Per Job"
2012-02-01,35.73702032,10.53091031,13.41221033,0.43494530,0.54981295,0.00015000,0,6.33974480,15.75540033,12.77758621,4.78060488,0,0.19071968,0.59078000,0.02690000
2012-02-02,40.02252649,4.24490162,37.49791079,1.07254457,0.23508462,0.00030000,0,3.83676596,14.33837719,0.00716087,8.74843509,0,0.42552438,0.14630000,0.02482683
2012-02-03,30.16211126,2.97836796,9.74233886,0.00455816,0.93132256,0.00000000,0,2.31123041,12.25136007,0.00990313,2.52332400,0,0.98022899,0.00000000,0.03400000
2012-02-04,27.00267311,3.70652412,6.30720721,0.00476538,0.76548517,0,0,3.39793015,25.23045935,0.16545000,11.26204000,0,0.31219386,0.00000000,0
2012-02-05,38.73876023,3.14282679,5.77028944,2.93010556,0.26749034,0,0,3.08666313,26.75978047,15.02090500,1.28045238,0,1.12866537,0.01525000,0.01915000
2012-02-06,17.35779205,3.17357319,3.60746766,0.01787542,0.01850000,0,0,3.51191374,11.21000907,9.64346053,6.79797083,0,1.80324013,0.00370000,0.02030000
2012-02-07,21.97101818,0.70001723,4.05714152,0.00504486,4.15632892,81.77805000,0,4.20884436,20.38554435,5.46541864,5.24911509,0,0.01503371,0.00187500,0.02965000
2012-02-08,17.75704466,7.44610178,11.00551651,1.63983519,5.73508501,0.00018889,0,3.16750674,43.88890609,0.01063182,9.43489146,0,0.00753500,0.00176667,0.01110000
2012-02-09,25.82512298,3.61309105,11.29138711,3.98312215,0.21361870,1.13833333,0,5.94270275,26.35604891,0.03971837,7.16890339,0,0.00761395,0.00142727,0.01665000
2012-02-10,17.66075480,7.77606672,5.59096529,2.08582828,0.32878743,0,0,3.85535360,23.49914902,0.34313086,13.72017692,0,0.00796250,0.00118000,0.12365000
2012-02-11,31.11760795,5.08062956,14.61361925,1.35956226,0.27654745,0,0,4.42259139,45.37287558,16.04374444,10.50459429,0,0.00791667,0.00227424,0.03436667
2012-02-12,30.11518343,3.01339312,11.00540123,0.36699926,0.27037229,0.00007500,0,4.56515805,1.97142765,16.45872273,12.68907407,0,0.00389000,0.00000000,0.06737059
2012-02-13,19.73756045,2.41993395,8.47154849,0.18067708,0.41177119,0.00000000,0,1.40861169,1.21923433,3.14116747,13.84585747,0,0.00508500,0.00145000,0.08546667
2012-02-14,20.90122670,3.00936060,9.35057045,0.90412273,1.31487479,0.00000000,0,20.95738324,22.73221036,14.98598272,6.74923768,0,0.00526500,0.00000000,0.05490000
2012-02-15,36.90231056,4.20097909,8.92447231,4.54456316,1.81345389,0.00017500,0,2.82901424,37.87866541,0.00947922,21.70815484,0,0.00515250,0.00176667,0.01903333
2012-02-16,14.05006688,7.83348655,10.52641299,5.21309655,3.62837007,0,0,1.49732312,107.98107381,0.71731919,2.34329206,0,0.00589137,0.27500000,0.02500000
2012-02-17,24.15651685,1.69535957,12.64064122,3.99479821,3.18918824,0,0,1.68287201,110.71065722,3.04375185,11.14269636,0,0.00374297,0.23265000,0.02252500
2012-02-18,31.08176860,37.26161591,16.29571961,27.92372083,5.40829616,0,0,9.06640041,103.84547606,23.44019375,1.27336364,0,0.04578560,0.00000000,0
2012-02-19,36.75474221,6.98843981,15.66306577,16.67059615,0.75265173,0.00015000,0,1.26895542,1.22773309,6.85404333,17.02533929,0,0.00718750,0.00220000,0.07025556
2012-02-20,6.47890848,2.66451766,20.11153521,2.45944058,0.38085029,0,0,0.78372154,8.31765100,1.31907059,6.00469000,0,0.00667804,0.01910000,0.02071111
2012-02-21,9.45849561,7.56142899,16.99568840,4.46637818,6.50714268,0,0,2.23197972,5.59490234,6.94025938,9.08015000,0,0.00450788,0.00036667,0.71495000
2012-02-22,10.88204064,4.28653396,21.65887009,5.43223627,2.82189685,0,0,3.72331372,4.52183822,10.85152381,7.16524948,0,0.00726219,0.00170000,0.03012000
2012-02-23,12.84123390,4.96478206,12.98335548,1.79206111,1.44486348,0,0,2.15046197,1.32370735,8.07277333,1.96743649,0,1.51569655,0.01515000,0.20920000
2012-02-24,14.93660240,5.13822422,52.79523900,1.51910694,0.78960114,0,0,1.60846802,2.04342703,15.96635526,0.43967451,0,3.23726190,0.00170000,0.30931111
2012-02-25,30.83901150,3.67197875,76.63616270,0.89819167,2.31237588,0,0,1.38705234,0.74553803,16.73217436,0,0,0.00015500,0.00140000,0
2012-02-26,20.91923284,5.89246751,33.37582493,9.83013492,2.33877802,0,0,1.77492007,3.30702653,4.59400000,0,0,0.20648333,0.00000000,0
2012-02-27,26.65068972,5.29283900,26.86894414,2.91728857,1.94548676,0,0,1.01656069,4.43405739,1.80142830,57.46345610,0,0.00000000,0.00563077,0.02570000
2012-02-28,18.42873324,5.82332500,20.23719055,16.16509500,1.39331526,0,0,1.18659433,2.09614117,7.50621563,2.96997019,0,1.47704159,0.00170000,0.02690000
2012-02-29,7.58226364,7.49799219,17.89092366,3.67291525,3.56038646,0,0,1.65492097,1.76401628,4.57024630,0.00475333,0,0.00096250,0.00152500,0.02320921
2012-03-01,15.28974516,4.63179290,6.71981012,3.75130092,0.19099769,0,0,1.43789079,0.68267892,9.45455833,0.00455571,0,6.30593939,0.00000000,0.02426415
2012-03-02,19.95295632,12.07362714,11.85808755,3.30609661,2.33918194,0,0,1.47420077,0.74087633,13.46130588,0.11465636,0,0.68611111,0.00112500,0.02452273
2012-03-03,18.86152829,61.14646429,29.06208284,7.05620833,4.15576997,0,0,2.24714644,4.38161139,0.61687333,0.00573704,0,0.00000000,0.00181538,0.30142857
2012-03-04,4.06958134,10.09467087,20.52811823,2.93627773,0.95611801,0,0,1.39473120,4.84747318,0.00705333,0.00470000,0,2.67841724,2.49230000,0.05253500
2012-03-05,4.61284613,4.41394129,16.04216487,6.67702821,1.17641881,0,0,2.12808622,3.45471425,7.75210968,0.00465000,0.00139765,14.40714138,0.00000000,0.05132353
2012-03-06,5.87246047,7.03862006,21.30521935,5.07132378,4.33815497,0,0,1.59656925,2.19722334,5.04839750,0.00460698,0.00065692,11.02439101,20.36195000,0
2012-03-07,6.65385430,3.76707224,9.04544726,3.29598905,3.44653946,0,0,2.44091674,7.52360081,8.33545789,2.74680952,0.00117625,4.29294143,3.51139286,0.01135000
2012-03-08,8.80886949,6.22196667,0.82558381,12.13292917,4.08692180,0,0,1.57933538,2.11759398,6.46207941,0.00462143,0.10385593,10.24794054,0.00266667,0.02665000
2012-03-09,11.45795294,50.07931188,1.91609012,9.67246667,1.11116532,0,0,2.01395263,0.99029902,12.71820800,0.00547000,0.00077647,12.69627426,0.01791000,0
2012-03-10,24.49138535,27.60399145,8.33678116,18.65132667,2.33831823,0,0,5.35480622,0.32481524,19.01864500,1.04367338,0.84142419,19.11048182,0.01730000,0.02134595
2012-03-11,12.74884170,6.78160590,10.94007395,6.07105152,3.16204810,0,0,3.53805838,0.36903617,24.26854211,1.19508770,0.00069333,10.36483167,0.00164706,0.02403667
2012-03-12,9.39554698,15.33125838,3.46200685,3.18387619,7.78330148,0,0,3.24929063,0.68328553,18.62095556,1.75552271,0.05080172,0.65393986,0.14966531,0.02515000
2012-03-13,4.34795020,4.34106692,8.07130651,2.55172138,5.95062989,0,0,4.45623880,13.35116355,10.51336061,0.71512831,0.02832489,0.49495355,0.01624545,0.02046667
2012-03-14,7.38379605,2.21383597,5.40198588,2.69410494,7.32741157,0,0,4.13490478,4.01212391,18.53156000,0.64282676,0.00315538,0.01876167,0.00160000,0.01973333
2012-03-15,9.07420458,0,6.71324495,3.69392269,8.92789746,0,0,3.79016441,1.68744713,28.40144000,0.00465405,0.00199000,0.58258410,4.39661500,0.02580000
2012-03-16,8.63158658,14.70374000,9.87960462,2.90326864,5.10666624,0,0,3.39702591,2.14777468,33.12753333,0.63593649,0.00175977,2.22501329,0.00317347,0.02697778
2012-03-17,7.99177939,57.14893689,15.98839830,3.04191154,3.88365129,0,0,5.49736166,0.80155705,78.30555000,0.91139623,0.08409000,1.28945747,0.79825714,0.03034000
2012-03-18,4.55472275,17.11285627,16.29765416,3.09037851,15.75702113,0,0,3.83467044,1.29285312,39.33766250,0.00587826,0.07057931,0.00645833,0.32846531,0.02843333
2012-03-19,15.99716699,46.99660000,6.13064009,4.43655243,14.00067535,0,0,3.36102515,3.97785576,2.50324516,0.00548400,0.06897237,1.91471280,0.00110000,0.03962308
2012-03-20,65.76484893,9.19490500,11.50287238,10.49729091,22.28782669,0,0,7.97070507,0.23905079,1.64353182,12.56659286,0.43603774,0.16084733,0.00477143,0.02751429
2012-03-21,45.42211919,2.89132431,10.17658663,3.07180879,3.41622540,0,0,4.51469160,0.31296093,1.27367072,0.00493077,0.00798674,1.08623469,0.97239792,0.06216000
2012-03-22,16.19913593,3.05219479,7.77357957,7.28315211,11.51825435,0,0,8.76732893,0.94827136,1.45306233,0.00481304,0.01607150,0.06379784,0.07369310,0.03872059
2012-03-23,7.32385249,33.38995667,7.49855964,5.16205385,10.23733954,0,0,4.95957098,0.82602075,2.53362933,0.00594286,0.13782884,1.72904918,0.00242121,0.02110000
2012-03-24,8.32800236,10.93057081,30.24606604,4.02337705,22.63685429,0,0,6.52257795,0.69375541,4.32269167,0.00435714,0.02111609,0.00000000,0.00143333,6.84070000
2012-03-25,6.67849966,17.24348521,22.64512934,3.38519020,22.55445820,0,0,3.43379045,0.25655097,0.01397778,0.00545455,0.01122133,0.00510000,0.00391429,0
2012-03-26,6.86589164,3.20514706,10.45616179,2.01574878,5.54382541,0,0,4.27728701,0.26660372,5.27863171,1.00870962,0.01618755,1.15575120,0.00162000,0.02430000
2012-03-27,3.90842346,14.58312440,5.07057298,1.68579492,14.91960438,0,0,1.72937108,0.55893128,4.90773500,0.08879811,0.66716885,0.00377298,0.21610000,0.48937500
2012-03-28,1.50173746,9.09622878,6.89391498,6.12601557,26.33627073,0,0,3.98372613,0.66061250,2.20000750,1.03859273,0.71394068,0.19897802,7.30826667,3.07354667
2012-03-29,1.42044819,4.43244715,9.36017099,5.34907120,11.90468868,0,0,2.79563413,1.10079771,2.42690000,1.95407258,0.56395357,0.11461952,0.00138571,5.06117500
2012-03-30,1.50469979,2.57490430,5.67951799,0.80594839,2.38683712,0,0,3.02015353,3.45814763,1.44273125,0.43041250,0.22843921,0.40026910,0.00000000,5.29683333
2012-03-31,3.33848065,68.30548182,42.27341273,3.41281964,16.70790322,0,0,2.26437702,0.10449225,6.72364286,0,0.00056277,2.80613551,0.00155000,0.02390000
2012-04-01,4.19148043,40.65993094,23.21678744,0.01835714,15.71373699,0,0,7.73254807,0.16563874,2.93475926,0,0.00046890,14.30557778,0,0.02742500
2012-04-02,2.37506207,7.37287446,23.51541418,1.02088824,20.60719802,0,0,2.68390198,4.29049882,2.32182716,0,1.40343673,1.47722832,0,0
