title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[SDSC GORDON] Wait Hours: Per Job","[GATECH KEENELAND] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[GATECH KIDS] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job"
2014-02-01,24.20281062,38.90562881,14.37073015,2.37925098,6.29490000,0.19178065,0.01761705,5.57256558,0,0,0,0.00588500
2014-02-02,5.59095144,3.91131463,7.51320889,0.41537600,20.91282632,0.14092874,0.02867929,2.29838873,0,0,0,0.00000000
2014-02-03,4.82259779,2.31752167,15.44078089,2.00849532,6.03134000,1.18127511,0.76108241,1.37908428,0,0,0,0.01044444
2014-02-04,5.98675947,10.41614750,1.77555192,0.29349753,2.64274286,2.29671300,0.09447381,1.11063539,0,0,0,0.00706136
2014-02-05,6.29622551,16.61410471,1.38375721,0.56943632,6.40010794,1.29891413,1.11785778,1.38981981,0,0,0,0.00854444
2014-02-06,9.19800739,24.85120629,1.50807405,1.24508386,11.97810690,0.65397201,1.38062773,1.92798258,0,0,0,0.01103571
2014-02-07,6.50734358,35.95622781,3.36420964,1.13148788,5.06611493,2.75362699,2.88972881,2.67912426,0,0,0,0.01056429
2014-02-08,5.18468574,93.24841867,0.23023197,1.14848274,3.40498860,0.44189896,0.59892744,5.06029120,0,0,0,0.00030000
2014-02-09,4.22802797,1.41334581,0.20105756,1.48581571,0.00080448,0.16961415,1.16099564,3.87465223,0,0,0,0.00654211
2014-02-10,2.12649263,2.64814211,0.14924640,2.28582687,0.01214433,0.94965614,0.24652345,2.15866361,0,0,0,0.00912075
2014-02-11,3.81497920,0.00000000,0.29173606,0.43808582,0,3.18796535,0.85262911,2.04455981,0,0,0,0.00814800
2014-02-12,8.90993297,42.67357714,0.17179818,1.65503391,3.01918710,1.89159544,1.01935031,1.81894158,0.01234000,0,0,0.02450571
2014-02-13,17.32274052,4.24955288,0.18986415,1.37608000,0.00066660,1.96292193,2.65051257,1.77045698,0.01444643,0,0,0.00633478
2014-02-14,18.89848532,1.00925321,0.13364089,9.93947000,0.85728196,3.08247127,0.58111794,2.50891644,0.01161667,0,0,0.00940952
2014-02-15,49.45873878,11.10015000,0.30846624,2.56070432,6.94382800,0.43547130,1.89945336,3.45642630,0.00676667,0,0,0.01065000
2014-02-16,47.78554913,1.91415034,2.21498055,0.84212529,0.13696286,0.79352689,1.21740036,3.77886943,0.00872857,0,0,0.00981724
2014-02-17,28.26425774,3.90707798,2.55725262,2.10535760,7.30346250,1.56776845,1.17467152,2.77221455,0.00896250,0,0,0.00890769
2014-02-18,5.31089646,1.25687581,0.09103550,1.63844819,1.63095714,1.86900502,11.91637384,3.48936743,0.00785000,0,0,0.03993626
2014-02-19,6.40519436,5.29398451,0.93395791,11.07134370,23.02268750,1.34501849,2.40578619,8.36551379,0.01187778,0,0,0.00753269
2014-02-20,10.59898541,6.99110758,3.06800814,1.20565958,35.86663333,1.48445009,0.98781086,6.50650178,0.01242500,0,0,0.00856667
2014-02-21,15.27058370,4.21948369,0.49307741,4.47992727,15.68390000,1.06894094,1.63246577,14.62163203,0.01189375,0,0,0.00927037
2014-02-22,46.50033546,28.68517778,1.00978213,5.70910000,16.63282500,0.35916875,1.07914354,4.58339605,0.00960000,0,0,0.00916667
2014-02-23,49.92866821,0.02015267,4.20806166,17.69353598,0.00030000,0.29806557,0.47933900,0.95441511,0.00956364,0,0,0.00855833
2014-02-24,36.53703947,2.64450958,15.75147650,3.78659717,63.94919000,0.25733711,0.06051915,0.68131293,0.00991667,0,0,0.00894667
2014-02-25,24.88032439,1.66442775,5.06615291,3.23134000,3.72558182,12.83790420,0.97764487,1.33203724,0.00845000,0,0,0.00907000
2014-02-26,21.21476225,0.64566453,10.86924822,0.42350773,2.70597037,1.18207658,1.40619309,0.80891481,0,0,0,0.00997143
2014-02-27,8.26473615,1.38441146,12.35337850,0.71149795,15.71512222,1.38638857,0.23224872,0.62699956,0,0,0,0.00821304
2014-02-28,38.73366070,0.40240974,6.22921223,5.08629245,7.68127250,1.18533201,0.55230673,0.74532217,0,0,0,0.00907647
2014-03-01,18.38435930,0.53826133,7.93339749,1.24924421,7.22737727,0.50634464,0.69126689,1.11436465,0,0,0,0.00751053
2014-03-02,18.45853641,12.29505335,16.32179989,0.09430560,47.20843750,0.53179702,0.00968000,1.12677787,0,0,0,0.00893750
