title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2014-08-01,2015-01-31
---------
Day,"[GATECH KEENELAND] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[GATECH KIDS] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2014-08-01,3.61943153,1.00154545,28.93877479,9.27804551,1.83057500,0.69752637,2.50707442,12.40279565,0.40534779,0.12353790,0,0
2014-08-02,0.19702885,0.00000000,32.69563810,11.74663419,0.21074118,0.53029609,0.00975297,9.37712222,0.30023280,0.21204858,0,0
2014-08-03,0.00290856,19.44996667,24.36960730,4.66753585,1.08947647,0.34108267,6.71300455,3.40164803,0.08451693,2.22867088,0,0
2014-08-04,0.00659194,46.34577845,2.40139309,3.40318489,0.39621034,0.25953241,0.00150000,3.99883793,0.04747532,0.07865414,0,0
2014-08-05,0.00023333,290.93804698,1.74586769,7.30513239,0.00000000,9.56523145,0.00070000,3.35096869,0.01263904,0.19598874,0,0
2014-08-06,20.62980645,252.80353000,0.69986689,8.44638933,11.75667000,1.19646625,23.00661667,1.91481761,1.53295087,0.05604952,0,0
2014-08-07,0.00141206,223.64466250,0.87943573,5.90445185,0.01486250,1.29428368,3.15151500,4.14855980,0.33171688,0.20715776,0,0
2014-08-08,0.03811826,175.93583210,0.28494691,10.63780589,0.01282222,1.65785830,3.55640152,7.96724737,0.29584494,4.03092233,0,0
2014-08-09,0.00209023,16.95295000,0.82620457,11.12830029,0.00945000,0.59692995,16.57592941,6.23224412,0.18293218,7.76347895,0,0
2014-08-10,0.01530903,53.82856388,0.30458713,14.75148491,0.55763333,0.31830078,17.55170000,8.06069241,0.29015042,0.49422960,0,0
2014-08-11,1.20696314,9.19970674,0.35827563,12.64662894,2.99582069,0.43719892,0.00155000,9.39272589,0.36513709,0.07108377,0,0
2014-08-12,3.33690762,2.26008566,0.22093425,14.26584362,5.39284375,0.28659382,0.01786944,3.04764219,0.00191335,0.00011036,0,0
2014-08-13,8.50382252,2.95147555,0.05771152,15.75120855,0.00644444,0.52834772,0.00048230,1.17007568,5.38414975,0.58040068,0,0
2014-08-14,18.03455741,2.34937202,0.01508746,6.68571305,1.46554286,0.88053902,0.00046923,2.85299660,0.08835600,1.52579091,0,0
2014-08-15,2.10671416,1.88096140,0.01297345,4.68245536,0.00676667,0.82534736,0.00034118,1.98318605,0.00154056,1.87882653,0,0
2014-08-16,19.99995413,1.10810570,0.01509238,7.70182296,3.70262857,0.50790717,42.24833333,4.06593614,0.06261111,6.34214833,0,0
2014-08-17,46.80868061,1.87508472,0.01238668,5.04544490,20.55708750,0.99053333,81.78555000,5.95340541,0.00040000,3.22575185,0,0
2014-08-18,10.59919021,4.13916053,0.01164613,7.79300939,8.97178333,0.54374399,0.00000000,2.26481650,0.06191758,0.65386941,0,0
2014-08-19,0.00028667,9.06816082,0.03681195,6.47386280,16.84395000,0.47286254,0.00013529,0.81718357,0.10960605,0.59230054,0,0
2014-08-20,34.42990862,6.51581644,0.05196313,5.16033476,9.84126000,2.19434671,0,1.09434552,0.00077313,3.63692718,0,0
2014-08-21,11.74754286,11.46608431,0.10018760,1.77395324,8.68632500,1.29448021,12.97498462,1.76727198,0.09551206,1.82076962,0,0
2014-08-22,18.88135619,27.34845060,0.04706638,6.07725781,4.69671333,2.72392290,0.00000000,0.71894217,0.14858987,1.15807633,0,0
2014-08-23,29.15583676,17.00987424,0.03226562,5.21016535,0.00828000,0.84478051,0.00092000,0.11831179,0.16180217,1.53130305,0,0
2014-08-24,61.57690558,18.16742182,0.62287011,3.21836520,0.00930000,0.58785968,0.00090000,0.76268920,0.01446793,0.42488349,0,0
2014-08-25,46.27066912,6.93715398,2.01962152,1.29496670,0.00822000,0.43893691,0.00160000,1.54171862,0.19492514,0.61119389,0,0
2014-08-26,45.45387887,4.63950357,5.43625549,7.34285177,0.00544000,0.56076232,0.00103333,0.52667817,9.16015000,0.55411579,0,0
2014-08-27,1.22552518,7.07603314,0.35991093,4.12498956,0.00936667,0.65039239,0.00000000,0.85472427,0.71304529,1.19289098,0,0
2014-08-28,15.24756407,7.52674141,0.77998288,7.50316571,0.00750000,0.97245064,0.00000000,0.76002156,0.23572817,0.12960611,0,0
2014-08-29,36.91168079,7.61727500,3.30234554,3.97746559,5.08650000,1.31626793,0,0.72318346,0.09325331,0.04163851,0,0
2014-08-30,36.84807647,6.13711250,3.29718000,24.34438585,17.83852308,0.82125023,0,0.23179396,0.00723179,0.07803994,0,0
2014-08-31,0.00016000,2.49548065,0.18048629,7.70472559,3.52042069,0.41048273,0,0.01746351,0.21429910,0.17133255,0,0
2014-09-01,0.00018929,1.99921500,0.57438842,18.45968752,0.00823333,0.28792666,0,0.01812662,0.07356178,2.46987901,0,0
2014-09-02,0.00015714,4.22560194,1.94518781,5.01686042,0.54894000,0.83285424,0,2.19312667,0.03205483,1.30992206,0,0
2014-09-03,16.37963014,4.75142308,5.45637637,12.98997514,0.00916000,1.27957509,0,0.02147785,13.44481563,0.33849194,0,0
