Day,[TACC LONGHORN] Wait Hours: Per Job,[NICS KRAKEN] Wait Hours: Per Job,[IU BIGRED*] Wait Hours: Per Job,[NCSA COBALT] Wait Hours: Per Job,[PSC POPLE] Wait Hours: Per Job,[TACC RANGER] Wait Hours: Per Job,[NCSA EMBER*] Wait Hours: Per Job,[NCSA LINCOLN] Wait Hours: Per Job,[TACC LONESTAR] Wait Hours: Per Job,[NICS ATHENA] Wait Hours: Per Job,[PURDUE CONDOR] Wait Hours: Per Job,[PURDUE STEELE] Wait Hours: Per Job,[LONI QUEENBEE] Wait Hours: Per Job,[NCSA ABE] Wait Hours: Per Job,[NICS NAUTILUS] Wait Hours: Per Job,[SDSC DASH] Wait Hours: Per Job,[PSC BLACKLIGHT] Wait Hours: Per Job,[NCAR FROST] Wait Hours: Per Job,[TACC SPUR] Wait Hours: Per Job,[SDSC TRESTLES] Wait Hours: Per Job,[ORNL NSTG] Wait Hours: Per Job
2010-08-01,0.00563939,8.00806492,0.04072716,80.76684815,10.99077750,5.08586179,0,0.00581429,35.04983077,14.65692867,0.00455556,3.92402024,4.10109819,0.02436180,0,0,0,0.00170000,0.02415000,0,0.00007255
2010-08-02,0.00358462,7.16182640,0.14616301,27.67903478,12.54402222,6.05469011,0,0.03267895,18.24156871,11.49046154,0.26583077,2.15983103,0.16675496,0.50527661,0,0,0,0.00180351,0.02708750,0,0.00005667
2010-08-03,0.00398889,5.12314201,270.31428143,4.02546096,11.01079919,5.03471437,0,1.20856875,20.49982389,28.24785575,0.35340825,2.42881090,0.84518349,0.95128470,0,0,0,0.00197333,0.02528000,0,0.00007059
2010-08-04,0.06331765,23.41519136,1.45082500,8.49643297,4.74277308,6.83849301,0,0.00991650,18.23342593,22.22230316,0.69967842,4.46552347,0.54478315,0.10030250,0,0,0,0.00208571,0.04030000,0,0.00008000
2010-08-05,0.00253000,16.55845603,3.37392500,13.96872778,6.08342207,8.37538764,0,0.21566406,14.41178810,15.59919615,0.98620175,8.11239359,1.27212197,0.08097973,0,0.00011333,0,0.00198438,0.04986667,0,0.00013846
2010-08-06,0.00832857,17.43646776,5.28895200,20.70179604,11.68747097,11.10688993,0,0.45680000,24.14449181,23.28887959,0.39270959,1.63394343,4.35201438,0.62571326,0,0.00014500,0,1.05828095,0.04280000,0,0.00004000
2010-08-07,0,19.73034343,13.69197838,24.29746557,21.10118857,4.53286810,0,0.61071500,20.16975688,15.00862535,0.69015092,4.71123546,13.61427143,0.46617288,0,0.68115833,0,0.00183846,0.04030000,0,0.00005294
2010-08-08,0.00186667,7.97178307,0.43323785,33.19717304,0.00072982,1.28826865,0,3.71486667,20.55954802,89.97918667,0.00563529,25.36345013,27.94095702,0.01392534,0,1.29129286,0,0.00186667,0.00830000,0,0.00006923
2010-08-09,0.00404545,7.53690224,6.49846615,0.70418430,6.44975918,6.20348423,0,0.26867879,12.85862609,41.51326889,0.00362300,4.28962081,6.53157990,0.07741462,0,0,0,0.00192632,0.02728750,0,0.00010769
2010-08-10,0.00362381,6.41590807,5.33517283,72.48498405,3.81327015,5.01627191,0,0.07924950,20.52144973,41.54464324,0.00672640,14.10752251,5.03041589,0.97179045,0,0,0,0.00786364,0,0,0.00006000
2010-08-11,0.00562500,3.03915471,1.35514620,3.73761141,5.63220360,4.91939836,0,2.13876522,30.79073898,8.57007070,0.08003006,6.29603640,4.09466887,0.26949171,0,0,0,0.01990278,0.04462500,0,0.00002609
2010-08-12,0,27.40592308,0.91735172,1.83493924,10.69531892,2.60781714,0,0.27432750,9.15489511,28.24937582,0.01308377,5.01977380,2.72709278,1.64077331,0,0,0,0.00692881,0.02337143,0,0.00003958
2010-08-13,0.01574318,50.58206192,20.75037015,19.81310802,6.55439339,6.99459553,0,0.67269444,15.85194054,15.17162990,0.11930472,2.82217968,1.44110693,1.09265510,0,0.03403333,0,2.44161818,0.02605000,0,0.00006200
2010-08-14,0.00470000,51.62087185,2.55541127,5.15002065,19.56991096,8.00201842,0,1.65617407,6.84575166,9.90551053,0.08292089,3.45932917,3.71465426,6.63635773,0,0.00015000,0,0.00186667,0.03265000,0,0.00008333
2010-08-15,0.00330000,28.28490319,3.20851500,1.57970435,31.55701429,1.98357524,0,5.02615455,23.60764247,5.38904117,0.01959199,4.02176736,1.99301429,1.23940900,0,0.40478000,0,0.19390000,0.02385000,0,0.00005490
2010-08-16,0.00221923,11.14310143,1.83611481,1.78121780,26.68712603,2.29670809,0,2.93877727,4.59577875,2.25721781,0.39670761,9.13535350,2.95616293,0.78915703,0,0.00018182,0,0.00575472,0.09446000,0,0.00005000
2010-08-17,0.00299000,6.96947382,4.24771970,10.85286457,4.96600000,4.33218805,0,3.73337000,6.88070721,2.75702267,4.14502069,14.18870843,5.74441181,2.20675539,0,0.00000000,0,0.00547917,0.05660000,0,0.00006500
2010-08-18,0.00329412,28.80751923,2.08654760,0.38091850,7.22113678,4.92504909,0,6.20093182,5.85895736,2.13659545,0.21913624,5.64142729,11.55755000,0.49228168,0,0.00016667,0,0.00216957,0.07146667,0,0.00007627
2010-08-19,0.00255455,18.15686389,1.24741091,0.86979083,7.36758593,8.39895012,0,5.31217568,10.15020984,6.87988523,0.25298063,3.66510084,9.29537500,0.82622369,0,0.00012000,0,0.13604375,0.08812857,0,0.00012041
2010-08-20,0.00263750,35.19811727,8.86401008,4.18436851,0.15539259,8.11648885,0,7.31452059,7.36683634,11.75208438,0.09572577,5.01527055,14.18051037,2.09127480,0,0.00010000,0,3.11584286,0.03430000,0,0.00010600
2010-08-21,0.00174286,46.02630457,0.98170704,3.72384756,0.48764348,1.43027209,0,5.69010870,8.69059254,16.32478846,0.10031277,2.15423645,22.89761813,0.42893764,0,0.00017857,0,0.28580000,0.56923333,0,0.00007222
2010-08-22,0,57.26104846,0.01783413,19.18686471,1.57516494,2.28742682,0,4.09240000,12.26253497,16.43184051,0.36216866,3.77055737,9.74412518,0.01815887,0,0.00030000,0,7.97152500,0.14415000,0,0.00009818
2010-08-23,0.00259375,13.54508567,6.63268777,15.73998455,1.45714545,2.17880896,0,10.71749444,8.08708502,16.82102021,0.24860509,7.31071353,2.37659372,0.10543981,0,0,0,0.51043750,0.02804000,0,0.00008400
2010-08-24,0.61543902,3.28847372,0.25410556,11.78165430,1.64766622,3.53239743,0,7.50120000,22.47635733,12.27973418,3.30906517,7.24978573,2.42230995,0.64614847,0,0,0,0.41647347,0.03170000,0,0.00006538
2010-08-25,0.00265455,40.04574889,1.04904198,8.55375175,6.55795094,2.62500664,0,1.78176479,4.64760328,11.01885913,0.02156914,21.33808647,4.76679659,0.48798589,0,0.00020000,0,0.98135309,0.03272000,0,0.00006852
2010-08-26,0.00407500,3.98204501,0.25661237,4.58689401,9.00553107,2.42632748,0,6.34086800,28.29586720,20.67599462,0.39806150,4.21744356,9.09382171,0.33974892,0,0.08617000,0,0.09169800,0.02753333,0,0.00007083
