Day,[PURDUE CONDOR] Wait Hours: Per Job,[GATECH KEENELAND] Wait Hours: Per Job,[SDSC GORDON] Wait Hours: Per Job,[PSC BLACKLIGHT] Wait Hours: Per Job,[SDSC TRESTLES] Wait Hours: Per Job,[PURDUE STEELE] Wait Hours: Per Job,[NICS KRAKEN] Wait Hours: Per Job,[GATECH KIDS] Wait Hours: Per Job,[NICS NAUTILUS] Wait Hours: Per Job,[TACC STAMPEDE] Wait Hours: Per Job,[TACC LONESTAR4] Wait Hours: Per Job,[TACC LONGHORN] Wait Hours: Per Job
2013-08-01,1.75670952,54.78966994,2.39507850,10.06277229,2.16770977,3.85126098,2.41293692,0,0.97377000,0.09866023,7.98253537,0.00822727
2013-08-02,2.36809250,12.36350105,4.19881047,3.49366189,2.25369687,2.50907221,5.79284505,0,1.30526667,0.15862685,11.14125511,0.01060000
2013-08-03,4.49559750,12.67049684,9.14529927,6.83856379,0.75545646,0.00000000,10.74395104,0,0.00957500,0.12407587,7.88141291,0.01177273
2013-08-04,4.62666000,19.94406340,9.37494559,6.96518750,1.36457594,31.39550000,3.50803751,0,0.01075455,0.15236902,3.50505023,0.00806667
2013-08-05,5.83480632,1.01643175,3.65749183,3.07161172,0.36596510,7.55774382,3.75952611,0,0.15365000,0.12116815,2.39732953,0.00000000
2013-08-06,7.81020315,12.98915612,9.50984641,1.77134369,1.26414876,0.02220000,5.14002021,0,0.06709091,0.15853564,3.02753658,9.48643871
2013-08-07,9.04823514,8.08743011,7.86568314,8.51123830,2.30654666,0.00750000,1.86174288,0,0.34044000,4.96713413,3.66960445,0.16020538
2013-08-08,10.05433418,15.69852647,19.42356175,15.37816970,0.61612796,0.01411667,4.30060646,0,2.59785185,2.18146563,3.41251485,0.22092593
2013-08-09,10.77568501,7.02889701,16.47218673,14.68025518,2.21901050,0.01535714,7.21423878,0,0.57377273,2.58893493,2.32451029,0.21531829
2013-08-10,12.14753685,15.54406441,11.92046184,16.43912974,0.10084093,0.00000000,6.28135929,0,0.01282308,2.17034008,1.36885016,0.21050613
2013-08-11,13.85111806,4.07661458,22.49586154,11.74514883,0.11273004,0.00000000,1.79254702,0,0.00000000,1.13230613,0.88194036,0.20939536
2013-08-12,15.02646267,1.72875788,28.81578176,13.03334667,0.05854419,0.00000000,1.98457326,4.23000000,0.15431892,0.20117961,1.20654014,0.20968074
2013-08-13,15.30828167,1.76726390,24.49227092,17.02589269,0.08423439,0.00000000,3.59935679,0.00130796,0.01545000,0.08646823,11.55820374,0.01519412
2013-08-14,17.92945912,9.35954108,17.59690356,15.65340698,0.07627645,0.00000000,4.54713631,0.48195411,0.56467895,2.22040394,11.86429213,0.21220984
2013-08-15,38.55907778,5.22218689,18.26482776,53.00246368,0.20424384,0.00000000,3.30885696,14.15315000,0.06645385,0.33931577,2.96894690,0.21160305
2013-08-16,29.09057692,11.49661866,29.36971879,32.83187828,0.72224337,0.00000000,3.44660085,27.27200000,0.01677647,0.44348548,0.52301293,0.26728571
2013-08-17,0,6.87911704,41.40019654,10.08960000,2.31031140,0.00000000,2.68825047,50.61430000,0.00926667,0.26466404,0.45818345,0.17692031
2013-08-18,22.80125000,4.36905202,36.79690902,61.75990350,3.49373474,0.00000000,3.43255219,0,2.79193750,0.16825273,0.32549750,0.20943182
2013-08-19,22.84593793,3.94130906,0.52224902,8.56340551,0.63484578,0.01355918,1.46776379,5.33039286,0.02311212,0.26747030,1.48331949,0.22404082
2013-08-20,26.69956111,15.40159045,0.00190000,8.43504523,1.30914402,0.00000000,1.49051956,15.96646538,0.01131481,0.16507161,1.62020455,0.00488571
2013-08-21,25.58368434,10.67565850,0.01940000,8.03758297,16.39241565,0.00000000,1.09906880,18.94436176,0.01384643,0.16720954,1.50951048,0.28481446
2013-08-22,26.35910542,3.26129582,0.60034911,6.49951156,24.57473152,0.00000000,2.87846093,31.22135789,0.03657931,3.70644164,1.32313155,0.01011875
2013-08-23,28.70211873,3.30603168,13.20249181,9.79866711,0.93045247,0,3.26316924,0.00018889,0.76614000,0.44745697,1.42914280,0.32027865
