title
"Number of Resources: Active: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[GATECH KEENELAND] Number of Resources: Active","[GATECH KIDS] Number of Resources: Active","[NICS DARTER] Number of Resources: Active","[NICS KRAKEN] Number of Resources: Active","[NICS NAUTILUS] Number of Resources: Active","[PSC BLACKLIGHT] Number of Resources: Active","[SDSC GORDON] Number of Resources: Active","[SDSC TRESTLES] Number of Resources: Active","[TACC LONESTAR4] Number of Resources: Active","[TACC LONGHORN] Number of Resources: Active","[TACC MAVERICK2] Number of Resources: Active","[TACC STAMPEDE] Number of Resources: Active"
2014-02-01,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-02,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-03,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-04,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-05,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-06,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-07,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-08,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-09,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-10,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-11,1,0,0,1,0,1,1,1,1,1,0,1
2014-02-12,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-13,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-14,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-15,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-16,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-17,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-18,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-19,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-20,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-21,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-22,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-23,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-24,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-25,1,1,0,1,1,1,1,1,1,1,0,1
2014-02-26,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-27,1,1,0,1,0,1,1,1,1,1,0,1
2014-02-28,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-01,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-02,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-03,1,1,0,1,1,1,1,1,0,1,0,1
2014-03-04,1,1,0,1,1,1,1,1,1,1,0,1
2014-03-05,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-06,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-07,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-08,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-09,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-10,1,1,0,1,0,1,0,0,1,1,0,1
2014-03-11,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-12,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-13,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-14,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-15,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-16,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-17,1,1,0,1,0,1,1,1,1,1,0,1
2014-03-18,1,1,0,1,1,1,1,1,1,0,0,1
2014-03-19,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-20,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-21,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-22,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-23,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-24,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-25,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-26,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-27,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-28,1,1,0,1,1,1,1,1,1,0,0,1
2014-03-29,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-30,1,1,0,1,0,1,1,1,1,0,0,1
2014-03-31,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-01,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-02,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-03,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-04,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-05,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-06,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-07,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-08,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-09,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-10,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-11,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-12,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-13,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-14,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-15,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-16,1,1,0,1,1,1,1,1,1,0,0,1
2014-04-17,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-18,1,1,1,1,1,1,1,1,1,0,0,1
2014-04-19,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-20,1,1,0,1,0,1,1,1,1,0,0,1
2014-04-21,1,1,1,1,1,1,1,1,1,0,0,1
2014-04-22,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-23,1,1,1,1,1,1,1,1,1,0,0,1
2014-04-24,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-25,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-26,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-27,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-28,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-29,1,1,1,1,0,1,1,1,1,0,0,1
2014-04-30,1,1,1,1,0,1,1,1,1,0,0,1
2014-05-01,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-02,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-03,1,1,0,0,0,1,1,1,1,0,0,1
2014-05-04,1,1,0,0,0,1,1,1,1,0,0,1
2014-05-05,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-06,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-07,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-08,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-09,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-10,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-11,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-12,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-13,1,0,1,0,0,1,1,1,1,0,0,1
2014-05-14,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-15,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-16,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-17,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-18,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-19,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-20,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-21,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-22,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-23,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-24,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-25,1,1,1,0,0,0,1,1,1,0,0,1
2014-05-26,1,1,1,0,0,0,1,1,1,0,0,1
2014-05-27,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-28,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-29,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-30,1,1,1,0,0,1,1,1,1,0,0,1
2014-05-31,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-01,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-02,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-03,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-04,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-05,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-06,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-07,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-08,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-09,1,1,1,0,0,1,1,1,1,0,0,1
2014-06-10,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-11,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-12,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-13,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-14,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-15,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-16,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-17,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-18,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-19,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-20,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-21,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-22,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-23,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-24,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-25,1,1,1,0,0,1,1,1,1,0,1,1
2014-06-26,1,1,1,0,1,1,1,1,1,0,1,1
2014-06-27,1,1,1,0,1,1,1,1,1,0,1,1
2014-06-28,1,1,1,0,1,1,1,1,1,0,1,1
2014-06-29,1,1,1,0,1,1,1,1,1,0,1,1
2014-06-30,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-01,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-02,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-03,1,1,1,0,0,1,1,1,1,0,1,1
2014-07-04,1,0,1,0,0,1,1,1,1,0,1,1
2014-07-05,1,0,1,0,0,1,1,1,1,0,1,1
2014-07-06,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-07,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-08,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-09,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-10,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-11,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-12,1,1,1,0,0,1,1,1,1,0,1,1
2014-07-13,1,1,1,0,0,1,1,1,1,0,1,1
2014-07-14,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-15,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-16,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-17,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-18,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-19,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-20,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-21,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-22,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-23,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-24,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-25,1,1,1,0,1,1,1,1,1,0,1,1
2014-07-26,1,1,1,0,1,1,1,1,1,0,1,1
