Day,[IU BIGRED*] Number of Resources: Active,[LONI QUEENBEE] Number of Resources: Active,[NCAR FROST] Number of Resources: Active,[NCSA ABE] Number of Resources: Active,[NCSA COBALT] Number of Resources: Active,[NCSA DTF] Number of Resources: Active,[NCSA LINCOLN] Number of Resources: Active,[NICS ATHENA] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[ORNL NSTG] Number of Resources: Active,[PSC BIGBEN] Number of Resources: Active,[PSC POPLE] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC DASH] Number of Resources: Active,[TACC LONESTAR] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active
2010-02-01,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-02,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-03,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-02-04,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-05,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-06,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-02-07,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
2010-02-08,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-09,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-12,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
2010-02-13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-02-14,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
2010-02-15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
