Day,[IU BIGRED*] Number of Resources: Active,[LONI QUEENBEE] Number of Resources: Active,[NCAR FROST] Number of Resources: Active,[NCSA ABE] Number of Resources: Active,[NCSA EMBER*] Number of Resources: Active,[NCSA LINCOLN] Number of Resources: Active,[NICS ATHENA] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[ORNL NSTG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PSC POPLE] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC DASH] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active
2011-02-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2011-02-02,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-03,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-04,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-06,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-10,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-11,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-02-13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2011-02-14,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-15,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2011-02-16,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-19,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-20,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-22,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-23,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-02-24,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-25,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-02-26,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2011-02-27,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-02-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-01,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-02,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-03,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-04,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-05,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-06,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2011-03-11,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2011-03-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
