Day,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2013-02-01,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-02,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-03,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-04,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-05,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-06,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-07,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-08,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-09,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-10,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-11,1,0,1,1,1,1,1,1,1,1,1,1,1
2013-02-12,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-13,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-15,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-16,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-17,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-18,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-19,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-20,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-21,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-22,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-23,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-24,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-25,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-26,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-27,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-02-28,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-01,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-02,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-03,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-04,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-05,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-06,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-07,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-08,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-09,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-10,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-11,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-12,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-13,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-14,1,0,1,1,1,1,1,1,1,1,1,0,1
2013-03-15,1,0,1,1,1,1,1,1,1,1,1,0,1
