Day,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2013-08-01,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-02,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-03,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-04,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-05,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-06,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-07,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-08,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-09,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-10,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-11,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-12,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-13,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-14,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-15,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-16,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-17,1,1,1,1,1,0,1,1,1,1,1,1
2013-08-18,1,0,1,1,1,1,1,1,1,1,1,1
2013-08-19,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-20,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-21,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-22,1,1,1,1,1,1,1,1,1,1,1,1
2013-08-23,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-24,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-25,1,0,1,1,1,1,0,1,1,1,1,1
2013-08-26,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-27,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-28,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-29,1,1,1,1,1,0,0,1,1,1,1,1
2013-08-30,1,1,1,1,1,1,0,1,1,1,1,1
2013-08-31,1,0,1,1,1,0,0,1,1,1,1,1
2013-09-01,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-02,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-03,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-04,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-05,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-06,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-07,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-08,1,0,1,1,1,0,0,1,1,1,1,1
2013-09-09,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-10,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-11,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-12,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-13,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-14,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-15,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-16,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-17,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-18,1,1,1,1,1,0,0,1,1,1,1,1
2013-09-19,1,1,1,1,1,0,0,1,1,1,1,1
2013-09-20,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-21,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-22,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-23,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-24,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-25,1,1,1,1,1,0,0,1,1,1,1,1
2013-09-26,1,1,1,1,1,1,0,1,1,1,1,1
2013-09-27,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-28,1,0,1,1,1,1,0,1,1,1,1,1
2013-09-29,1,0,1,1,1,0,0,1,1,1,1,1
2013-09-30,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-01,1,1,1,1,1,0,0,1,1,1,1,1
2013-10-02,1,1,1,1,1,0,0,1,1,1,1,1
2013-10-03,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-04,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-05,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-06,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-07,1,1,1,1,1,1,0,1,1,1,1,1
2013-10-08,1,1,1,1,1,0,0,1,1,1,1,1
2013-10-09,1,1,1,0,1,0,0,1,1,1,1,1
