Day,[CCT LSU SUPERMIC] Number of Resources: Active,[NICS DARTER] Number of Resources: Active,[OSG] Number of Resources: Active,[PSC BRIDGES] Number of Resources: Active,[PSC BRIDGES LARGE] Number of Resources: Active,[PSC GREENFIELD] Number of Resources: Active,[SDSC COMET] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[Stanford XSTREAM] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC MAVERICK2] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2016-02-01,1,1,1,0,0,1,1,1,0,1,1,1
2016-02-02,1,1,1,0,0,1,1,1,0,1,1,1
2016-02-03,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-04,1,0,1,0,0,1,1,1,0,1,1,1
2016-02-05,1,0,1,0,0,1,1,1,0,0,1,1
2016-02-06,1,0,1,0,0,1,1,1,0,0,1,1
2016-02-07,1,0,1,0,0,1,1,1,0,0,1,1
2016-02-08,1,0,1,0,0,1,1,1,0,1,1,1
2016-02-09,1,1,1,0,0,1,1,1,0,1,1,1
2016-02-10,1,1,1,0,0,1,1,1,0,1,1,1
2016-02-11,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-12,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-13,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-14,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-15,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-16,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-17,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-18,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-19,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-20,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-21,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-22,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-23,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-24,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-25,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-26,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-27,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-28,1,1,1,0,0,1,1,1,0,0,1,1
2016-02-29,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-01,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-02,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-03,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-04,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-05,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-06,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-07,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-08,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-09,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-10,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-11,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-12,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-13,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-14,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-15,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-16,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-17,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-18,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-19,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-20,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-21,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-22,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-23,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-24,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-25,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-26,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-27,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-28,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-29,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-30,1,1,1,0,0,1,1,1,0,0,1,1
2016-03-31,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-01,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-02,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-03,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-04,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-05,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-06,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-07,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-08,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-09,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-10,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-11,1,1,1,0,0,1,1,1,0,1,1,1
2016-04-12,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-13,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-14,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-15,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-16,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-17,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-18,0,1,1,0,0,1,1,1,0,0,1,1
2016-04-19,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-20,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-21,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-22,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-23,1,0,1,0,0,1,1,1,0,0,1,1
2016-04-24,1,0,1,0,0,1,1,1,0,0,1,1
2016-04-25,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-26,1,1,1,0,0,0,1,1,0,0,1,1
2016-04-27,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-28,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-29,1,1,1,0,0,1,1,1,0,0,1,1
2016-04-30,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-01,1,1,1,0,0,0,1,1,0,0,1,1
2016-05-02,1,1,1,0,0,1,1,1,0,1,1,1
2016-05-03,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-04,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-05,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-06,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-07,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-08,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-09,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-10,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-11,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-12,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-13,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-14,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-15,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-16,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-17,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-18,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-19,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-20,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-21,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-22,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-23,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-24,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-25,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-26,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-27,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-28,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-29,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-30,1,1,1,0,0,1,1,1,0,0,1,1
2016-05-31,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-01,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-02,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-03,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-04,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-05,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-06,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-07,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-08,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-09,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-10,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-11,1,1,1,0,0,1,1,1,0,0,1,1
2016-06-12,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-13,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-14,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-15,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-16,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-17,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-18,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-19,1,1,1,0,1,1,1,1,0,0,1,1
2016-06-20,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-21,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-22,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-23,1,1,1,1,0,1,1,1,0,0,1,1
2016-06-24,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-25,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-26,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-27,1,1,1,1,1,1,1,1,1,0,1,1
2016-06-28,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-29,1,1,1,1,1,1,1,1,0,0,1,1
2016-06-30,1,1,1,1,1,1,1,1,0,0,1,1
2016-07-01,1,0,1,1,1,1,1,1,1,0,1,1
2016-07-02,1,0,1,1,1,1,1,1,1,0,1,1
2016-07-03,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-04,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-05,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-06,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-07,0,0,1,0,1,1,1,1,0,0,1,1
2016-07-08,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-09,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-10,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-11,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-12,0,0,1,1,1,1,1,1,1,0,1,1
2016-07-13,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-14,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-15,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-16,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-17,0,0,1,1,1,0,1,1,0,0,1,1
2016-07-18,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-19,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-20,0,0,1,1,1,1,1,1,0,0,1,1
2016-07-21,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-22,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-23,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-24,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-25,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-26,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-27,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-28,1,0,1,1,1,1,1,1,1,0,1,1
2016-07-29,1,0,1,1,0,1,1,1,1,0,1,1
2016-07-30,1,0,1,1,1,1,1,1,0,0,1,1
2016-07-31,1,0,1,1,1,1,1,1,1,0,1,1
