title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NICS ATHENA] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BIGBEN] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[NCSA DTF] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)"
2010-02-01,77.818901910,79.980365582,84.500473526,57.507605773,0,0,16.248156250,41.810137178,24.159498969,26.493138955,47.410472768,74.193163496,4.343750000,0.085268351,8.096133869,5.315390625,4.843100993,1.766381429,0
2010-02-02,79.575435113,79.407642991,82.704816568,67.952962891,0,7.885655720,27.284037457,34.681322322,32.510905219,32.475141746,41.310112712,76.059411026,6.889791667,0.120284424,18.295042976,6.496816406,4.775467529,1.043434245,0
2010-02-03,82.452668186,74.059240359,56.335123702,56.537343750,0,59.920824601,33.153189355,33.084611854,24.346342231,92.728956539,39.727195384,71.464649004,5.556912202,0,10.973366369,21.731910807,4.214051514,2.665047879,0
2010-02-04,91.085852865,78.636903106,84.600129267,59.561404470,0,58.029307245,23.311701555,35.606307916,30.722626139,88.937783194,42.414152934,72.504434289,3.822373512,0.005976766,14.640208006,7.349970703,4.318035889,2.534910482,0
2010-02-05,91.200502387,81.350216048,84.877549053,62.603496137,0,51.804017122,33.637825771,36.225994832,24.766541341,71.691016846,21.348777517,71.704226161,3.348296131,0.182535807,11.588417530,6.743632813,5.131846924,3.124957818,0
2010-02-06,86.672068142,80.682968029,74.792980819,61.259774479,0,46.801206493,38.816314926,19.612820140,40.256173231,17.767692285,32.184787292,76.752644104,0.010788690,0,8.980260655,0.772858073,5.732661947,2.692632921,0
2010-02-07,84.972126194,70.799556809,79.455413375,61.756278950,0,43.592708723,21.974166809,15.093169618,36.127923448,77.019634769,17.447012431,79.614916008,0.008221726,0,7.863486220,0,5.824314372,2.498532172,0
2010-02-08,87.273196072,77.086623866,78.052963188,56.499922960,0,46.240442474,9.776436073,18.257613557,26.851694878,86.023258971,23.751166382,77.926593174,5.068697917,0.198698934,6.406675238,0.388743490,7.077438965,3.726331787,0
2010-02-09,92.377586806,71.558750390,59.891575595,52.519765408,0,49.066271675,16.020710688,22.078367395,28.423110623,84.115270036,21.203504893,76.925791337,3.564270833,0.055550944,5.268130506,4.961370443,5.987587484,3.277471924,0
2010-02-10,81.978116319,75.857120980,64.726661666,58.502913715,0,58.069563841,39.527920091,35.920542180,29.779013672,92.609757775,29.494936422,74.385009264,3.251116071,0.049393107,5.000565208,4.922744141,5.938023275,1.872621935,0
