title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2010-08-01,95.425268774,92.286102973,80.026245767,80.129075084,63.697609852,43.586055044,46.581254132,53.401614000,9.884295519,52.048630066,0,0.019051921,0,1.907699788,5.609661458,0,0.676210298,5.456836344,0,0,0.015833333
2010-08-02,93.001490424,98.107222765,84.663455895,80.328659331,73.073504861,30.082727610,51.827748877,42.639887493,9.443208550,55.221207477,0,0.716774495,0,0.924244113,2.538629557,0,0.552355000,6.205700684,0,0,0.017150298
2010-08-03,85.175759710,94.828024631,77.180226724,81.599759995,87.199175911,19.472936605,48.888025979,47.746228070,15.596112739,58.953793878,0,0.528591715,0,3.478206651,4.664931641,0,0.637113631,6.335871989,0,0,0.013846726
2010-08-04,98.895893889,92.850894640,82.505412670,81.367328605,79.367013889,40.821723124,48.538444127,47.295300310,16.842812771,52.938948916,0,0.450480143,0,8.339854329,2.089843750,0,10.940331667,6.303312174,0,0,0.008720238
2010-08-05,99.294604273,92.757593316,84.502136557,85.109193542,83.167262934,33.509114532,46.220226422,50.504943659,19.881076389,45.296782748,0,1.009421997,0.295211589,7.515421821,6.432434896,0,2.613057649,7.205642497,0,0,0.009047619
2010-08-06,98.380004386,96.883218859,80.239750903,87.362071503,85.693696962,32.627784882,48.068222929,50.970875327,20.043593479,55.732416453,0,0.526584066,10.344545085,5.662935248,3.104742839,0,7.777080030,6.715063070,0,0,0.009129464
2010-08-07,95.320400483,103.861164822,85.583327439,86.306710936,66.268711502,37.273790080,57.365091146,28.592850061,14.329655762,61.284880922,0,0,13.154477539,4.337269830,0.078414714,0,12.361456696,6.543187256,0,0,0.009300595
2010-08-08,92.619475634,70.291425239,84.958637688,79.204478194,64.727655122,12.671287282,70.430115472,23.131006031,10.121702203,56.815924372,0,0.048972778,8.904242350,4.506177436,2.087672526,0,1.721334792,5.626029867,0,0,0.008385417
2010-08-09,93.688875983,82.324110243,82.182343329,86.368684267,81.572204688,18.856372884,66.947434896,40.498174634,15.370832520,63.960150328,0,0.726531169,0,5.379617649,0.126448568,0,0.448468929,6.407100830,0,0,0.005825893
2010-08-10,95.403270030,94.872913954,82.076160548,85.760035867,86.538069618,47.432246450,57.340388442,34.156601285,32.576678331,66.026539954,0,0.544243571,0,4.175549045,0,0,6.304162530,6.929240316,0,0,0.008802083
2010-08-11,96.710384138,92.894709744,74.227052139,82.231772236,84.858377170,25.118851318,55.514954388,41.056565941,31.181245117,56.769586330,0,0.459034017,0,5.084829644,7.352431641,0,3.790058869,6.151744792,0,0,3.069523810
2010-08-12,96.379080230,95.695364583,66.386706083,87.375594598,93.093886024,28.712257640,54.132041776,39.455233588,24.154150119,54.047139555,0,0,0,3.866408556,1.668837891,0,4.594495089,6.205580648,0,0,0.015379464
2010-08-13,97.423633574,95.948031684,82.662556331,88.096055118,92.165734115,15.878363749,50.560694704,42.656359532,12.057918294,64.012450699,0,0.497142537,0.603841146,4.699080539,2.321468099,0,9.169738780,5.178053792,0,0,3.046830357
2010-08-14,92.881926044,95.324459635,81.709779118,87.302453230,85.348467448,13.005497742,60.658873191,37.135731675,11.112666287,55.275705622,0,0.061270345,1.781503092,4.948976237,2.226995443,0,4.806177232,5.034528809,0,0,0.014553571
2010-08-15,93.733654699,49.092706706,83.459852549,76.141768332,93.597200087,5.086932170,60.639904098,40.026838547,10.134391547,53.894892694,0,0.176305745,3.272749837,4.182725694,6.186484375,0,11.140161905,5.272000732,0,0,0.014627976
2010-08-16,98.515392126,88.994031033,81.454804381,84.340779073,82.783258203,14.315520020,55.929928424,28.477406507,19.935390082,67.949663313,0,0.697034912,0.164081217,4.634338921,9.562786458,0,2.862331339,6.129707438,0,0,0.014880952
2010-08-17,95.525014545,96.463668077,76.693085657,85.379474919,91.863404123,33.298882446,63.923432744,30.603335433,39.579764540,58.155135417,0,0.211344401,0.079372559,3.535436605,8.320312500,0,4.902102857,6.200580648,0,0,0.401123512
2010-08-18,91.643325161,93.795264757,72.749592173,80.997389720,90.800617274,56.482675120,75.197841894,42.174827711,28.656183811,56.405726027,0,0.195176799,1.747937826,26.693606771,2.565104167,0,2.724997381,6.941824544,0,0,0.401369048
2010-08-19,95.488318950,88.188891602,86.965566059,74.583931703,88.636968663,50.993842265,49.700034072,40.455026304,28.273494466,56.205605594,0,0.407556763,0.411783854,11.006241998,8.437789714,0,6.106838214,7.111427002,0,0,0.408727679
2010-08-20,97.790918407,81.422159288,77.042353759,81.394596857,82.552709549,22.002956746,31.319392621,36.924755914,36.664722765,58.345167808,0,0.415663249,0.224337565,3.051831733,4.179108073,0,5.835171518,6.454011230,0,0,0.015625000
2010-08-21,95.445934060,79.434823676,77.278137390,71.235600626,74.356866233,27.441370036,28.256949616,31.185819336,53.709906413,60.746563784,0,0.015340169,0.840024414,8.461558702,2.834635417,0,8.195602560,3.785985514,0,0,0.015215774
2010-08-22,95.481371689,65.859156359,80.641239009,65.848826630,55.532349653,41.417534739,25.612791760,38.929540932,52.602967122,48.263296162,0,0,0.170935059,12.903567437,4.320022786,0,4.476748661,0.729027507,0,0,0.014925595
2010-08-23,97.145467803,86.193100043,79.393267901,67.563668276,57.223073047,25.203830210,30.067777492,26.888625828,54.130558268,39.574218964,0,5.528166911,0,6.872722846,3.616608073,0,7.813317113,1.441001790,0,0,0.015290179
2010-08-24,97.376697649,78.773050130,69.544464732,74.679320872,90.225625217,12.518726552,34.761245088,25.501374405,55.762447917,26.618966752,0,2.808168538,0,4.370536024,0.135273438,0,4.418686518,3.337264811,0,0,0.014665179
2010-08-25,98.498570663,88.476786024,52.689921366,79.039450730,90.753868620,30.835584869,39.831846931,18.979671403,49.412326389,68.929032534,0,0.302991943,0.426793620,4.070802409,8.275315755,0,2.593489048,4.520399577,0,0,0.015372024
2010-08-26,98.007216358,86.547472331,84.306035976,77.328972783,84.392745964,8.857087351,48.544939340,47.216158723,45.990427517,63.381935288,0,0.169040527,1.517215983,4.116423611,4.713974609,0,17.631332530,4.116808675,0,0,0.014427083
2010-08-27,99.566065284,75.327129991,83.976179504,73.508657557,89.535567969,24.597014211,45.429792914,53.719555046,45.119142253,54.626059004,0,0.241147461,0.141348470,3.025484077,0,0,26.216972738,4.814629313,0,0,0.014590774
2010-08-28,97.716707022,61.778577474,81.401362652,80.057518691,53.037483594,16.947518870,28.018672655,59.922403590,41.870888129,53.141148473,0,0.031629842,0,2.843284370,0.948642578,0,15.455464643,4.568550618,0,0,0.014918155
2010-08-29,68.197811992,81.319054362,82.523374503,81.714003079,39.192473915,17.954996745,19.158062391,56.692208905,20.536293403,68.163756493,0,0.060257568,0,2.924717068,0,0,8.681780149,4.740248617,0,0,0.018757440
2010-08-30,78.724241052,84.896103516,84.123020055,79.876737031,63.186966580,6.927797750,25.039585750,47.708534784,31.962153320,57.979208405,0,0.869054769,0.110026042,2.996970757,1.334202474,0,8.427727113,4.082987467,0,0,2.359821429
2010-08-31,85.051796021,81.052632378,79.537256985,80.855289581,90.513807813,1.679217326,36.810351563,11.142568822,26.071571452,51.313124857,0,0.939525350,8.486020508,2.590821669,1.072483724,0,16.344083095,4.693674316,0,0,0.015825893
2010-09-01,97.371325678,94.317757161,77.437218642,76.824601310,92.457512543,2.179154053,45.652081306,29.978471036,26.505415310,51.922685574,0,2.443256022,5.400878906,2.894479980,0,0,19.854860417,5.178483480,0,0,0.016242560
2010-09-02,94.488016031,95.405446506,60.095239819,70.082177483,93.247089887,1.365189158,44.228224177,25.764705347,32.712927246,61.637904680,0,4.878427327,2.218985189,3.610045437,0,0,9.881822560,5.044811198,0,0,0.015535714
2010-09-03,91.677149061,93.003715278,75.442495243,75.887044926,74.127204861,32.949706980,46.290772517,31.438582843,30.893344184,63.031706407,0,1.443079020,0,2.196262071,0.099680990,0,6.463873988,4.635207926,0,0,0.014464286
2010-09-04,98.960685856,75.332929145,83.983054083,83.297957985,87.888979427,42.956090902,44.090425165,24.755800089,21.151107585,47.720310645,0,0,0,1.431899957,0,0,5.196144196,4.563660889,0,0,0.014680060
2010-09-05,98.348738480,88.417739258,81.186805533,77.983842773,90.685616233,8.778501180,33.826946732,31.030874218,19.878605414,60.438887486,0,0.001406047,0,1.356180149,0,0,2.824710655,5.277374674,0,0,0.014553571
2010-09-06,98.680829732,84.684142253,80.713439087,84.953107341,88.069678689,2.980324046,43.157125047,11.883765981,15.177632921,57.128295519,0,8.518238322,0,0.893554552,0,0,5.407506607,4.679742839,0,0,0.014836310
2010-09-07,99.012740216,69.243454861,47.538514049,82.892894548,91.612394054,40.705792389,43.743795456,12.243911324,12.560670573,37.960655394,0,2.937879639,0,1.598472900,0.658854167,0,2.277273185,5.242536621,0,0,0.015915179
2010-09-08,97.170762804,69.151674805,45.109509704,74.303950308,86.912148047,31.863679097,32.281054298,17.440512610,20.887050239,47.636538242,0,0.415852661,5.039298503,4.543918321,1.616751302,0,0.447989167,4.907706706,0,0,0.015833333
2010-09-09,95.297602966,80.720107964,85.964186191,81.651039285,55.415900651,32.858271840,36.846345512,26.528898610,11.400591634,53.005005850,0,0.210603027,9.913575033,5.356173774,0.837096354,0,0.036343274,4.165101318,0,0,0.015625000
2010-09-10,98.416538375,88.229089084,79.356996092,83.691215741,76.609736545,22.857991536,42.929351219,19.463209045,21.771644151,45.901199130,0,1.047164307,8.557273763,10.493596598,0.382086589,0,0.028368542,2.834430745,0,0,0.016614583
2010-09-11,97.677149777,92.793854709,64.647838878,87.489928822,55.480633550,28.365406189,26.273706025,20.314988627,10.840742188,51.012111801,0,0.696171468,2.513491211,9.141611871,2.020543620,0,0,4.119673665,0,0,0.015543155
2010-09-12,88.460276716,87.783690321,81.064739417,81.812215957,26.611466059,22.039152883,43.205552333,15.730668685,17.853859049,47.336674443,0,0.350423177,1.108343913,9.915316569,2.084635417,0,0,4.572615967,0,0,0.015625000
2010-09-13,98.839333467,90.775728082,83.402526920,81.264008782,17.221320269,11.304416199,59.122532825,15.958226192,11.803958333,47.335224030,0,3.237932943,0.300275065,19.249914144,5.219039714,0,1.934909613,3.626287842,0,0,0.015997024
2010-09-14,99.532898382,99.643656684,69.037340185,85.468986168,73.600633898,24.014612325,63.123875764,28.841725166,24.130509983,44.106007277,0,10.360939331,6.849536947,6.893696560,11.204720052,0,3.614021280,5.749222412,0,0,0.015625000
