title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2011-02-01,88.286774712,0,42.257546640,106.114711914,84.978775182,32.509410250,77.321060655,12.581769206,29.707352295,53.078977514,61.818124288,25.256336553,1.213294271,54.484344661,1.093298340,4.011912977,6.816902127,12.143518880,0.232085298,0
2011-02-02,91.056462443,4.518722689,43.022266817,100.037252604,80.767264963,25.909411973,69.254382595,11.085123698,59.585603027,48.882308196,49.048403066,23.277407207,4.812531331,70.813274523,1.202473958,10.524341498,7.192574327,4.879628906,1.533717381,0
2011-02-03,97.808299258,7.352852077,63.834725821,61.569676107,83.883681971,20.754687787,75.465658366,9.991798604,65.295654500,59.995418772,36.833279165,20.135104867,5.382500814,45.941541840,1.743544108,10.599970974,4.990709364,1.333043620,2.243690268,0
2011-02-04,90.718687458,6.286805004,84.825061111,28.785552300,90.654747086,34.805353354,59.603862847,7.739474792,74.067866414,70.345850019,55.581344045,14.818506031,1.797703857,75.747222352,0.528989258,10.250816650,4.242170410,5.318720703,3.947787679,0
2011-02-05,97.430782012,8.003553464,79.978026369,97.806852756,79.219067284,42.345158523,55.389587945,17.787258708,75.025725098,57.942192100,72.882143453,15.324611154,7.100836589,64.341749523,0.192581380,9.689920247,2.748980035,0.179977214,2.849412530,0
2011-02-06,92.775454459,12.803249277,81.911745120,78.004747179,75.296500697,24.140400465,66.898551704,27.553096110,72.696424357,40.671913127,65.072772013,17.957700693,0.985384115,59.332320573,0.037687988,9.531025391,1.701040310,3.898147786,2.720327649,0
2011-02-07,90.224282861,7.388682266,79.310110264,95.372696398,74.603405980,33.320524289,46.615728624,34.217958781,69.053778687,57.858058103,77.369791667,20.343140747,6.613115641,42.673044097,1.346318359,10.276113959,1.672546387,0.626588542,1.499368512,0
2011-02-08,95.774436133,1.989969912,4.595698323,100.216633030,79.542333071,23.888781588,83.864932454,35.034165955,77.109931234,56.171823073,63.568956197,21.323790302,2.907416585,68.157524219,1.715548503,9.904607340,2.999371745,7.417679036,3.142554048,0
2011-02-09,94.729499321,11.192397847,0,101.337427300,81.935062808,22.788188187,74.323079156,13.416232808,73.277352498,43.496931528,80.461543579,21.718062885,4.458796387,69.549111675,4.360514323,10.311823324,3.068024631,8.947050781,2.495374911,0
2011-02-10,96.761874838,13.998992725,0,104.761271701,82.767916018,34.558817481,85.611340332,18.176084188,75.573264160,56.516233159,60.759765676,22.051970360,9.518423665,55.214924566,17.362973633,9.358415120,2.630512967,7.241608073,2.462104315,0
