title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-02-01,83.560932735,85.819071804,95.914599716,66.514937866,69.867226054,71.292723130,57.405846698,56.698766739,19.864971924,4.764680176,81.571027065,1.278483780,0
2013-02-02,54.121390163,70.307213497,98.353398866,56.446219774,64.765588989,54.242612847,52.434919786,55.982703784,25.541973877,0.000863444,78.605706949,3.713306905,0
2013-02-03,51.424494381,97.654620368,97.029072605,45.013097386,80.720341390,75.966071259,35.566011009,49.693235466,24.379033203,0.021158854,68.388688012,0.085785357,0
2013-02-04,59.638404856,79.516319444,97.655538671,80.799665560,73.747092997,34.430954565,43.036031743,37.159978828,9.006419271,2.222950033,49.062278269,0.316866399,0
2013-02-05,77.808625900,99.122209382,94.619159067,83.982007020,77.125072123,18.678214272,45.304441980,37.086730590,40.194678548,2.069159749,22.640370942,1.019207262,0
2013-02-06,82.470667415,92.836152111,93.207654759,68.126583420,72.177734172,40.077480765,56.908560194,26.220864945,84.893735758,1.988552043,15.669539911,1.874385565,0
2013-02-07,89.592587139,98.808028087,95.948960286,74.611877510,70.294591980,37.241902521,59.740499580,50.651803786,56.617585856,6.502812500,13.464502357,1.460631280,0
2013-02-08,98.182026140,91.179022867,96.843886165,80.549621329,72.950701701,36.705970447,60.548225324,61.358936987,27.141394043,6.231553752,13.092185032,0.416603185,0
2013-02-09,91.685251954,86.383281145,96.614281551,83.482185551,66.975084330,9.661800327,48.350311813,61.270958322,10.857557780,13.342718913,12.993074372,0.085383601,0
2013-02-10,37.599689119,49.469525731,95.434646319,78.136903396,60.482882996,0.033371903,46.195611681,59.466605951,16.159224447,32.094206746,12.989611565,0.085839613,0
2013-02-11,45.844661745,41.802109015,96.391528501,73.698609226,68.398636576,36.139296678,23.237102159,60.462041223,32.641391602,18.043760376,3.742999099,0.218973869,0
2013-02-12,124.453236205,106.965233887,95.692361008,57.152014459,72.714350789,41.630239307,13.729894893,53.414128173,51.298059489,16.418176270,0,0.081610476,0
2013-02-13,111.369545832,93.693351941,85.734865138,67.313211548,68.632323608,62.826827060,56.928668715,60.081164264,63.472240397,28.177386678,0,0.452483036,0
