title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-08-01,0,101.484534670,94.774008979,68.287864767,78.006428876,41.165280619,25.326906539,43.934751282,0.000000000,0
2015-08-02,0,100.212125432,97.650212750,83.262736098,53.199021229,30.768010101,28.735586979,31.948237813,0.000000000,0
2015-08-03,0,97.303613228,97.776255317,61.552016491,61.789310492,35.420471907,46.181217708,28.199254761,0.000000000,0
2015-08-04,0,98.104143574,98.018401715,92.621772868,60.264195924,57.267150568,39.532179109,32.283383993,0.000000000,0
2015-08-05,0,100.616374936,93.805475333,70.709206884,52.619555953,71.927504104,33.002710243,37.243033040,0.000000000,0
2015-08-06,0,98.586207073,91.789373422,96.785974129,64.445078817,58.685150253,30.136258970,41.803172913,0.000000000,0
2015-08-07,0,98.829556221,95.796975627,80.091077452,61.766531603,70.832070707,12.091637847,42.226811117,0.000000000,0
2015-08-08,0,101.179227523,92.835008373,64.530356566,72.740822767,56.618142992,17.512184954,42.088600464,0.000000000,0
2015-08-09,0,99.905245314,97.863303580,94.227362993,71.917261881,51.492003472,67.922186921,53.183666077,0.000000000,0
2015-08-10,0,93.704806010,95.998912146,90.033402554,65.477967165,72.355814078,26.592367535,54.901222229,0.000000000,0
2015-08-11,0,93.886164170,97.544792716,71.431877842,57.098835330,90.170208018,31.975061053,58.458672384,0.000000000,0
2015-08-12,0,99.779016193,93.994593171,73.706936471,51.366099261,59.147394886,38.567129630,52.151661174,0.000000000,0
2015-08-13,0,97.849967939,97.529965603,96.000535761,47.787574910,55.026339646,66.849636574,18.480870972,0.000000000,0
2015-08-14,0,96.515584456,97.375183047,65.971907852,65.991341852,37.372860480,93.393791898,2.561342672,0.000000000,0
2015-08-15,0,82.883626025,70.078897863,59.065661709,59.994066608,36.281775884,96.158494039,1.199838155,0.000000000,0
2015-08-16,0,77.696700651,44.689703261,67.248601419,58.219188418,1.584333018,56.026054456,0,0.000000000,0
2015-08-17,0,88.784416207,55.786923100,71.107009768,67.175561886,22.633294823,64.441817766,0,0.000000000,0
2015-08-18,0,93.988301604,17.205769206,63.712700408,59.476673589,15.637345960,51.531060417,0,0.000000000,0
2015-08-19,0,99.421770276,90.174870958,78.178252131,79.259988186,20.428135732,45.127903067,0,0.000000000,0
2015-08-20,0,103.745237257,96.871630493,69.025076115,79.502248009,14.118265783,35.616885185,0,0.000000000,0
2015-08-21,0,107.520409994,94.492616084,55.278756578,75.894522032,9.805011364,39.133484375,0,0.000000000,0
2015-08-22,0,98.984285212,91.264381456,21.905194505,69.670152005,10.097467487,54.187689699,0,0.000000000,0
2015-08-23,0,95.561421088,95.765966010,8.007621624,63.723084685,0.045840278,62.307745023,0,0.000000000,0
2015-08-24,0,95.492590530,97.726968958,23.547000812,61.460712270,7.454790720,45.286300810,0,0.000000000,0
2015-08-25,0,100.392122978,94.825196637,25.972034024,66.253202141,11.333105114,80.563998206,0,0.000000000,0
2015-08-26,0,106.119701970,91.862680831,35.937666937,64.867832166,8.533371843,33.533233681,0,0.000000000,0
2015-08-27,0,104.256416944,91.610869028,77.984935160,73.141608945,13.026918561,60.146614641,0,0.000000000,0
2015-08-28,0,105.161016829,89.832814761,76.143710714,73.089750969,27.930134785,30.584227199,0,0.000000000,0.000000000
2015-08-29,0,104.028514757,95.099470152,45.470881532,53.051405949,13.479113636,33.536474306,0,0.000000000,0
