Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%)
2012-02-01,53.557285351,80.949381385,63.925638996,37.403003845,88.971434442,34.450678775,26.144728009,0,70.377982992,31.606472371,6.004160774,0.006448899,0.468893229,0,0.047055664
2012-02-02,76.498134140,39.435433692,64.745359719,71.800238444,85.237114761,42.507423246,37.579694010,0,56.305998535,13.708645223,8.314132262,1.572785055,3.085937500,0,2.087094727
2012-02-03,83.637739232,90.166395030,33.083568186,54.803955282,89.710305262,37.617472238,26.189177517,0,44.275236410,12.527221680,11.283019732,4.790419162,1.113860677,0,2.114293620
2012-02-04,84.927039529,91.604307139,46.641041924,34.688919576,91.411143756,29.273027366,30.699048756,0,47.147289225,8.960390422,8.005675744,3.253659322,0,0,0
2012-02-05,54.311127933,94.408517817,86.040474194,59.154549866,79.767007610,26.818740318,28.242075376,0,7.537163493,26.520110067,15.946192470,3.887403942,0.337382813,0,0
2012-02-06,19.484356227,95.055557427,105.129244323,69.143762512,82.337015252,29.186325705,41.667304688,0,47.671829834,35.446614380,1.219449405,4.943001263,2.660735677,0,0
2012-02-07,44.596660455,83.590551263,41.940706426,64.413135173,90.380377492,30.648796484,38.430562789,0,50.499168294,33.351512451,0.190115982,4.455659852,3.211516927,0,2.286748047
2012-02-08,88.943507840,73.927748529,70.281400852,39.356278381,89.494896918,33.862935272,51.311887297,0,51.403618978,11.134701945,0.081713631,5.354078328,2.721933594,0,0.279387207
2012-02-09,85.224904238,89.584622983,93.587943177,58.895362854,86.615601936,33.477226460,43.702429832,0,65.411992188,16.603524373,0.130930804,5.333976110,0.620227865,0,0.229925944
2012-02-10,123.982842985,93.522344813,74.229315358,83.049787089,89.655528363,34.850030737,52.515385561,0,77.570086263,23.377092896,0.075415893,5.192250889,3.694156901,0,0
2012-02-11,128.275613437,96.736096208,68.164812071,67.324435425,92.161533964,35.716494378,55.040000000,0,56.887314860,31.958613485,0.000671310,5.101858782,4.050055339,0,0
2012-02-12,110.486618338,90.796519452,90.403009826,69.282415670,87.574073840,32.216540395,33.898763021,0,82.711714681,23.615347087,0.000028095,6.586826347,4.782555339,0,3.672743327
2012-02-13,132.791386501,87.984517945,81.798377086,69.317292175,63.046993491,28.211901246,35.253693576,0,76.509178874,22.253811442,0.048702054,5.967963370,10.243632813,0,6.052246094
2012-02-14,134.874361187,93.431721083,87.547093347,78.114632568,36.973933357,31.899777786,40.258619068,0,76.680021159,14.381193848,0.112425595,4.790419162,6.091871745,0,8.693431803
2012-02-15,134.240889550,94.732961826,41.008800419,84.299474691,78.064828625,34.186040675,30.160614149,0,87.940340169,13.092484131,0.120124018,17.563822121,1.453125000,0,0.265860189
2012-02-16,133.915215889,95.267132903,51.561562151,86.352480265,77.348947410,30.102217945,32.294011863,0,51.251237793,25.335734456,0.343763542,29.119115909,3.531682943,0,0
2012-02-17,129.775886772,95.234350756,37.733408001,87.360134277,44.141601285,26.702770390,27.881498843,0,59.588993327,22.403397013,0.686004643,15.331316508,3.079427083,0,0
2012-02-18,114.189466789,96.868268126,41.580095505,81.557348429,30.700223233,23.766761910,31.492982494,0,51.326081136,12.520959880,10.127245387,28.742514970,0,0,0
2012-02-19,86.167918343,93.187073487,85.160332896,89.834176941,46.850719732,21.624672044,25.342978877,0,14.062635498,29.560980835,0.021631964,27.366530767,5.114000651,0,0.035590007
2012-02-20,122.098331978,93.986206715,81.752984861,89.472421061,77.257261735,21.643820455,26.220928819,0,41.101109619,8.179709880,0.166250923,23.723334581,10.929394531,0,0
2012-02-21,122.257314000,94.728063893,102.710892626,93.429318441,77.148253964,23.556485279,19.398574942,0,61.984401855,8.590046997,0.280839851,28.742709035,1.478587240,0,0
2012-02-22,124.473724842,89.339169712,98.081992721,90.568693848,88.964918104,20.192396650,32.990248843,0,57.394097087,11.673877767,0.201462054,5.154922811,5.619501953,0,0
2012-02-23,125.009638861,58.621926626,127.043780529,89.104566345,85.623625032,20.377884122,42.169921875,0,49.323503825,35.608018595,0.016975179,7.002117328,8.182871094,0,0
2012-02-24,108.014620536,99.512427005,75.821192188,85.674022827,82.350867348,20.209156518,24.349801794,0,10.183258870,44.445158895,0.149792649,12.517035382,8.828414714,0,0
2012-02-25,113.294802403,99.786372480,110.300635225,87.492164510,75.074310796,21.130708520,10.448885272,0,0,50.357593587,0.031893185,14.122865441,0,0,0
2012-02-26,120.469201366,95.558765154,103.472130129,61.409087219,56.176634326,27.217467339,15.616900318,0,0,18.614659831,0.000870060,28.742514970,0,0,0
2012-02-27,122.792275913,96.514864104,102.140057362,77.234929097,83.562581466,22.085535181,27.318028791,0,80.829616699,22.524183146,0.000081339,23.040117733,1.146412760,0,0
2012-02-28,120.005817407,95.957028892,26.852599707,89.325548299,71.622150277,34.041191676,38.158962674,0,83.088369548,20.639173381,0.187740327,2.694839462,5.954573568,0,0
