Day,[NICS DARTER] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%)
2014-02-01,0,110.772902084,82.804501912,76.162382460,97.048067491,37.469667206,61.369696757,97.688550141,0,1.885819092,3.697323495,0
2014-02-02,0,99.721008782,85.732231218,77.315721056,76.917881155,43.343279880,57.257563883,96.366180548,0,5.983674316,5.230567419,0
2014-02-03,0,125.109941647,91.346123599,96.726275549,89.360826231,62.128305600,61.566668498,87.522416653,0,2.630570068,5.229116030,0
2014-02-04,0,119.169761067,96.145639861,95.379612341,97.103153508,39.527862974,68.068192240,95.782933961,0,8.802648315,3.411532986,0
2014-02-05,0,124.171713675,88.874056628,87.172417924,97.129020182,45.343848806,69.424148865,95.507500664,0,16.783193970,3.281911169,0
2014-02-06,0,122.487421921,86.449090306,85.099606215,97.221143959,58.196656147,71.530277507,97.023512429,0,15.571442668,2.429967014,0
2014-02-07,0,108.859487066,96.945076863,93.558720925,91.987825324,77.892366169,66.396240133,95.785546366,0,16.895742798,2.812218171,0
2014-02-08,0,97.682450179,97.572616377,87.217740727,94.450739623,88.091326065,52.654586080,94.150823295,0,18.974297485,3.309343461,0
2014-02-09,0,94.186302175,92.587330219,80.141030075,57.606214193,39.704992745,51.259123739,88.835290518,0,8.243498535,3.003329861,0
2014-02-10,0,92.020301362,100.735156438,78.657301102,6.695211687,45.332403622,57.791834005,90.323078567,0,8.978276164,1.751572338,0
2014-02-11,0,105.440380429,98.414220004,80.962292815,0.322438842,69.099259026,57.047512512,96.471674624,0,6.227276611,0,0
2014-02-12,0,74.033543113,101.753355305,92.533493264,46.560430871,59.173315016,54.870166524,92.803005893,0,10.436582235,0.717493924,0.016384684
2014-02-13,0,87.504886257,102.136320954,93.893368996,50.913282236,75.907104308,63.059366964,95.654340422,0,1.994877319,1.370505787,0.330539144
2014-02-14,0,90.111178167,100.330838913,93.122344406,54.476417791,56.800945482,54.569815267,94.752560255,0,3.380375570,2.742488715,0.087031250
2014-02-15,0,85.711276972,101.530472692,94.118611599,21.180875651,42.840489366,83.199711304,95.070401723,0,10.450218099,2.216114873,0.020082601
2014-02-16,0,115.062279427,98.857019611,94.034214075,24.862285945,32.279392278,71.862160034,97.156060046,0,4.574209798,2.062268808,0.009286296
2014-02-17,0,107.006359196,91.973568272,85.779178354,35.741100162,30.996046117,73.683910421,96.036405065,0,1.787435099,3.623461806,0.191117350
2014-02-18,0,93.286987778,97.745728769,84.442864231,74.237636719,9.531538187,79.738430583,97.196719651,0,5.763830160,3.319121528,0.062608236
2014-02-19,0,106.021056949,100.342937249,89.751650942,85.026422723,67.044465456,74.352181600,95.772458856,0,5.405413615,2.086870660,0.056531982
2014-02-20,0,119.174763064,99.399026892,85.835753472,89.425864800,84.690672633,55.646547343,96.614385249,0,5.886189982,2.083297164,0.011610107
2014-02-21,0,104.438927986,99.697220007,91.969417720,93.408937717,81.838926177,55.503834025,95.782477535,0,7.863425700,2.101367188,0.080231934
2014-02-22,0,98.902021387,100.365136644,93.904757057,94.622277659,55.904384048,76.876722616,94.178864833,0,4.273586629,2.112584201,0.391348470
2014-02-23,0,97.677820377,97.942734052,73.932184380,60.139340574,26.095834207,61.449214579,88.705281373,0,13.641461385,2.070785012,0.039849040
2014-02-24,0,110.323533491,96.730954253,51.985630131,62.981692215,43.147260843,60.937671509,92.765817792,0,3.595906372,1.647084780,0.114149170
2014-02-25,0,121.814731282,93.483002631,13.709688241,64.376994654,72.875064736,59.341105448,92.255059347,0,0.067979736,2.090625000,0.043664958
2014-02-26,0,122.412684864,97.850024179,84.661757487,55.134210661,77.384256194,50.678579915,94.718221999,0,8.095748291,2.906992477,0
2014-02-27,0,118.778909006,98.801128998,88.138553177,81.019518032,59.299118841,48.402510783,94.295640682,0,10.512469279,4.140253472,0
2014-02-28,0,118.425345672,105.067082485,87.054694101,56.554687500,59.052089632,34.674135437,92.308336755,0,13.041919556,4.205000868,0
2014-03-01,0,118.935237372,110.480401656,78.653167395,65.953050327,51.185023099,40.632857259,96.684815018,0,2.205240885,2.252946181,0
2014-03-02,0,119.115633669,108.811177717,85.892330413,71.073083373,0.104381290,44.926161194,97.962007449,0,5.433602498,2.091126736,0
2014-03-03,0,116.940366248,112.277320997,94.658434801,80.500788944,0,48.160174255,96.163592038,0,8.908126221,2.936612558,0.016095378
2014-03-04,0,116.886573500,112.391074084,93.480418963,85.103399424,0.687526299,63.936162008,96.425951071,0,9.178019206,2.546238715,0.035029704
2014-03-05,0,112.615984566,114.197877957,90.771356364,93.691656211,12.339133995,64.116944377,73.248187358,0,18.525906169,2.083316551,0
