Day,[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2014-08-01,125.604936607,104.529948212,168.459052680,86.634524079,47.661401318,20.272008667,51.210735795,15.438430990,0,1.759587095,0,0.000000000
2014-08-02,126.338739218,100.789803325,184.353536775,76.151558047,41.446557568,20.312500000,58.094224116,31.075077718,0,1.368858218,0,0.000000000
2014-08-03,123.785621854,77.500235334,81.877317996,61.615726065,26.112684955,11.973569641,42.275130051,32.101029053,0,0.777083044,0,0.000000000
2014-08-04,111.993632881,90.126416745,66.250658631,40.706476445,11.555731041,38.561916911,24.124561869,20.328549805,0,1.376020255,0,0.000000000
2014-08-05,110.838983617,107.714793677,39.742940406,13.473235736,12.144846808,42.532967936,14.343119003,0.079074300,0,0.662152778,0,0.000000000
2014-08-06,96.579885166,103.887090487,62.316800328,75.978266638,34.841601563,40.860093994,21.426188131,5.223415527,0,0.483907407,0,0.000000000
2014-08-07,122.828316696,103.359262004,133.660112332,78.676145128,43.655688822,37.034559428,44.140642361,5.986500244,0,2.502338831,0,0.000000000
2014-08-08,116.415480094,104.758983237,70.756781336,80.939328568,40.297273812,38.526457520,42.247597538,17.086570231,0,4.137012731,0,0.000000000
2014-08-09,120.472120777,101.116258363,124.701484879,85.007880434,55.461489998,40.288813883,39.154759470,15.170211182,0,1.868786458,0,0.000000000
2014-08-10,94.109440276,95.359444853,121.932918285,61.147251555,40.424777363,51.194512431,58.790719697,21.913076579,0,1.023502315,0,0.000000000
2014-08-11,88.925978802,99.992342895,81.359426112,71.652072076,72.159959162,66.392075907,60.770079861,30.508382568,0,0.554812789,0,0.000000000
2014-08-12,86.259321206,100.501101673,37.310341923,81.320473877,86.564275568,75.430546468,50.836454545,27.502332764,0,1.044138310,0,0.000000000
2014-08-13,95.325078251,99.741775216,19.567896956,83.243968036,92.973585957,72.696795349,58.945180871,2.597258301,0,0.596995660,0,0.000000000
2014-08-14,91.535964541,101.168451498,92.170244410,80.840058558,93.354635811,67.270223083,60.541018308,0.909233398,0,0.294697627,0,0.000000000
2014-08-15,74.862294354,106.380607730,53.115564896,81.358205716,91.857814078,61.670080465,73.493108270,0.000524089,0,0.675390336,0,0.000000000
2014-08-16,83.756188570,105.579021100,11.289709981,78.486308033,96.351413254,61.213925883,47.144833965,0.514178467,0,0.624949363,0,0.000000000
2014-08-17,66.713221313,97.535394312,14.131173925,55.296481771,96.062583452,47.736224365,42.947005051,0.779504801,0,0.624978299,0,0.000000000
2014-08-18,88.493839217,94.082023182,66.391296544,67.556533515,82.755940459,51.297015279,78.397570076,1.006175944,0,0.468385995,0,0.000000000
2014-08-19,108.901422876,98.045008355,71.905313147,74.333041309,33.107766039,44.975545044,94.896253788,1.751411133,0,0.284136285,0,0.000000000
2014-08-20,114.431439170,97.511360149,61.492633482,88.118140354,65.583732343,48.229885864,81.938148674,1.757315267,0,0,0,0.000000000
2014-08-21,108.171557574,96.969348372,50.226477829,79.595387813,93.412615807,58.345879211,73.405917298,8.886465251,0,0.130210648,0,0.000000000
2014-08-22,116.237602421,103.988221004,52.503715326,76.739399428,94.242134825,68.825023193,100.311395518,7.909659017,0,0.208333333,0,0.000000000
2014-08-23,104.140532970,99.483714615,37.945764884,76.345772506,95.673830394,70.304362386,84.198249053,6.588903402,0,0.432510995,0,0.000000000
2014-08-24,119.007293045,74.578011067,44.170759201,62.265124249,94.507347992,56.860134583,65.159757576,8.314127604,0,0.409519676,0,0.000000000
2014-08-25,124.457648878,94.242580285,23.550318363,68.312343732,94.304380524,54.356960653,64.122649937,0.107241211,0,0.730603877,0,0.000000000
2014-08-26,124.743051479,103.279029952,10.663523898,81.413003563,92.634947325,53.997431946,58.895639836,0.001048991,0,0.811962384,0,0.000000000
2014-08-27,94.663422079,104.261067358,54.188628676,88.877207931,80.509552951,62.435429891,83.642834596,0.000614827,0,0.616854745,0,0.000000000
2014-08-28,124.196137727,107.040707328,22.416692349,87.674570218,94.297361604,54.869990540,86.161142677,0.000795898,0,0.030598958,0,0.000000000
2014-08-29,128.725443156,105.070590092,108.349310148,87.100695869,92.546339962,50.193544718,98.731306187,6.781575521,0,0,0,0.000000000
2014-08-30,119.056175710,104.255065647,77.437266524,65.277201086,69.145587713,42.192934469,102.682029040,21.898365072,0,0,0,0.000000000
2014-08-31,116.760720199,102.358566479,89.446999058,61.049345337,12.388752959,46.133088277,88.750754104,17.514576416,0,0,0,0.000000000
2014-09-01,129.752958967,102.986884594,81.672418530,69.559073504,23.226479246,58.401127726,89.460787879,0.581994629,0,0,0,0.000000000
2014-09-02,115.644108762,99.330008189,56.597209513,77.302372111,8.072166982,24.404441630,48.833666667,0.011429443,0,0,0,0.000000000
2014-09-03,128.488693921,103.377046987,45.775526912,85.986187930,66.265401476,68.824124044,55.653374053,0.009005941,0,0,0,0.000000000
2014-09-04,131.921781305,104.616402621,49.516302803,79.858780450,95.238478535,71.001261597,27.319304609,2.999529622,0,0,0,0.000000000
2014-09-05,134.260890997,104.536242184,55.959030308,89.410456466,79.216487729,62.503543905,46.024831755,0.000434163,0,0,0,0.000000000
2014-09-06,133.483346997,103.986915694,98.632964362,77.187081416,22.739245679,58.542733358,66.564500000,2.161883138,0,0,0,0.000000000
2014-09-07,78.503275991,107.429147586,61.146185004,51.324914781,51.692699751,68.352805684,101.653093119,0.002459310,0,0,0,0.000000000
2014-09-08,101.101122444,106.049853157,65.408264309,38.402508464,78.317778567,71.701773071,97.331281250,1.043258057,0,0,0,0.000000000
2014-09-09,116.585581551,101.842824106,99.539639625,15.128740460,46.961893150,70.633598836,72.105254104,0.001121419,0,0,0,0.000000000
2014-09-10,121.655699255,101.292747850,91.048847800,86.091468348,47.833706104,64.340639242,58.592153725,0.846507568,0,0,0,0.000000000
2014-09-11,125.240408158,107.014104882,117.698776689,74.790422074,92.179051748,72.054560954,47.859813131,0.000831706,0,0,0,0.000000000
2014-09-12,115.222241627,106.816814770,140.294656135,84.154050596,58.184738005,73.090191752,26.778671717,2.311559652,0,0,0,0.000000000
2014-09-13,121.072367874,107.345896809,160.642265229,71.560756673,17.963261324,72.041833903,5.490442551,12.225251465,0,0,0,0.000000000
2014-09-14,117.469464768,105.964326789,182.152199046,66.039811781,50.495813210,71.335354411,2.409932765,15.609519857,0,0,0,0.000000000
2014-09-15,75.408984719,86.833369804,181.403445989,70.729486975,94.140173414,70.984058736,11.679450758,0.000831706,0,0,0,0.000000000
2014-09-16,53.194273359,51.114835949,99.740695931,78.003180429,83.705036498,70.361698608,15.330720328,3.098533529,0,0,0,0.000000000
2014-09-17,126.725131299,100.534184620,185.661459412,72.964183246,95.157030461,70.438517863,1.334560922,0.000759684,0,0,0,0.000000000
2014-09-18,126.835711358,102.847365739,151.137098368,71.774713863,91.876959635,67.670306498,8.975483586,2.998282064,0,0,0,0.000000000
2014-09-19,119.991111387,101.688195376,157.617463959,88.916068495,67.571829624,65.567934265,20.747983270,1.900101318,0,0,0,0.000000000
2014-09-20,121.419628332,106.379246089,102.284306551,93.947978579,86.508145715,67.810574239,6.870493371,2.158555501,0,0,0,0.000000000
2014-09-21,120.909717802,104.413394471,174.660671868,75.369492671,75.562692945,68.943693949,10.886749369,0.000795492,0,0,0,0.000000000
2014-09-22,121.425986035,105.856443998,178.952718944,76.589202989,83.709972972,67.799899801,8.255120896,0.001048991,0,0,0,0.000000000
2014-09-23,119.613715450,106.914661488,139.612374072,89.746199418,75.048032473,67.343551229,9.050452336,0.000578613,0,0,0,0.000000000
2014-09-24,122.539220495,106.607055607,187.916698679,81.539204187,72.552771761,60.710435588,1.248298927,0.000289307,0,0,0,0.000000000
2014-09-25,118.171377648,105.209212702,126.343903372,91.954313002,56.265852667,66.214314575,5.301803346,0.000723470,0,0,0,0.000000000
2014-09-26,110.646891477,104.090381282,85.299001209,87.760515087,66.322074949,67.679959106,2.511872475,0.000723470,0,0,0,0.000000000
2014-09-27,82.565636712,101.819017884,132.834609015,87.320142664,63.189656921,63.648193461,1.185395518,0.000542399,0,0,0,0.000000000
2014-09-28,111.427163824,100.732762339,101.695461268,74.223993476,57.672835385,66.721408183,2.784283460,0.000795898,0,0,0,0.000000000
2014-09-29,117.344229095,97.884469620,93.697101318,57.095426193,52.636113972,64.504146016,6.039264836,0.000832113,0,0,0,0.000000000
2014-09-30,110.551594421,96.730915110,138.483626878,16.856603425,14.007141730,56.592470296,22.382033144,0.000759684,0,0,0,0.000000000
2014-10-01,119.352845695,100.737036809,40.328499043,84.869310845,20.954378946,51.585562337,18.185465593,0.066207275,0,0,0,0.000000000
2014-10-02,111.825586454,101.575298395,15.779491468,87.540920270,20.326550959,50.941903585,17.055345013,0.001338298,0,0,0,0.000000000
2014-10-03,98.233908420,96.024577440,46.914671602,91.174246496,17.139366714,50.193422750,36.529321338,7.280743815,3.467393229,0,0,0.000000000
2014-10-04,100.877426077,94.880855730,27.059788717,79.201974243,10.908148378,51.827573547,55.605323864,27.648265381,0,0,0,0.000000000
2014-10-05,71.160512601,86.087009787,52.590220203,76.622275481,14.841255327,56.373083089,55.674504735,29.582917887,0,0,0,0.000000000
2014-10-06,100.296638237,80.968650129,103.631464880,73.979097548,24.734243411,46.004340413,73.300276515,8.038538411,5.407780382,0,0,0.000000000
2014-10-07,114.509708501,89.656165960,136.263438147,77.917011000,25.402045455,27.124896037,71.623474116,1.650336100,0,0,0,0.000000000
2014-10-08,102.073554791,96.512832196,110.146607102,71.684206416,40.031833077,33.360043844,58.839435606,0,3.643827141,0,0,0.000000000
