Day,[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2015-02-01,94.701577513,82.843134336,0,25.780927033,12.664264520,93.047323151,53.979112549,6.297405498,18.493380941,0.000000000,0.000000000
2015-02-02,96.222734356,78.309615338,0,68.784105159,13.716294823,97.186658296,50.266321615,6.181224306,0.006700439,0.000000000,0.000000000
2015-02-03,99.995218524,88.384470459,0,63.674177062,4.286020518,106.157510288,56.916535441,5.953211806,0.000036214,0.000000000,0.000000000
2015-02-04,100.161470522,90.743750836,0,63.960360267,13.911493056,110.191532956,62.003296000,17.942782292,0.001030680,0.000000000,0.000000000
2015-02-05,95.594564775,88.920784107,0,126.459222167,29.373649621,110.446278384,61.717868551,19.183985938,3.116210938,0.000000000,0.000000000
2015-02-06,95.100720855,87.068717615,0,75.463324305,34.742652146,114.248731158,50.323382365,9.217666493,3.498046875,0.000000000,0.000000000
2015-02-07,91.297112568,87.660035102,0,26.062608699,25.528724116,112.274225582,35.557603658,7.775977373,26.004231771,0.000000000,0.000000000
2015-02-08,77.686006419,90.769431568,0,14.548738993,15.647814710,111.340894373,29.103714600,6.907417072,32.842212728,0.000000000,0.000000000
2015-02-09,84.511660533,64.007809462,0,62.315537523,23.345801136,108.845005695,42.973433634,10.316075174,52.932996826,0.000000000,0.000000000
2015-02-10,92.215245546,18.416451018,0,36.815503856,43.924627841,111.372300531,41.466516927,9.671251331,56.355025635,0.000000000,0.000000000
2015-02-11,78.313260492,89.614975437,0,59.485366202,42.047261048,93.775802435,42.432192383,35.455690625,33.503318685,0.000000000,0.000000000
2015-02-12,92.609065494,88.958385751,0,24.612639416,23.963488952,103.537876215,46.189457601,56.473472859,71.398953044,0.000000000,0.000000000
2015-02-13,91.577608002,79.903927151,0,17.942781854,41.860444760,105.070019244,45.391262716,63.544296528,45.146231283,0.000000000,0.000000000
2015-02-14,97.472762438,78.165601472,0,9.816394272,25.589366162,107.396803925,40.126559753,28.356192245,8.576551921,0.000000000,0.000000000
2015-02-15,97.944584900,88.617537358,0,7.379898171,40.613916667,88.748047219,36.655051982,16.905941435,47.625469971,0.000000000,0.000000000
2015-02-16,81.393671713,91.840033438,0,17.760058594,39.728588068,99.053214561,40.993390096,36.896267245,81.764476318,0.000000000,0.000000000
2015-02-17,89.387396573,96.980379752,0,15.067810666,41.721030303,112.641574350,50.197401021,25.346550347,20.550301514,0.000000000,0.000000000
2015-02-18,98.454038042,91.998397899,0,19.151156732,31.837437500,107.712426284,45.505759786,18.770357639,30.583785400,0.000000000,0.000000000
2015-02-19,92.827225891,87.882035079,0,12.814239288,32.924627841,101.163413468,35.025345256,14.014203877,63.216408285,0.000000000,0.000000000
2015-02-20,86.069187803,91.858070977,0,11.754808644,25.551310922,70.606936751,46.091353963,22.756034549,79.863841146,0.000000000,0
2015-02-21,87.697495740,93.652567383,0,11.199751921,15.885820707,62.421824421,57.725599264,23.033561632,79.919813232,0.000000000,0
2015-02-22,90.456887910,97.167711977,0,19.922086031,7.314358902,63.896736869,53.359614868,27.250453356,83.234663900,0.000000000,0
2015-02-23,98.055914745,94.837735343,0,41.304858641,7.131944444,76.953124483,59.073590088,14.547350926,64.216498617,0.000000000,0
2015-02-24,103.050730304,93.914062871,0,43.829154545,10.066744634,97.377104288,57.260700887,24.718971759,40.635597331,0.000000000,0
2015-02-25,97.806631456,92.507662783,0,51.763258985,17.415053662,85.562554828,58.558512472,23.815155613,39.461470947,0.000000000,0.000000000
2015-02-26,71.369106242,83.930948161,0,27.543946392,23.571180556,83.180766139,55.396041870,19.612435706,13.024558512,0.000000000,0.000000000
2015-02-27,86.895341629,92.962459418,0,19.768460916,27.874263258,88.758984777,57.516434428,11.272222164,15.039849040,0.000000000,0
2015-02-28,86.043488034,98.615504847,0,25.357702794,22.600115846,53.567539660,52.668154297,12.858413773,15.745749919,0.000000000,0
2015-03-01,73.433762723,98.649465902,0,19.320323650,16.863197601,58.583530311,54.638617554,10.048305613,12.217465820,0.000000000,0
2015-03-02,78.355262521,93.589426206,0,17.856746806,17.380313763,59.433761218,52.364913432,12.488683102,9.338261719,0.000000000,0.000000000
2015-03-03,73.599765163,92.147494674,0,23.703841146,13.883066919,69.639246388,41.951591797,30.707619676,0.011103516,0.000000000,0.000000000
2015-03-04,104.968315595,88.968047092,0,15.800913221,26.630313131,68.159666361,41.234040324,31.437310301,11.056857503,0.000000000,0.000000000
2015-03-05,104.776856611,90.749843063,0,19.609784221,31.077966540,87.351432579,43.462976685,12.469235475,5.488787435,0.000000000,0.000000000
2015-03-06,84.782636847,94.056020372,0,26.140819989,21.730342172,57.747369539,41.454372457,5.105674479,33.753110352,0.000000000,0.000000000
2015-03-07,55.936406699,96.827742386,0,24.949022898,33.800488005,57.958191413,41.198730367,18.704070255,42.123254801,0.000000000,0.000000000
2015-03-08,39.296393680,97.355548597,0,6.042680947,13.131825099,23.339830930,28.753090077,2.791995411,45.271172724,0.000000000,0.000000000
2015-03-09,89.658745648,86.523244448,0,58.091831729,22.145570391,43.714526841,28.108375956,8.415374132,76.170301514,0.000000000,0.000000000
2015-03-10,95.901279251,82.899436546,0,97.454659660,34.494283144,75.556066514,23.775286357,14.047997164,60.103497314,0.000000000,0.000000000
2015-03-11,97.881796833,97.237550004,0,27.769909394,36.140186869,83.992810066,24.118367615,14.083992477,61.731210124,0.000000000,0.000000000
2015-03-12,92.904345024,94.310089744,0,30.225397028,130.721889205,118.692584498,29.580145671,6.627610590,23.270299886,0.000000000,0.000000000
2015-03-13,104.309849907,81.881675071,0,18.456120871,146.260977588,123.379291938,32.497784627,10.841550868,33.627775879,0.000000000,0.000000000
2015-03-14,96.829543622,87.712259874,0,37.156684867,117.835279987,84.903526131,32.734836019,0.971550347,10.690104167,0.000000000,0.000000000
2015-03-15,87.673873726,88.406984465,0,17.454643726,125.002385101,55.311040151,29.321302389,0.471505324,0.020869548,0.000000000,0.000000000
2015-03-16,86.731982003,90.064674158,0,6.443159135,132.536879104,59.294588431,35.244583537,2.108384838,0.001772461,0.000000000,0.000000000
2015-03-17,90.305581803,95.717218072,0,28.020542343,123.996334912,89.462827243,47.799768575,9.831555382,0.001518962,0.000000000,0.000000000
2015-03-18,104.337393059,94.483284144,0,23.501281941,103.532950442,114.173545548,43.649083862,12.236943692,14.628662109,0.000000000,0.000000000
2015-03-19,106.692068472,95.096265223,0,32.423442392,125.113303977,109.003110303,42.637903442,10.885487269,17.536033122,0.000000000,0.000000000
2015-03-20,94.979141651,94.759781666,0,43.084428594,78.760925821,113.464386413,29.069322408,19.438721586,17.115541992,0.000000000,0.000000000
2015-03-21,90.613209732,95.889286110,0,61.016681270,20.692656250,113.587966178,18.851327311,20.447604803,13.400941976,0.000000000,0.000000000
