Day,[PSC GREENFIELD] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[PSC BRIDGES] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[PSC BRIDGES LARGE] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[Stanford XSTREAM] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2016-02-01,12225.868333333,91.123791800,84.898380027,79.305706532,0,104.920395369,37.774024937,0,23.359895833,0,0.000000000,0.000000000
2016-02-02,15905.972083333,100.873093855,90.154737978,84.545049251,0,103.378924494,58.597099116,0,21.707925174,0,0.000000000,0.000000000
2016-02-03,17507.500416667,93.463212185,89.420090020,83.043940936,0,47.706446931,70.744178346,0,16.476456308,0,0.000000000,0
2016-02-04,15339.583333333,93.542560160,92.645584179,84.360140292,0,0,53.848379735,0,7.911246181,0,0.000000000,0.000000000
2016-02-05,23163.662916667,93.327460496,90.327280088,72.010594659,0,0,44.561623106,0,16.298540394,0,0.000000000,0
2016-02-06,22773.367916667,77.226359851,93.309764870,69.165716651,0,0,24.934764836,0,17.180259838,0,0.000000000,0
2016-02-07,15020.399166667,41.723849324,94.746980930,43.256404319,0,0,24.620896465,0,9.814371123,0,0.000000000,0
2016-02-08,17241.631666667,8.727866246,92.415174479,7.969212356,0,0,48.223554924,0,12.222051678,0,0.000000000,0.000000000
2016-02-09,24904.409583333,5.679250134,94.785834400,1.254441876,0,10.545917601,81.992721591,0,11.679954282,0,0.000000000,0.000000000
2016-02-10,28016.805833333,100.728816733,93.771529220,58.908675628,0,81.657536717,106.926592487,0,14.156693634,0,0.000000000,0.000000000
2016-02-11,20841.596666667,96.467691321,98.902319797,68.102432796,0,106.153126619,124.988443497,0,8.995585822,0,0.000000000,0
2016-02-12,15324.010833333,56.855606570,92.292717584,48.296759220,0,98.274104108,75.635451389,0,14.365271296,0,0.000000000,0
2016-02-13,20675.000000000,40.238006757,96.390907719,30.662926158,0,99.245001247,55.999509785,0,15.145952141,0,0.000000000,0
2016-02-14,15658.680833333,74.542959743,95.927571804,80.696024907,0,102.463505118,49.151129419,0,12.631989525,0,0.000000000,0
2016-02-15,11762.066666667,80.396007181,92.166156440,79.534170037,0,97.579961585,69.213156250,0,8.782101910,0,0.000000000,0
2016-02-16,17303.975833333,91.043651919,94.519256443,80.378439823,0,84.801658118,70.045735164,0,12.645736863,0,0.000000000,0
2016-02-17,17482.691250000,101.824485004,89.240800008,80.688609071,0,89.740505183,55.387451705,0,13.570926620,0,0.000000000,0
2016-02-18,15835.642500000,104.039359512,93.766963632,77.915004527,0,93.049319064,62.468698232,0,12.439470833,0,0.000000000,0
2016-02-19,17699.601250000,96.014018613,94.377671721,79.418230861,0,101.170764812,52.077931187,0,22.940480266,0,0.000000000,0
2016-02-20,21222.205416667,81.437454395,94.945812093,76.736729908,0,96.074857702,65.986234533,0,27.801440336,0,0.000000000,0
2016-02-21,11974.670000000,74.589653000,91.754621808,76.120289637,0,96.422930835,52.338945076,0,22.881555382,0,0.000000000,0
2016-02-22,8592.239583333,65.117807794,95.010382360,74.300781132,0,93.973724634,51.630594697,0,5.219775463,0,0.000000000,0
2016-02-23,15380.867916667,89.169148448,90.896487006,75.988136686,0,58.625150651,65.648323864,0,11.805687442,0,0.000000000,0
2016-02-24,17423.489583333,77.548870875,89.256333342,80.082705756,0,67.062798004,52.371457071,0,11.516480150,0,0.000000000,0
2016-02-25,24319.722083333,104.873067265,87.573859461,84.384139040,0,91.903958325,32.427750000,0,26.927784201,0,0.000000000,0
2016-02-26,27465.398750000,87.425034050,87.538199255,85.143354347,0,66.885645111,44.670805240,0,16.147186632,0,0.000000000,0
2016-02-27,21278.281250000,90.007210143,85.365891064,83.324689249,0,72.744968555,22.172874369,0,12.464512558,0,0.000000000,0
2016-02-28,13980.728750000,59.220803113,86.108445543,69.598807758,0,45.920922197,30.312043876,0,7.171042188,0,0.000000000,0
2016-02-29,17286.094166667,68.061919606,85.216145431,57.761546378,0,40.031329652,45.091277778,0,8.982629167,0,0.000000000,0
2016-03-01,12228.698333333,87.760767836,88.096093248,73.846916873,0,54.827031917,29.632804293,0,7.255905845,0,0.000000000,0
2016-03-02,10965.016666667,97.019660195,89.517828252,75.853913218,0,77.871617301,49.075196338,0,20.145428356,0,0.000000000,0
2016-03-03,15539.565000000,108.623646084,88.398390914,76.372364900,0,87.688870924,43.140344381,0,14.162471007,0,0.000000000,0
2016-03-04,14253.836666667,102.268936754,85.778121184,77.778070038,0,102.660342510,18.278041035,0,11.965650752,0,0.000000000,0
2016-03-05,14399.288333333,101.881913837,94.450073174,74.945285320,0,94.977493102,5.773691604,0,10.848961574,0,0.000000000,0
2016-03-06,13916.701666667,72.318274914,94.906114371,72.653118761,0,100.922193966,11.229674874,0,26.510947164,0,0.000000000,0
2016-03-07,13633.715416667,68.433540950,92.800150513,79.939042834,0,100.489429225,26.537931818,0,27.479041262,0,0.000000000,0
2016-03-08,14530.781666667,79.664446213,92.733105306,79.510567952,0,94.800929903,37.262591856,0,16.747309086,0,0.000000000,0
2016-03-09,15037.725416667,92.040497059,93.029719844,79.353495121,0,91.496156856,25.062534722,0,21.590110532,0,0.000000000,0
2016-03-10,14988.282083333,95.598925017,95.168455774,78.482942708,0,101.368774599,54.447706439,0,24.454568692,0,0.000000000,0
2016-03-11,13315.659583333,85.259181106,95.464201339,76.628485703,0,94.170442908,78.322145518,0,38.384214236,0,0.000000000,0
2016-03-12,14029.739166667,50.579123051,91.920497342,34.562705391,0,52.930100466,50.594959280,0,56.512104514,0,0.000000000,0
2016-03-13,11365.597826087,24.930529162,92.479519994,15.907884522,0,34.560459475,29.280211792,0,67.368370954,0,0.000000000,0
2016-03-14,14162.708333333,68.313724794,93.014068703,55.110304767,0,81.764490313,86.469609217,0,29.774051331,0,0.000000000,0
2016-03-15,19600.208750000,95.486330044,85.496120488,70.520032764,0,84.175704196,82.679239899,0,15.855925174,0,0.000000000,0
2016-03-16,19806.909166667,82.012347703,86.538697609,80.886061979,0,99.892781730,51.779601957,0,15.922309028,0,0.000000000,0
2016-03-17,15195.173750000,96.054002964,95.131342837,81.810088773,0,91.437961484,45.404092803,0,40.301388947,0,0.000000000,0
2016-03-18,14101.389166667,90.649336901,90.943441370,78.238006669,0,90.505420811,42.972152146,0,64.804513889,0,0.000000000,0
2016-03-19,14037.065833333,95.914565537,79.022921084,63.154987849,0,88.215745277,52.725659091,0,63.752900058,0,0.000000000,0
2016-03-20,12729.305416667,97.047589303,83.898792358,60.106915506,0,93.960949730,48.936412563,0,62.104967130,0,0.000000000,0
2016-03-21,13344.375416667,102.177810944,89.170236789,66.089188254,0,100.222891468,44.639081439,0,67.725376042,0,0.000000000,0
2016-03-22,15999.565833333,107.363395267,87.938390250,72.959440364,0,93.902812928,67.857410985,0,65.100160706,0,0.000000000,0
2016-03-23,17272.135416667,99.959792682,81.534468795,81.912126609,0,80.630589906,45.466488005,0,48.209786748,0,0.000000000,0
2016-03-24,14487.065833333,95.361466411,84.253183521,83.064439344,0,98.983467278,63.958386364,0,33.022582292,0,0.000000000,0
2016-03-25,14370.555416667,101.184269430,79.127791630,72.821763446,0,101.574969326,57.908740215,0,48.994319039,0,0.000000000,0
2016-03-26,16387.882083333,81.476579701,80.705194661,65.661884655,0,99.109961557,87.305748737,0,53.441158738,0,0.000000000,0
2016-03-27,19897.343333333,82.016778598,80.800391642,71.445276311,0,106.363713979,9.210630682,0,19.207227315,0,0.000000000,0
2016-03-28,23068.003333333,93.060148799,80.291152696,77.741510663,0,97.431953457,82.731061237,0,10.624205787,0,0.000000000,0
2016-03-29,18563.125416667,85.672713269,79.298552477,72.311147983,0,100.639103425,103.650375000,0,18.078562153,0,0.000000000,0
2016-03-30,18263.437500000,77.223902703,69.886901584,69.386309580,0,102.057316445,79.090557765,0,21.605687384,0,0.000000000,0
2016-03-31,18312.222500000,93.357652728,84.016807545,67.496105646,0,97.502204330,101.755103220,0,19.565904688,0,0.000000000,0
2016-04-01,21836.215416667,106.384758300,88.508750041,73.316350997,0,104.926411569,15.090312816,0,25.783513368,0,0.000000000,0
2016-04-02,22817.048750000,103.646089240,83.755492445,69.311069904,0,101.009518237,5.599993056,0,37.928703704,0,0.000000000,0
2016-04-03,19129.826666667,74.640953835,84.858037946,56.292381970,0,53.938908252,3.167140152,0,24.250359954,0,0.000000000,0
2016-04-04,13975.156666667,93.004622398,81.401390286,54.237199451,0,98.375498013,15.175680240,0,33.473492188,0,0.000000000,0
