Day,[PSC BRIDGES LARGE] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[CCT LSU SUPERMIC] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job
2016-02-01,0,7.87909563,0,2.41460758,2.87237367,2.99154121,3.11198630,4.93239337,2.08287834,0,1.35654067,0.00070000
2016-02-02,0,8.31281226,0,3.76754516,3.60182190,3.96380163,4.10161990,5.06264098,2.66384659,0,1.37740481,0.00091452
2016-02-03,0,6.63490141,0,4.49092105,6.25137216,4.84651607,3.67580616,5.15485333,1.81032557,0,1.24000661,0
2016-02-04,0,6.45971049,0,4.62213125,2.64388191,3.55924485,3.09254505,4.98830785,0,0,1.24377335,0.00073333
2016-02-05,0,7.30178596,0,10.50620667,4.30035417,3.56700852,4.09832939,8.93295025,0,0,1.16285065,0
2016-02-06,0,12.16434579,0,12.23365789,6.85213985,4.92831375,4.46024221,4.42689537,0,0,0.91605716,0
2016-02-07,0,9.52116667,0,8.00915556,8.36545976,5.41659583,4.23547061,6.02919678,0,0,0.83220267,0
2016-02-08,0,8.12415920,0,4.87316829,2.54752969,4.05934795,2.58935514,2.53568495,0,0,0.67009327,0.00083333
2016-02-09,0,4.43839659,0,12.44854706,3.22833478,4.55135347,3.06291916,1.37994165,1.31158553,0,0.56381776,0.00130000
2016-02-10,0,7.96036921,0,5.24770606,11.53391385,4.03302168,3.61828956,6.18492228,2.59068750,0,0.39257345,0.00590000
2016-02-11,0,8.72391351,0,6.38371304,3.74181268,4.26136471,3.50118445,6.41634602,1.97774167,0,0.34443186,0
2016-02-12,0,4.53268504,0,3.12951316,3.67567672,3.30062688,3.17391179,2.78866668,2.04959236,0,0.64125432,0
2016-02-13,0,6.24379962,0,5.33846538,5.76508182,5.11302012,4.11561653,4.23419256,2.88538660,0,0.60060656,0
2016-02-14,0,9.97716528,0,6.74558750,4.97572903,4.51502360,2.84225578,6.36041464,3.42211524,0,0.51979734,0
2016-02-15,0,8.28528656,0,1.68809167,6.04226383,3.03872903,2.68785493,5.54068754,2.68382088,0,0.27705367,0
2016-02-16,0,6.80551795,0,4.87185385,3.56337727,2.08000106,3.24103087,6.77707992,2.87149914,0,0.77062556,0
2016-02-17,0,8.20420741,0,9.25846000,10.11128222,4.11801458,3.29562856,6.76137865,2.90943684,0,1.17322531,0
2016-02-18,0,6.98329073,0,5.70545909,4.74516835,2.86119056,4.00123648,5.42323404,3.83664833,0,0.75927743,0
2016-02-19,0,5.80317433,0,9.30250000,4.08280909,5.05368816,3.67085782,5.10163392,5.00599881,0,0.92093644,0
2016-02-20,0,8.19079906,0,12.39286429,4.33662970,3.94930214,3.39815433,8.16891191,6.11167748,0,1.32934913,0
2016-02-21,0,5.70882655,0,5.66760588,10.91602203,5.05979304,2.77182858,4.27166663,7.13334911,0,0.77997630,0
2016-02-22,0,5.17819292,0,1.12252656,4.40343438,4.86389762,3.00578426,4.49887393,5.62322619,0,0.54378224,0
2016-02-23,0,5.96270359,0,2.34757941,3.44553800,4.68161244,3.42838850,2.56564310,3.83011218,0,0.91182441,0
2016-02-24,0,5.03062545,0,5.04375000,3.20010351,4.54976723,2.61775877,1.96949908,5.24531915,0,0.84463937,0
2016-02-25,0,4.84087464,0,5.02022683,3.91757702,4.91021915,2.82521509,3.31691837,4.62916311,0,0.70144527,0
2016-02-26,0,3.37793918,0,7.79904231,4.27903169,5.34016555,2.70042921,5.50487725,2.89097357,0,0.57419609,0
2016-02-27,0,4.90457450,0,14.93888889,8.90917981,4.56127532,2.80188145,8.45214552,5.68647284,0,0.46324544,0
2016-02-28,0,7.24587081,0,5.53008750,3.84876018,6.48841622,1.94177641,6.64444279,5.33628382,0,0.51572896,0
2016-02-29,0,6.58853918,0,3.21547381,6.10858247,6.90578817,2.17464126,4.67808267,2.65774759,0,0.70523191,0
2016-03-01,0,6.95269032,0,6.52638235,5.16184742,3.38536695,2.24657293,6.13448532,3.13488771,0,0.82103281,0
2016-03-02,0,3.38077529,0,3.60009000,6.77738378,5.08850140,3.35034583,5.28352752,2.82725450,0,0.87293379,0
2016-03-03,0,7.92432641,0,3.22296852,5.85132667,6.37463958,3.15756665,4.00218226,2.98176783,0,1.21929632,0
2016-03-04,0,6.08384507,0,7.06892273,8.10017333,5.95326944,2.44208372,6.49138904,3.77256995,0,0.60076339,0
2016-03-05,0,5.70094345,0,6.05248400,4.01413824,4.14374211,2.50955956,8.01439794,2.97659751,0,1.47312350,0
2016-03-06,0,4.23548238,0,8.72826667,3.19701818,7.11512400,2.99560078,7.75915929,1.96376844,0,1.31562565,0
2016-03-07,0,5.89122838,0,5.64649091,4.92631509,4.35345977,2.95132643,5.24718471,1.85159091,0,0.79149711,0
2016-03-08,0,4.46022856,0,4.28437857,5.66072063,2.86097081,2.98518821,5.94480174,5.33450142,0,0.64311666,0
2016-03-09,0,3.29433891,0,4.18723846,3.37009766,1.73521340,2.86309845,2.98767826,4.13525548,0,2.17986615,0
2016-03-10,0,4.81765122,0,4.63910968,1.85257963,2.16251421,2.45881781,4.75089624,3.34249641,0,1.69953534,0
2016-03-11,0,5.77707844,0,5.50758947,3.98172640,2.23086966,2.62382995,5.07357331,2.48138960,0,0.93683164,0
2016-03-12,0,6.69664770,0,8.70631667,4.42433544,2.37283054,3.74844312,5.84466155,3.61980758,0,0.75631456,0
2016-03-13,0,8.22959597,0,2.20541250,4.83704658,3.81056783,2.86992437,10.45388345,2.94571944,0,0.67079023,0
2016-03-14,0,6.34180370,0,20.65082500,5.21991707,5.47619530,2.13657244,2.64614364,3.38007978,0,0.59109278,0
2016-03-15,0,5.97125963,0,4.01018333,3.85076486,6.14906976,1.84507842,2.13537298,3.14013162,0,0.58652525,0
2016-03-16,0,5.23474541,0,4.79191364,3.71971215,5.56129365,2.54358480,1.44701768,6.05662951,0,0.54172206,0
2016-03-17,0,6.51972232,0,5.11837778,3.01200842,2.69739612,2.77669863,1.87461770,3.87250943,0,1.12615089,0
2016-03-18,0,6.04421298,0,6.27875862,4.59828478,3.16566340,2.89831329,4.57301383,1.56445973,0,1.60743391,0
2016-03-19,0,6.30805335,0,6.70609167,6.84847222,4.97960060,3.17404564,5.90100140,1.24658304,0,0.91456256,0
2016-03-20,0,6.81084274,0,6.17583333,4.47076634,6.51388908,3.87322019,4.85822919,3.55376910,0,0.88356603,0
2016-03-21,0,5.59658202,0,4.47362381,5.24377574,4.80387808,3.50000554,2.67160630,2.93669416,0,0.87483475,0
2016-03-22,0,5.88018543,0,4.66638333,9.42671684,3.16579259,4.10802782,2.52761527,1.41801935,0,0.90254102,0
2016-03-23,0,5.92715582,0,7.78553529,4.88328473,2.92062111,3.16131174,4.52476554,1.57403333,0,0.62644864,0
2016-03-24,0,5.95864146,0,2.50837143,6.69298765,3.34290245,3.83687934,3.99999086,0.74389485,0,0.43182474,0
2016-03-25,0,7.63397294,0,4.57294167,7.09728939,3.11204737,4.12476310,1.95236091,2.02532771,0,2.05665952,0
2016-03-26,0,11.29663405,0,18.46735556,6.42677600,2.95951136,4.31368285,1.10051506,3.40691297,0,2.84731138,0
2016-03-27,0,9.07957515,0,5.45380857,2.39826667,0.36534507,4.39011951,4.09747311,3.49549858,0,2.18779119,0
2016-03-28,0,5.90339860,0,3.84065965,5.80825054,4.51062222,3.39748038,3.53005765,0.56188216,0,1.90360411,0
2016-03-29,0,4.04697819,0,11.80808824,5.67835385,4.22074911,4.41857258,2.01982012,1.03253845,0,1.09897525,0
2016-03-30,0,5.44255924,0,8.53108696,7.08189021,2.86815772,4.27558031,1.22187508,1.82530858,0,0.92483788,0
2016-03-31,0,3.85199876,0,4.53641042,5.65389322,2.31028226,4.03521846,1.63780545,2.56696485,0,1.21416367,0
2016-04-01,0,5.97397101,0,5.99257568,2.81724641,2.98464125,3.29269853,2.81109160,3.54031232,0,1.32385065,0
2016-04-02,0,7.12511363,0,6.09901071,3.09652354,2.46399722,4.43580535,2.30338624,7.12253738,0,1.50933168,0
2016-04-03,0,7.32180771,0,6.41207500,2.53649485,2.37463333,3.23060331,4.95909646,5.66747692,0,1.06208422,0
2016-04-04,0,4.65632835,0,4.21117778,4.84097692,1.40574795,3.37862740,5.66498896,5.58391120,0,1.08986876,0
2016-04-05,0,4.21326338,0,5.43575814,7.72281092,4.49268056,3.34680497,4.91147690,7.85422174,0,0.99762182,0
2016-04-06,0,7.49417984,0,6.43850426,4.58895083,1.73201688,3.22388232,5.28573002,5.16650969,0,0.97912016,0
2016-04-07,0,7.74023829,0,3.91293818,6.22533520,1.69878523,2.55397363,2.53233132,3.60503929,0,0.56018051,0
2016-04-08,0,6.57649886,0,2.89649211,3.39529474,0.67997072,3.41481066,1.97145455,3.23582500,0,0.69314627,0
2016-04-09,0,7.76674733,0,1.11915455,6.54572273,1.80130714,4.88365306,2.72505104,6.82242308,0,0.86035788,0
2016-04-10,0,5.60546408,0,0.39246000,6.01866193,0.68846512,4.04376291,2.14838083,4.66429806,0,0.60938936,0
2016-04-11,0,3.26937891,0,2.87937576,7.14382686,0.81294654,4.33725443,1.77073338,5.55435462,0,0.78004411,0.00000000
2016-04-12,0,5.28606468,0,4.51952143,5.41500000,0.55639943,4.67389034,2.35087648,3.68290625,0,1.00958650,0
2016-04-13,0,5.21085911,0,3.34095082,6.67577541,1.08336654,4.17839890,2.94619679,2.66092874,0,1.00694105,0
2016-04-14,0,6.60832502,0,4.12215957,4.88676682,1.55214150,4.14296097,2.24791855,2.29888511,0,0.90195839,0
2016-04-15,0,6.89138953,0,3.85181695,4.32129538,2.54607813,4.31794848,2.60534343,3.88996296,0,0.94845991,0
2016-04-16,0,12.39699891,0,8.17855000,8.22156522,2.73236735,5.98055467,2.83984286,6.42916933,0,0.94699207,0
2016-04-17,0,11.43182949,0,2.34313750,9.45793462,2.55413462,3.64867627,0.65111627,6.64727041,0,0.95297357,0
2016-04-18,0,6.69327257,0,1.41089765,0,4.07293137,3.01572040,1.28737863,4.89318273,0,1.01136071,0
2016-04-19,0,5.63649163,0,3.58137627,5.59172410,2.70374052,2.47676511,5.98043361,1.62509844,0,0.81356779,0
2016-04-20,0,3.92583398,0,3.19682364,2.75322717,1.35097336,2.56254369,4.65200665,1.24553436,0,0.79194207,0
2016-04-21,0,7.11327548,0,3.78927419,7.08192193,2.31666485,2.31823572,2.13800923,1.01653519,0,0.85923887,0
2016-04-22,0,11.95947756,0,3.21976333,2.77224956,4.44270488,2.10920552,1.90168817,0.44563239,0,0.72092859,0
2016-04-23,0,10.65260913,0,3.58758824,3.37405313,3.62608088,6.20217989,2.38881003,0,0,0.53573652,0
2016-04-24,0,10.79698946,0,3.33647143,5.99746027,2.43443239,2.83488580,2.22516579,0,0,0.56759442,0
2016-04-25,0,9.98207938,0,0.37593878,5.43681212,3.07768652,2.42343371,3.74126290,4.39306522,0,0.63483243,0
2016-04-26,0,7.51830738,0,0,3.64959641,4.03440460,2.09086847,2.86931554,0.70505892,0,0.66332402,0
2016-04-27,0,9.84771218,0,3.13818750,3.38628062,2.41779832,2.72768452,2.98713687,1.77006147,0,0.65933230,0
2016-04-28,0,8.80047708,0,5.30990000,5.77706364,4.01198358,2.27769304,1.93221869,2.83000351,0,0.68709370,0
2016-04-29,0,10.73655324,0,4.39867692,1.64262647,2.57787500,2.61427083,1.88388054,1.57237937,0,1.19291411,0
2016-04-30,0,9.37015622,0,7.86778000,3.13236895,4.42233750,3.95708076,1.39801419,2.68922611,0,0.88360704,0
2016-05-01,0,12.19244478,0,0,6.10134040,3.72170909,2.15898061,1.20125953,0.32684265,0,1.19672015,0
2016-05-02,0,8.32527562,0,0.18710952,6.65461893,2.74992778,1.05875842,1.07899434,0.16800958,0,0.89268309,0.00000000
2016-05-03,0,10.15222972,0,0.95427778,2.43727938,2.69680962,0.60092490,1.84433545,2.53933930,0,0.77780729,0
2016-05-04,0,8.68641276,0,2.20042143,2.18346633,2.24046087,2.94435575,2.02753441,1.23539196,0,0.57670334,0
2016-05-05,0,8.41221683,0,4.58111724,8.09730641,3.82665652,2.54506190,2.20316205,1.01678899,0,0.58015332,0
2016-05-06,0,9.34693279,0,23.34431000,5.06692892,2.69167320,2.64457374,2.06062435,1.15107527,0,0.53593286,0
2016-05-07,0,12.46874567,0,16.95573333,6.96915663,3.73781493,4.45638851,1.32731627,1.64209157,0,0.60215482,0
2016-05-08,0,12.17881275,0,24.00000000,5.88722179,4.05900440,3.21110287,1.05626467,0.77073075,0,0.56539316,0
2016-05-09,0,11.81864726,0,16.60500000,4.37828632,3.72809412,2.61566885,1.34834741,0.61685089,0,0.54132355,0
2016-05-10,0,7.64284005,0,5.93686667,4.80544607,4.66571325,2.78860256,1.04196948,0.77657352,0,0.67792799,0
2016-05-11,0,7.87110969,0,2.88555625,9.47600000,3.24504091,2.99891088,1.27782499,0.84163368,0,0.70966955,0
2016-05-12,0,6.20838145,0,2.30843846,5.49130694,3.30729737,3.32859414,2.25675220,1.05248230,0,0.50526290,0
2016-05-13,0,5.92152165,0,5.22132500,9.53805882,3.07509804,2.64704136,2.08820386,0.69379851,0,0.47811018,0
2016-05-14,0,7.54418140,0,6.33371875,8.65950000,4.58687407,4.60772616,4.05696691,3.04757500,0,0.62526934,0
2016-05-15,0,5.50978259,0,5.86652308,8.08499677,2.83361333,3.23934485,2.97583902,1.15517769,0,0.70910707,0
2016-05-16,0,4.83127642,0,12.13495714,3.98295246,4.32830889,2.32684504,2.56204680,0.53447791,0,0.81180893,0
2016-05-17,0,6.51162905,0,4.81083529,6.16241250,1.76215256,2.32704355,2.30094950,1.37203573,0,0.64783874,0
2016-05-18,0,6.82930417,0,5.53373333,3.48237153,3.76445208,3.35220596,2.33201569,0.67891609,0,0.49415552,0
2016-05-19,0,4.39026927,0,6.05762857,2.15491973,2.03747197,2.62972677,2.08855680,0.77967352,0,0.53447149,0
2016-05-20,0,6.19387001,0,3.61178000,3.00783176,4.37245776,2.94023439,3.55764241,0.37209174,0,0.50787601,0
2016-05-21,0,6.79851692,0,9.94244000,7.58786032,4.47562059,4.39841160,4.59567242,10.05170000,0,0.53945859,0
2016-05-22,0,7.80670771,0,18.41805000,2.42431765,5.37938421,3.17904968,2.61138680,1.30752403,0,0.56319965,0
2016-05-23,0,6.64707912,0,3.08820000,3.87750408,3.82840714,2.50743751,2.73178436,0.89549436,0,0.71780813,0
2016-05-24,0,6.10874550,0,0.29405000,1.72357569,2.64933667,2.21867674,2.85348889,0.95373684,0,0.91135700,0
2016-05-25,0,5.91667970,0,0.82821852,2.94285659,6.33724225,2.92507862,3.36595662,1.16524145,0,1.10681187,0
2016-05-26,0,5.93304672,0,2.41671053,2.25451824,1.97480593,2.85647951,3.64321484,1.12136099,0,1.00713449,0
2016-05-27,0,6.15824194,0,1.23777619,4.71401250,2.06208144,3.19798257,3.24150441,1.77742271,0,0.66641621,0
2016-05-28,0,10.49607556,0,8.27335000,5.45923492,4.04161667,4.38217873,3.88787838,4.45153761,0,1.38829034,0
2016-05-29,0,12.71169974,0,6.40285000,4.05528704,2.32749474,3.41138737,2.64507736,1.07818165,0,1.38211191,0
2016-05-30,0,6.54754488,0,4.11331667,1.76031680,2.59083784,2.06642304,6.79468883,0.96023462,0,1.28991751,0
2016-05-31,0,6.05441490,0,5.67932727,5.80076951,4.82732182,2.72034973,6.12373523,0.88017677,0,1.31065235,0
