90%_Confidence_Interval,Job_ID,Predicted_Wait_Time,Processors,Requested_Wall_Time,Resource,Submit_Date,Submit_Time_(CDT),Actual_Wait_Time,Actual_Execution_Time,Actual_Queue_Time
01:37:58,7562811,00:23:54,64,00:16:00,stampede.tacc.xsede.org,08/30/2016,20:52:38,1033.835032939911,900,133.8350329399109
0,7562835,0,16,00:16:00,stampede.tacc.xsede.org,08/30/2016,21:09:59,925.1509408950806,900,25.150940895080566
0,7562867,0,64,00:16:00,stampede.tacc.xsede.org,08/30/2016,21:25:27,941.5766360759735,900,41.57663607597351
0,7562907,0,32,00:16:00,stampede.tacc.xsede.org,08/30/2016,21:41:16,973.6149790287018,900,73.61497902870178
0,7562967,0,128,00:16:00,stampede.tacc.xsede.org,08/30/2016,21:57:29,1016.9291198253632,900,116.92911982536316
0,7563033,0,32,00:16:00,stampede.tacc.xsede.org,08/30/2016,22:14:30,950.9579248428345,900,50.95792484283447
0,7563091,0,32,00:16:00,stampede.tacc.xsede.org,08/30/2016,22:30:24,972.9940459728241,900,72.9940459728241
02:02:05,7563162,03:45:57,16,00:16:00,stampede.tacc.xsede.org,08/30/2016,22:46:40,3466.509050130844,900,2566.509050130844
01:45:46,7563374,03:48:03,64,00:16:00,stampede.tacc.xsede.org,08/30/2016,23:44:30,2993.456563949585,900,2093.456563949585
01:19:27,7563515,04:39:51,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,00:34:26,1099.7187538146973,900,199.71875381469727
01:24:02,7563538,04:29:56,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,00:52:51,1072.4615819454193,900,172.4615819454193
0,7563591,0,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,01:10:45,964.13889503479,900,64.13889503479004
01:22:52,7563603,03:57:51,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,01:26:54,1011.6430900096893,900,111.64309000968933
01:36:24,7563648,04:28:29,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,01:43:49,2277.0439038276672,900,1377.0439038276672
01:38:18,7563681,04:56:49,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,02:21:54,1713.167056798935,900,813.1670567989349
01:35:11,7563715,04:52:48,64,00:16:00,stampede.tacc.xsede.org,08/31/2016,02:50:30,2598.653636932373,900,1698.653636932373
01:35:21,7563753,05:49:12,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,03:33:54,7539.337817907333,900,6639.337817907333
09:33:42,7563838,07:35:49,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,05:39:35,1323.3438580036163,900,423.34385800361633
0,7563846,0,32,00:16:00,stampede.tacc.xsede.org,08/31/2016,06:01:43,949.3615901470184,900,49.36159014701843
0,7563855,0,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,06:17:36,954.0811138153076,900,54.08111381530762
0,7563861,0,32,00:16:00,stampede.tacc.xsede.org,08/31/2016,06:33:37,982.1962559223175,900,82.1962559223175
01:40:09,7563875,03:28:59,64,00:16:00,stampede.tacc.xsede.org,08/31/2016,06:50:00,1256.8903079032898,900,356.8903079032898
07:07:08,7563886,05:51:33,32,00:16:00,stampede.tacc.xsede.org,08/31/2016,07:11:03,1415.7660138607025,900,515.7660138607025
01:37:02,7563906,02:22:11,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,07:34:41,1309.7474491596222,900,409.7474491596222
01:45:26,7563923,01:42:46,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,07:56:35,1205.5908041000366,900,305.5908041000366
01:44:16,7563991,01:43:14,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,08:16:45,1020.1148428916931,900,120.11484289169312
03:05:40,7564042,04:38:43,128,00:16:00,stampede.tacc.xsede.org,08/31/2016,08:33:54,1383.1601140499115,900,483.1601140499115
01:47:03,7564220,05:00:41,128,00:16:00,stampede.tacc.xsede.org,08/31/2016,08:57:00,1524.9034469127655,900,624.9034469127655
0,7564342,0,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,09:22:30,945.7277498245239,900,45.727749824523926
0,7564437,0,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,09:38:19,929.5545439720154,900,29.55454397201538
0,7564566,0,128,00:16:00,stampede.tacc.xsede.org,08/31/2016,09:53:54,966.7858898639679,900,66.7858898639679
0,7564740,0,64,00:16:00,stampede.tacc.xsede.org,08/31/2016,10:10:05,1028.225065946579,900,128.22506594657898
0,7564883,0,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,10:27:21,940.6959750652313,900,40.69597506523132
07:54:19,7565078,05:24:00,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,10:58:51,1075.7394480705261,900,175.73944807052612
02:02:11,7565172,03:59:32,64,00:16:00,stampede.tacc.xsede.org,08/31/2016,11:16:51,1036.3234679698944,900,136.3234679698944
01:55:42,7565244,04:50:07,16,00:16:00,stampede.tacc.xsede.org,08/31/2016,11:34:13,3659.7273409366608,900,2759.7273409366608
15:18:09,7565560,18:45:09,128,00:16:00,stampede.tacc.xsede.org,08/31/2016,12:35:17,10917.040126085281,900,10017.040126085281
